"station","prov","year","annual","flag_annual","winter","flag_winter","spring","flag_spring","summer","flag_summer","autumn","flag_autumn"
"SHAWNIGAN LAKE","BC",1914,9.7,"a",3.4,"a",9.9,"a",16.7,"a",9.5,"a"
"SHAWNIGAN LAKE","BC",1915,9.9,"a",2.6,"a",10.1,"a",17.5,"a",9.3,"a"
"SHAWNIGAN LAKE","BC",1916,7.8,"a",0,"a",7.6,"a",15.9,"a",8.5,"a"
"SHAWNIGAN LAKE","BC",1917,8.6,"a",0.5,"a",6.7,"a",16.3,"a",9.9,"a"
"SHAWNIGAN LAKE","BC",1918,NA,"M",2.9,"a",7.9,"a",NA,"M",NA,"M"
"SHAWNIGAN LAKE","BC",1919,8.7,"a",3.8,"a",7.6,"a",15.1,"a",9.3,"a"
"SHAWNIGAN LAKE","BC",1920,9,"a",2.6,"a",7,"a",16.4,"a",9.3,"a"
"SHAWNIGAN LAKE","BC",1921,8.5,"a",3.4,"a",7.5,"a",15,"a",9.1,"a"
"SHAWNIGAN LAKE","BC",1922,8.5,"a",0.8,"a",7,"a",16.7,"a",9.7,"a"
"SHAWNIGAN LAKE","BC",1923,9.5,"a",1,"a",8.4,"a",17,"a",10.5,"a"
"SHAWNIGAN LAKE","BC",1924,9.2,"a",3.9,"a",8.1,"a",16.3,"a",9.3,"a"
"SHAWNIGAN LAKE","BC",1925,10,"a",3.1,"a",9,"a",16.3,"a",10.1,"a"
"SHAWNIGAN LAKE","BC",1926,10.7,"a",5.1,"a",10.5,"a",17.8,"a",10.5,"a"
"SHAWNIGAN LAKE","BC",1927,9,"a",2.9,"a",7.6,"a",17.3,"a",9.2,"a"
"SHAWNIGAN LAKE","BC",1928,9.9,"a",2.2,"a",9.3,"a",17.1,"a",10,"a"
"SHAWNIGAN LAKE","BC",1929,9.1,"a",1.2,"a",8.1,"a",16.6,"a",10.5,"a"
"SHAWNIGAN LAKE","BC",1930,9.4,"a",1.6,"a",9.2,"a",16.9,"a",9.6,"a"
"SHAWNIGAN LAKE","BC",1931,9.9,"a",4.2,"a",9.6,"a",16.5,"a",9.5,"a"
