1012010,COWICHAN_BAY_CHERRY_,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1012010,COWICHAN_BAY_CHERRY_,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1913, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.3,a,     5.1,a,     4.1,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1914,     4.3,a,     4.0,a,     6.9,a,     9.4,a,    13.2,a,    14.5,a,    17.0,a,    16.1,a,    12.5,a,    10.8,a,     6.4,a,     2.9,a,     9.8,a,     4.1,a,     9.8,a,    15.9,a,     9.9,a
 1915,     3.2,a,     4.9,a,     7.8,a,     9.8,a,    12.5,a,    14.6,a,    17.0,a,    18.2,a,    13.8,a,    10.4,a,     5.1,a,     3.8,a,    10.1,a,     3.7,a,    10.0,a,    16.6,a,     9.8,a
 1916,    -2.9,a,     2.8,a,     5.0,a,     7.9,a,    10.9,a,    14.2,a,    15.9,a,    16.0,a,    13.5,a,     8.5,a,     4.2,a,     1.9,a,     8.2,a,     1.2,a,     7.9,a,    15.4,a,     8.7,a
 1917,     1.9,a,     2.4,a,     3.7,a,     7.6,a,    10.6,a,    13.0,a,    16.7,a,    17.2,a,    14.0,a,     9.9,a,     7.8,a,     4.2,a,     9.1,a,     2.1,a,     7.3,a,    15.6,a,    10.6,a
 1918,     4.7,a,     2.3,a,     4.9,a,     8.3,a,    11.0,a,    15.5,a,    17.5,a,    16.1,a,    15.8,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.7,a,     8.1,a,    16.4,a, -9999.9,M
 1919, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1920, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1921, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1922, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
