1016940,SAANICHTON_CDA      ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1016940,SAANICHTON_CDA      ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1914, -9999.9,M, -9999.9,M,     7.2, ,     9.9, ,    13.6, ,    14.6, ,    17.6, ,    16.9, ,    12.4, ,    11.1, ,     6.5, ,     3.3, , -9999.9,M, -9999.9,M,    10.2, ,    16.4, ,    10.0, 
 1915,     3.8, ,     5.2, ,     8.4, ,    10.7, ,    12.9, ,    15.6, ,    17.5, ,    18.5, ,    14.0, ,    10.2, ,     5.0, ,     4.0, ,    10.5, ,     4.1, ,    10.7, ,    17.2, ,     9.7, 
 1916,    -2.3, ,     2.9, ,     5.1, ,     8.1, ,    11.3, ,    14.7, ,    16.0, ,    16.6, ,    13.4, ,     8.5, ,     4.7, ,     2.1, ,     8.4, ,     1.5, ,     8.2, ,    15.8, ,     8.9, 
 1917,     2.0, ,     2.3, ,     3.7, ,     7.5, ,    10.7, ,    13.6, ,    17.0, ,    17.2, ,    13.4, ,     9.5, ,     7.8, ,     4.4, ,     9.1, ,     2.1, ,     7.3, ,    15.9, ,    10.2, 
 1918,     4.6, ,     3.0, ,     4.9, ,     8.7, ,    11.3, ,    16.0, ,    17.1, ,    15.9, ,    15.2, ,    10.0, ,     6.1, ,     3.9, ,     9.7, ,     4.0, ,     8.3, ,    16.3, ,    10.4, 
 1919,     4.2, ,     3.4, ,     5.6, ,     8.2, ,    11.0, ,    13.5, ,    16.3, ,    16.0, ,    13.9, ,     7.7, ,     5.2, ,     2.4, ,     9.0, ,     3.8, ,     8.3, ,    15.3, ,     8.9, 
 1920,     2.9, ,     4.0, ,     5.3, ,     6.8, ,     9.9, ,    13.6, ,    17.3, ,    17.7, ,    12.6, ,     8.2, ,     6.7, ,     4.6, ,     9.1, ,     3.1, ,     7.3, ,    16.2, ,     9.2, 
 1921,     3.2, ,     4.3, ,     5.4, ,     7.6, ,    11.4, ,    14.3, ,    15.7, ,    15.5, ,    12.1, ,     9.6, ,     5.7, ,     2.5, ,     8.9, ,     4.0, ,     8.1, ,    15.2, ,     9.1, 
 1922,     1.4, ,     1.8, ,     4.2, ,     7.2, ,    11.8, ,    15.8, ,    16.8, ,    16.3, ,    13.4, ,    10.0, ,     5.3, ,     1.9, ,     8.8, ,     1.9, ,     7.7, ,    16.3, ,     9.6, 
 1923,     3.2, ,     1.9, ,     5.2, ,     9.3, ,    11.6, ,    15.5, ,    17.7, ,    17.8, ,    14.3, ,    10.7, ,     6.8, ,     4.1, ,     9.8, ,     2.3, ,     8.7, ,    17.0, ,    10.6, 
 1924,     3.4, ,     6.2, ,     6.1, ,     8.1, ,    13.7, ,    15.4, ,    17.1, ,    15.9, ,    13.6, ,     9.8, ,     5.2, ,     2.1, ,     9.7, ,     4.6, ,     9.3, ,    16.1, ,     9.5, 
 1925,     4.1, ,     5.7, ,     5.9, ,     9.0, ,    14.3, ,    15.2, ,    17.6, ,    16.9, ,    13.9, ,     9.3, ,     6.0, ,     6.6, ,    10.4, ,     4.0, ,     9.7, ,    16.6, ,     9.7, 
