1018598,VICTORIA_UNIVERSITY_,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1018598,VICTORIA_UNIVERSITY_,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1992, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1993,     2.9, ,     4.8, ,     8.3, ,    10.3, ,    14.8, ,    15.7, ,    16.4, ,    17.6, ,    15.2,E,    12.2, ,     6.1, ,     6.4,E,    10.9,E,     3.9, ,    11.1, ,    16.6, ,    11.2,E
 1994,     7.9, ,     5.2, ,     8.7, ,    11.2, ,    13.9, ,    15.1, ,    18.4, ,    18.4, ,    16.0, ,    10.6, ,     6.3, ,     5.9, ,    11.5, ,     6.5,E,    11.3, ,    17.3, ,    11.0, 
 1995,     6.8, ,     7.0, ,     8.3, ,    10.3, ,    14.5, ,    16.9,E,    18.5, ,    16.4, ,    16.5, ,    11.0, ,     9.2, ,     6.3,E,    11.8,E,     6.6, ,    11.0, ,    17.3,E,    12.2, 
 1996,     4.7, ,     6.4, ,     8.2, ,    10.8, ,    11.9, ,    15.1, ,    18.4, ,    18.4, ,    14.1, ,    10.8, ,     6.6, ,     3.7, ,    10.8, ,     5.8,E,    10.3, ,    17.3, ,    10.5, 
 1997,     5.8, ,     6.9, ,     7.4, ,    10.0, ,    14.6, ,    15.4, ,    17.9, ,    18.8, ,    16.5, ,    11.6, ,     9.5, ,     7.2, ,    11.8, ,     5.5, ,    10.7, ,    17.4, ,    12.5, 
 1998,     6.1, ,     8.3, ,     8.7, ,    10.4, ,    13.7, ,    16.2, ,    18.8, ,    18.8, ,    16.5, ,    11.4, ,     9.8, ,     7.1, ,    12.2, ,     7.2, ,    10.9, ,    17.9, ,    12.6, 
 1999,     6.9, ,     6.6, ,     7.4, ,     9.6, ,    11.3, ,    14.8, ,    17.1, ,    17.9, ,    15.2, ,    10.3, ,     8.9, ,     6.3, ,    11.0, ,     6.9, ,     9.4, ,    16.6, ,    11.5, 
 2000,     4.7, ,     6.3, ,     7.3, ,     9.9, ,    11.9, ,    15.5, ,    17.1, ,    16.4, ,    14.6, ,    11.0, ,     6.6, ,     5.2, ,    10.5, ,     5.8, ,     9.7, ,    16.3, ,    10.7, 
 2001,     6.4, ,     5.2, ,     7.7, ,     9.0, ,    12.0, ,    14.1, ,    16.8, ,    17.2, ,    14.9, ,    11.1, ,     9.0, ,     6.8,E,    10.9,E,     5.6, ,     9.6, ,    16.0, ,    11.7, 
