1024638,LITTLE_QUALICUM_HATC,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1024638,LITTLE_QUALICUM_HATC,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1981, -9999.9,M,     4.5, ,     6.3, ,     7.5, ,    11.2, ,    12.5, ,    16.6, ,    17.7, ,    13.5, ,     8.6, ,     6.3, ,     2.6, , -9999.9,M, -9999.9,M,     8.3, ,    15.6, ,     9.5, 
 1982,     1.1, ,     3.8, ,     4.4, ,     6.0, ,    10.9, ,    16.4, ,    16.6, ,    15.6, ,    13.8, ,     9.3, ,     3.6, ,     2.8, ,     8.7, ,     2.5, ,     7.1, ,    16.2, ,     8.9, 
 1983,     5.0, ,     5.2, ,     6.2, ,     8.0, ,    12.8, ,    14.2, ,    15.4, ,    16.0, ,    11.6, ,     7.5, ,     6.0, ,    -0.6, ,     8.9, ,     4.3, ,     9.0, ,    15.2, ,     8.4, 
 1984,     3.2, ,     4.8, ,     6.0, ,     6.9, ,     9.6, ,    13.1, ,    16.3, ,    15.4, ,    11.5, ,     7.3, ,     4.0, ,    -0.2, ,     8.2, ,     2.5, ,     7.5, ,    14.9, ,     7.6, 
 1985,     1.8, ,     3.1, ,     3.8, ,     7.1, ,    10.8, ,    13.5, ,    18.2, ,    15.3, ,    11.4, ,     8.7, ,    -1.1, ,     0.4, ,     7.8, ,     1.6, ,     7.2, ,    15.7, ,     6.3, 
 1986,     4.4, ,     1.5, ,     5.9, ,     6.4, ,    10.4, ,    13.8, ,    14.7, ,    17.4, ,    12.4, ,     8.9, ,     4.9, ,     3.6, ,     8.7, ,     2.1, ,     7.6, ,    15.3, ,     8.7, 
 1987,     4.1, ,     5.4, ,     6.4, ,     8.6, ,    11.5, ,    14.7, ,    16.5, ,    16.4, ,    14.4, ,     9.1, ,     7.1, ,     3.0, ,     9.8, ,     4.4, ,     8.8, ,    15.9, ,    10.2, 
 1988,     2.6, ,     4.1, ,     5.8, ,     8.4, ,    11.0, ,    13.6, ,    16.4, ,    16.7, ,    13.1, ,    10.1, ,     5.9, ,     3.8, ,     9.3, ,     3.2, ,     8.4, ,    15.6, ,     9.7, 
 1989,     3.0,E,    -1.3, ,     4.2, ,     9.1, ,    11.6, ,    14.9, ,    15.6, ,    15.3, ,    13.9, ,     9.4, ,     6.1, ,     4.9, ,     8.9,E,     1.8,E,     8.3, ,    15.3, ,     9.8, 
 1990,     3.2, ,     1.6, ,     5.5, ,     9.2, ,    11.7, ,    13.9, ,    17.6, ,    17.9, ,    14.0, ,     8.3, ,     5.5, ,     0.7, ,     9.1, ,     3.2, ,     8.8, ,    16.5, ,     9.3, 
 1991,     1.5, ,     6.0, ,     3.5, ,     7.7, ,    10.9,E,    13.9, ,    16.5, ,    16.9,E,    13.6, ,     7.7, ,     6.1, ,     4.7, ,     9.1,E,     2.7, ,     7.4,E,    15.8,E,     9.1, 
 1992,     4.7, ,     5.2, ,     7.2, ,     8.6, ,    12.1,E,    16.0, ,    17.7, ,    16.6, ,    12.1, ,     9.7, ,     5.4, ,     1.2, ,     9.7,E,     4.9, ,     9.3,E,    16.8, ,     9.1, 
 1993,    -1.2, ,     2.1, ,     5.8, ,     8.2, ,    13.4, ,    14.6, ,    15.5, ,    16.4, ,    13.3, ,     9.7, ,     3.8, ,     4.1, ,     8.8, ,     0.7, ,     9.1, ,    15.5, ,     8.9, 
 1994,     5.3, ,     2.7, ,     6.0, ,     9.0, ,    12.3, ,    13.7, ,    17.6, ,    16.8, ,    14.3, ,     8.2, ,     4.0, ,     3.1, ,     9.4, ,     4.0, ,     9.1, ,    16.0, ,     8.8, 
 1995,     3.2, ,     4.6, ,     5.6, ,     8.2, ,    13.0, ,    15.4, ,    17.2, ,    15.0, ,    14.9, ,     8.7, ,     6.8, ,     3.7, ,     9.7, ,     3.6, ,     8.9, ,    15.9, ,    10.1, 
 1996,     2.3, ,     2.8, ,     4.9, ,     8.7, ,     9.9, ,    13.7, ,    16.9, , -9999.9,M,    12.2,E,     8.1, ,     3.8, , -9999.9,M, -9999.9,M,     2.9, ,     7.8, , -9999.9,M,     8.0,E
 1997,     2.4,E,     4.3, ,     5.2, ,     7.6, ,    12.6, ,    14.6, ,    16.7,E,    17.4,E,    14.2, ,     9.2, ,     6.5, ,     4.4, ,     9.6,E, -9999.9,M,     8.5, ,    16.2,E,    10.0, 
 1998,     3.3, ,     5.6, ,     6.7, ,     8.0, ,    12.4, ,    15.4, ,    18.1, , -9999.9,M,    14.2,E,     9.6, ,     6.8, ,     3.1, , -9999.9,M,     4.4, ,     9.0, , -9999.9,M,    10.2,E
