1035940,PACHENA_POINT       ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1035940,PACHENA_POINT       ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1924, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.4, ,     3.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1925,     4.6, ,     6.2, ,     5.8, ,     7.7, ,    10.6, ,    11.1, ,    11.6, ,    13.1, ,    12.5, ,     8.9, ,     6.6, ,     7.4, ,     8.8, ,     4.8, ,     8.0, ,    11.9, ,     9.3, 
 1926,     5.9, ,     7.0, , -9999.9,M,     9.6, ,    10.8, ,    13.4, ,    14.5, ,    13.6, ,    11.1, ,    10.7, ,     9.0, ,     5.1, , -9999.9,M,     6.8, , -9999.9,M,    13.8, ,    10.3, 
 1927,     4.5, ,     5.2, ,     5.2, ,     6.5, ,     8.9, ,    12.0, ,    12.8, ,    12.6, ,    12.0, ,     8.8, ,     6.4, ,     3.4, ,     8.2, ,     4.9, ,     6.9, ,    12.5, ,     9.1, 
 1928,     5.7, ,     5.4, ,     6.7, ,     7.6, ,    10.6, ,    12.4, ,    13.7, ,    12.8, ,    11.0, ,     9.0, ,     8.0, ,     5.1, ,     9.0, ,     4.8, ,     8.3, ,    13.0, ,     9.3, 
 1929,     2.3, ,     2.1, ,     5.3, ,     6.4, ,     9.0, ,    11.9, ,    13.5, ,    14.0, ,    12.3, ,    10.3, ,     5.8, ,     5.5, ,     8.2, ,     3.2, ,     6.9, ,    13.1, ,     9.5, 
 1930,     0.5, ,     5.2, ,     6.1, ,     8.7, ,     9.1, ,    11.6, ,    12.4, ,    14.0, ,    12.2, ,     9.0, ,     6.4, ,     6.4, ,     8.5, ,     3.7, ,     8.0, ,    12.7, ,     9.2, 
 1931,     7.6, ,     6.1, ,     6.9, ,     8.7, ,    10.8, ,    11.9, ,    13.9, ,    13.4, ,    12.4, ,     9.6, ,     5.1, ,     4.7, ,     9.3, ,     6.7, ,     8.8, ,    13.1, ,     9.0, 
 1932,     3.5, ,     3.8, ,     6.6, ,     8.2, ,     9.7, ,    11.9, ,    12.2, ,    13.6, ,    11.9, ,     9.9, ,     7.8, ,     3.8, ,     8.6, ,     4.0, ,     8.2, ,    12.6, ,     9.9, 
 1933,     3.5, ,     2.8, ,     4.9, ,     6.5, ,     8.7, ,    10.7, ,    12.1, ,    14.6, ,    11.1, ,     9.4, ,     7.7, ,     5.5, ,     8.1, ,     3.4, ,     6.7, ,    12.5, ,     9.4, 
 1934,     6.3, ,     6.4, ,     7.8, ,     9.6, ,    11.5, ,    11.6, ,    12.4, ,    14.1, ,    12.2, ,     9.9, ,     8.5, ,     5.7, ,     9.7, ,     6.1, ,     9.6, ,    12.7, ,    10.2, 
 1935,     4.2, ,     5.9, ,     4.3, ,     6.9, ,     9.3, ,    12.3, ,    13.2, ,    13.3, ,    11.8, ,     8.6, ,     5.4, ,     7.1, ,     8.5, ,     5.3, ,     6.8, ,    12.9, ,     8.6, 
 1936,     5.6, ,     1.4, ,     4.6, ,     8.3, ,    11.0, ,    13.4, ,    14.3, ,    14.4, ,    11.5, ,    10.5, ,     6.5, ,     5.1, ,     8.9, ,     4.7, ,     8.0, ,    14.0, ,     9.5, 
 1937,     0.1, ,     3.2, ,     6.8, ,     7.3, ,     9.7, ,    13.1, ,    13.6, ,    13.1, ,    12.4, ,    10.7, ,     8.2, ,     6.1, ,     8.7, ,     2.8, ,     7.9, ,    13.3, ,    10.4, 
 1938,     5.8, ,     4.9, ,     5.9, ,     8.0, ,     9.4, ,    11.9, ,    12.8, ,    12.7, ,    13.2, ,    10.3, ,     6.3, ,     5.1, ,     8.9, ,     5.6, ,     7.8, ,    12.5, ,     9.9, 
