1036240,PORT_ALICE          ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1036240,PORT_ALICE          ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1956,     2.5, ,     2.4, ,     3.8, ,     8.7, ,    13.3, ,    11.7, ,    16.0, ,    16.8, ,    14.0, ,     8.8, ,     5.7, ,     5.2, ,     9.1, , -9999.9,M,     8.6, ,    14.8, ,     9.5, 
 1957,     0.7, ,     2.8, ,     5.2, , -9999.9,M,    13.3, ,    14.1, ,    14.4, ,    15.6, ,    15.7, ,     9.6, ,     7.0, ,     5.4, , -9999.9,M,     2.9, , -9999.9,M,    14.7, ,    10.8, 
 1958,     6.7, ,     7.4, ,     6.5, ,     9.0, ,    13.7, ,    17.2, ,    19.0, ,    16.8, ,    13.6, ,    11.1, ,     4.9, ,     6.5, ,    11.0, ,     6.5, ,     9.7, ,    17.7, ,     9.9, 
 1959,     3.9, ,     4.5, ,     5.5, ,     8.3, ,    11.1, ,    13.6, ,    16.2, ,    14.8, ,    13.2, ,    10.5, ,     6.8, ,     5.3, ,     9.5, ,     5.0, ,     8.3, ,    14.9, ,    10.2, 
 1960,     3.7, ,     5.2, ,     5.5, ,     9.1, ,    10.9, ,    13.2, ,    16.4, ,    15.2, ,    13.4, ,    11.3, ,     6.0, , -9999.9,M, -9999.9,M,     4.7, ,     8.5, ,    14.9, ,    10.2, 
 1961, -9999.9,M,     5.4, ,     5.3, ,     8.3, ,    11.5, ,    13.8, ,    17.7, ,    18.0, ,    13.0, ,     9.2, ,     4.7, ,     4.0, , -9999.9,M, -9999.9,M,     8.4, ,    16.5, ,     9.0, 
 1962,     5.2, ,     4.8, ,     4.8, ,     7.7, ,    10.1, ,    13.7, ,    15.9, ,    15.6, ,    13.8, ,    10.8, ,     7.4, ,     6.8, ,     9.7, ,     4.7, ,     7.5, ,    15.1, ,    10.7, 
 1963,     4.1, ,     8.1, ,     5.0, ,     8.0, ,    11.1, ,    12.9, ,    15.0, ,    16.6, , -9999.9,M,    10.6, , -9999.9,M,     6.1, , -9999.9,M,     6.3, ,     8.0, ,    14.8, , -9999.9,M
 1964,     4.3, ,     5.1, ,     5.2, ,     6.9, ,    10.3, , -9999.9,M,    14.5, ,    15.0, ,    14.0, , -9999.9,M, -9999.9,M,     1.3, , -9999.9,M,     5.2, ,     7.5, , -9999.9,M, -9999.9,M
 1965,     2.3, ,     4.0, ,     6.4, ,     6.5, ,     9.0, ,    13.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.7, ,     2.3, , -9999.9,M,     2.5, ,     7.3, , -9999.9,M, -9999.9,M
