1064020,KEMANO              ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1064020,KEMANO              ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1951, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.9, ,     6.3, ,     2.2, ,    -3.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.5, 
 1952,    -6.6, ,    -1.2, ,     1.8, ,     3.6, ,     9.9, ,    11.9, ,    16.7, ,    17.1, ,    13.0, ,     9.7, ,     2.2, , -9999.9,M, -9999.9,M,    -3.7, ,     5.1, ,    15.2, ,     8.3, 
 1953,    -7.2, ,     1.4, ,     2.2, ,     6.5, ,    11.2, ,    13.5, ,    15.8, ,    16.0, ,    12.3, ,     8.0, ,     2.8, ,     1.7, ,     7.0, , -9999.9,M,     6.6, ,    15.1, ,     7.7, 
 1954,    -7.1, ,    -1.2, ,     1.9, ,     3.0, ,    10.2, ,    12.3, ,    13.9, ,    16.2, , -9999.9,M, -9999.9,M, -9999.9,M,     1.3, , -9999.9,M,    -2.2, ,     5.0, ,    14.1, , -9999.9,M
 1955,    -0.5, ,    -1.1, ,    -1.4, ,     5.4, ,     8.4, ,    13.4, ,    15.5, ,    14.2, ,    12.2, ,     5.5, ,    -3.7, ,    -7.8, ,     5.0, ,    -0.1, ,     4.1, ,    14.4, ,     4.7, 
 1956,    -6.7, ,    -4.3, ,     0.9, ,     7.0, ,    11.1, ,    12.2, ,    17.7, ,    16.9, ,    12.3, ,     5.2, ,     1.5, ,    -1.2, ,     6.1, ,    -6.3, ,     6.3, ,    15.6, ,     6.3, 
 1957,    -7.5, ,    -4.4, ,     2.5, ,     6.7, ,    11.9, ,    14.5, ,    13.7, ,    15.7, ,    15.8, ,     6.6, ,     4.0, ,     1.1, ,     6.7, ,    -4.4, ,     7.0, ,    14.6, ,     8.8, 
 1958,     1.1, ,     0.7, ,     3.9, ,     8.0, ,    13.2, ,    19.5, ,    21.4, ,    15.8, ,    11.0, ,     7.4, ,     0.3, ,    -1.0, ,     8.4, ,     1.0, ,     8.4, ,    18.9, ,     6.2, 
 1959,    -3.2, ,    -1.8, ,     3.0, ,     6.3, ,    10.2, ,    13.5, ,    16.3, ,    14.0, , -9999.9,M,     7.6, ,     0.0, ,     1.4, , -9999.9,M,    -2.0, ,     6.5, ,    14.6, , -9999.9,M
 1960,    -2.8, ,     0.8, ,     1.1, ,     7.3, ,    10.1, ,    12.4, ,    16.2, ,    14.9, ,    11.5, ,     8.2, ,     2.3, ,    -0.2, ,     6.8, ,    -0.2, ,     6.2, ,    14.5, ,     7.3, 
 1961,    -0.2, ,     0.5, ,     3.2, ,     6.6, ,    11.7, ,    14.1, ,    19.8, ,    18.7, ,    11.6, ,     6.9, ,     0.7, ,    -1.9, ,     7.6, ,     0.0, ,     7.2, ,    17.5, ,     6.4, 
 1962,    -2.1, ,     0.0, ,    -0.1, ,     6.1, ,    10.2, ,    12.8, ,    17.0, ,    15.4, ,    12.7, ,     8.0, ,     3.6, ,     0.3, ,     7.0, ,    -1.3, ,     5.4, ,    15.1, ,     8.1, 
 1963,    -1.6, ,     2.9, ,     3.4, ,     7.5, ,    11.5, ,    13.0, ,    15.5, ,    18.9, ,    14.1, ,     7.2, ,     0.5, ,    -0.9, ,     7.7, ,     0.5, ,     7.5, ,    15.8, ,     7.3, 
 1964,    -1.4, ,     1.5, ,     2.0, ,     4.7, ,     9.2, ,    13.1, ,    14.2, ,    14.2, ,    11.1, ,     7.1, ,    -0.5, ,    -7.3, ,     5.7, ,    -0.3, ,     5.3, ,    13.8, ,     5.9, 
 1965,    -5.1, ,    -0.1, ,     1.8, ,     6.1, ,     9.6, ,    13.4, ,    17.4, ,    18.6, ,    13.6, ,     6.8, ,     1.6, ,    -2.8, ,     6.7, ,    -4.2, ,     5.8, ,    16.5, ,     7.3, 
 1966,    -6.5, ,     0.7, ,     1.5, ,     5.2, ,     7.9, ,    12.8, ,    16.8, ,    14.8, ,    12.2, ,     6.3, ,     1.7, ,    -0.9, ,     6.0, ,    -2.9, ,     4.9, ,    14.8, ,     6.7, 
