1064320,KITIMAT_TOWNSITE    ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1064320,KITIMAT_TOWNSITE    ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1954, -9999.9,M,    -0.5, ,     2.0, ,     2.8, , -9999.9,M,    11.7, ,    13.5, ,    16.4, , -9999.9,M, -9999.9,M,     5.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.9, , -9999.9,M
 1955,    -0.2, ,    -1.0, ,    -0.7, ,     4.4, ,     7.9, ,    13.3, ,    15.4, ,    14.3, ,    12.5, ,     5.6, ,    -4.7, ,    -8.1, ,     4.9, , -9999.9,M,     3.9, ,    14.3, ,     4.5, 
 1956,    -7.5, ,    -3.9, ,     1.6, ,     6.7, ,    11.8, ,    12.5, ,    17.6, ,    17.0, ,    12.6, ,     5.6, ,     2.8, , -9999.9,M, -9999.9,M,    -6.5, ,     6.7, ,    15.7, ,     7.0, 
 1957,    -8.2, ,    -3.0, ,     3.3, , -9999.9,M, -9999.9,M, -9999.9,M,    14.8, ,    17.1, ,    15.6, ,     6.9, ,     4.0, ,     0.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.8, 
 1958,     1.0, ,    -0.3, ,     3.5, ,     8.3, ,    13.1, ,    19.6, ,    21.1, ,    15.7, ,    11.3, ,     6.8, ,     0.2, ,    -1.2, ,     8.3, ,     0.4, ,     8.3, ,    18.8, ,     6.1, 
 1959,    -4.6, ,    -2.3, ,     2.9, ,     6.2, ,    10.1, ,    13.3, ,    16.6, ,    14.3, ,    11.6, ,     8.0, ,     0.1, ,     1.8, ,     6.5, ,    -2.7, ,     6.4, ,    14.7, ,     6.6, 
 1960,    -3.1, ,     1.6, ,     1.8, ,     6.6, ,    10.2, ,    12.4, ,    17.1, ,    15.0, ,    12.6, ,     8.5, ,     1.9, ,    -0.1, ,     7.0, ,     0.1, ,     6.2, ,    14.8, ,     7.7, 
 1961,    -0.1, ,     0.7, ,     3.4, ,     6.9, ,    12.1, ,    14.4, ,    20.3, ,    18.7, ,    12.1, ,     6.4, ,     0.7, ,    -2.0, ,     7.8, ,     0.2, ,     7.5, ,    17.8, ,     6.4, 
 1962,    -1.7, ,    -0.8, ,     0.8, ,     5.9, ,     9.9, ,    12.5, ,    16.4, ,    15.0, ,    12.9, ,     7.8, ,     3.8, ,     0.3, ,     6.9, ,    -1.5, ,     5.5, ,    14.6, ,     8.2, 
 1963,    -1.6, ,     3.0, ,     3.8, ,     7.6, ,    11.6, ,    12.8, ,    15.9, ,    19.2, ,    14.5, ,     7.3, ,     0.1, ,    -0.6, ,     7.8, ,     0.6, ,     7.7, ,    16.0, ,     7.3, 
