1067748,STEWART             ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1067748,STEWART             ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1910, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.7,a,     5.2,a,    -0.2,a,    -0.4,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.2,a
 1911,    -8.9,a,    -4.3,a,     0.5,a,     2.2,a,     7.6,a,    12.9,a,    15.6,a,    16.3,a,    11.5,a,     6.4,a,    -1.2,a,    -1.4,a,     4.8,a,    -4.5,a,     3.4,a,    14.9,a,     5.6,a
 1912,    -6.6,a,     0.2,a,     0.2,a,     5.0,a,    12.0,a,    13.1,a,    16.5,a, -9999.9,M,    11.5,a,     7.3,a,     1.4,a,     0.1,a, -9999.9,M,    -2.6,a,     5.7,a, -9999.9,M,     6.7,a
 1913,    -7.1,a,    -2.2,a,    -1.1,a, -9999.9,M,     8.7,a,    14.0,a,    14.8,a,    13.9,a,    10.5,a,     5.1,a,     1.5,a,    -1.5,a, -9999.9,M,    -3.1,a, -9999.9,M,    14.2,a,     5.7,a
 1914,    -4.5,a,    -0.6,a,     1.4,a,     4.6,a,    10.4,a,    15.2,a,    12.9,a,    13.9,a,    10.3,a,     8.5,a,     0.3,a,    -5.2,a,     5.6,a,    -2.2,a,     5.5,a,    14.0,a,     6.4,a
 1915,    -1.3,a,    -0.9,a,     2.7,a,     6.1,a,    13.5,a,    15.4,a,    17.6,a, -9999.9,M, -9999.9,M, -9999.9,M,     1.2,a,    -0.4,a, -9999.9,M,    -2.5,a,     7.4,a, -9999.9,M, -9999.9,M
 1916,   -10.1,a,    -1.9,a,     0.6,a,     5.3,a,     9.4,a,    13.4,a,    14.0,a,    13.6,a,    11.0,a,     6.5,a,     1.3,a,    -5.0,a,     4.8,a,    -4.1,a,     5.1,a,    13.7,a,     6.3,a
 1917,    -4.7,a,    -4.5,a,     0.5,a,     4.8,a,     9.5,a,    12.0,a,    13.2,a,    13.0,a,    10.8,a,     7.8,a, -9999.9,M, -9999.9,M, -9999.9,M,    -4.7,a,     4.9,a,    12.7,a, -9999.9,M
 1918, -9999.9,M,    -2.5,a,    -0.6,a,     4.9,a,     8.2,a,    12.9,a,    15.3,a,    14.2,a,    11.9,a,     6.8,a,     2.3,a,    -2.2,a, -9999.9,M, -9999.9,M,     4.2,a,    14.1,a,     7.0,a
 1919,    -2.0,a,    -3.5,a,    -2.8,a,     4.8,a,     9.0,a,    12.2,a,    14.4,a,    14.8,a,    11.0,a,     5.8,a,    -2.1,a,    -3.7,a,     4.8,a,    -2.6,a,     3.7,a,    13.8,a,     4.9,a
