1073615,HOUSTON             ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1073615,HOUSTON             ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1988, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.8,E,     6.6, ,     0.2, ,    -6.8,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.5,E
 1989,    -6.6, ,   -11.7, ,    -3.1, ,     5.3, , -9999.9,M,    13.3,E,    15.4, ,    16.1,E,    11.9, ,     5.7,E,     0.0, ,    -3.3,E, -9999.9,M,    -8.4,E, -9999.9,M,    14.9,E,     5.9,E
 1990,    -6.7, ,    -6.7, ,     0.4, ,     5.2, ,    10.0, ,    12.7, , -9999.9,M,    15.9,E,    11.4, , -9999.9,M,    -4.6, ,   -10.6, , -9999.9,M,    -5.6,E,     5.2, , -9999.9,M, -9999.9,M
 1991,   -13.0, ,    -0.3, ,    -2.1, ,     5.4, ,     9.8, ,    13.2, ,    14.2, ,    15.5, ,    11.4, ,     4.1, ,    -0.7, ,    -0.9, ,     4.7, ,    -8.0, ,     4.4, ,    14.3, ,     4.9, 
 1992,    -2.8,E,    -3.0, ,     3.4, ,     5.6, ,     9.0, ,    14.9, ,    16.2, ,    15.4,E,     8.8, ,     4.0,E,    -1.2,E, -9999.9,M, -9999.9,M,    -2.2,E,     6.0, ,    15.5,E,     3.9,E
 1993,   -14.0,E,    -3.5, ,     0.7,E,     6.2, ,    12.7, ,    12.8, ,    14.6,E,    15.3, ,    11.9, ,     6.3,E,    -0.7, ,    -3.1,E,     4.9,E, -9999.9,M,     6.5,E,    14.2,E,     5.8,E
 1994,    -4.4, ,   -11.5, ,     2.6, ,     6.8,E,    10.2, ,    12.1, ,    16.5, ,    16.7, ,    11.6, ,     4.5, ,    -2.6, ,    -7.0,E,     4.6,E,    -6.3,E,     6.5,E,    15.1, ,     4.5, 
 1995,    -9.3, ,    -5.1, ,    -0.3, ,     5.9, ,    11.9, ,    14.3, ,    15.2, ,    12.2, ,    13.4, ,     4.5, ,    -3.8, ,    -9.0,E,     4.2,E,    -7.1,E,     5.8, ,    13.9, ,     4.7, 
 1996,   -14.1,E,    -4.2, , -9999.9,M,     4.4,E,     7.4, ,    12.3, ,    14.7, ,    14.3, ,    10.1, ,     4.3, , -9999.9,M,   -12.9,E, -9999.9,M,    -9.1,E, -9999.9,M,    13.8, , -9999.9,M
 1997,    -9.8,E,    -1.1, ,    -2.3, ,     4.8,E,    10.3,E,    13.4, ,    14.7, ,    15.9, ,    11.3, ,     4.4, ,    -1.1,E,    -2.4, ,     4.8,E,    -7.9,E,     4.3,E,    14.7, ,     4.9,E
