1086082,PEMBERTON_AIRPORT_CS,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1086082,PEMBERTON_AIRPORT_CS,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1912, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.9, ,    12.0, ,     6.3, ,     2.0, ,    -2.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.8, 
 1913,    -9.7, ,    -4.6, ,     0.5, ,     7.0, ,    11.6, ,    14.8, ,    16.6, ,    15.8, ,    10.7, ,     5.9, ,     0.7, ,    -1.2, ,     5.7, ,    -5.6, ,     6.4, ,    15.7, ,     5.8, 
 1914,    -2.3, ,    -2.6, ,     3.1, ,     9.2, ,    13.4, ,    15.5, ,    17.8, ,    16.9, ,    12.0, ,     9.5, ,     2.4, ,    -6.2, ,     7.4, ,    -2.0, ,     8.6, ,    16.7, ,     8.0, 
 1915,    -4.6, ,     1.6, ,     5.8, ,    10.9, ,    14.1, ,    17.0, ,    18.8, ,    18.5, ,    12.6, ,     8.6, ,     0.5, ,    -2.7, ,     8.4, ,    -3.1, ,    10.3, ,    18.1, ,     7.2, 
 1916,   -18.2, ,    -3.6, ,     2.8, ,     7.6, ,    12.0, ,    15.3, ,    16.1, ,    16.8, ,    11.7, ,     6.4, ,     0.4, ,    -7.1, ,     5.0, ,    -8.2, ,     7.5, ,    16.1, ,     6.2, 
 1917,    -6.1, ,    -4.2, ,     1.3, ,     7.6, ,    13.3, ,    14.2, ,    16.6, ,    17.2, ,    12.9, ,     8.2, ,     6.7, ,    -4.0, ,     7.0, ,    -5.8, ,     7.4, ,    16.0, ,     9.3, 
 1918,    -2.9, ,    -4.2, ,     0.9, ,     8.2, ,    12.0, ,    15.5, ,    18.7, ,    16.8, ,    14.3, ,     8.5, ,     1.5, ,    -2.9, ,     7.2, ,    -3.7, ,     7.0, ,    17.0, ,     8.1, 
 1919,    -2.0, ,    -3.3, ,     1.1, ,     7.4, ,    11.1, ,    14.2, ,    16.5, ,    17.2, ,    12.8, ,     5.6, ,     0.1, ,    -5.2, ,     6.3, ,    -2.7, ,     6.5, ,    16.0, ,     6.2, 
 1920,    -4.7, ,    -1.6, ,     3.3, ,     7.2, ,    10.8, ,    14.1, ,    19.4, ,    17.2, ,    12.2, ,     6.5, ,     2.3, ,    -0.2, ,     7.2, ,    -3.8, ,     7.1, ,    16.9, ,     7.0, 
 1921,    -1.8, ,    -0.9, ,     1.9, ,     6.4, ,    13.1, ,    15.6, ,    16.8, ,    16.9, ,    12.0, ,     8.0, ,     1.0, ,    -8.3, ,     6.7, ,    -1.0, ,     7.1, ,    16.4, ,     7.0, 
