1093600,HORSEFLY_LAKE_GRUHS_,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1093600,HORSEFLY_LAKE_GRUHS_,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1987, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.6, ,    13.2, ,    11.7, ,     5.0, ,     2.3, ,    -4.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.3, 
 1988,    -8.4, ,    -4.7, ,     0.8, ,     6.3, ,    10.0, ,    13.1, ,    14.7, ,    14.6, ,     9.8, ,     6.8, ,     0.3, ,    -6.1, ,     4.8, ,    -5.9, ,     5.7, ,    14.1, ,     5.6, 
 1989,    -8.2, ,   -13.3, ,    -1.9, ,     5.2, ,     9.4, ,    13.6, ,    15.6, ,    14.7, ,    10.9, ,     5.9, ,    -1.6, ,    -2.8, ,     4.0, ,    -9.2, ,     4.2, ,    14.6, ,     5.1, 
 1990,    -5.9, ,    -7.6, ,     0.3, ,     5.6, ,     9.7, ,    13.1, ,    16.4, ,    16.0, ,    11.6, ,     3.7, ,    -2.8, ,   -10.8, ,     4.1, ,    -5.4, ,     5.2, ,    15.2, ,     4.2, 
 1991,   -13.3, ,     2.1, ,    -2.8, ,     5.3, ,     9.9, ,    12.7, ,    15.1, ,    16.4, ,    10.9, ,     1.6, ,     0.0, ,    -2.9, ,     4.6, ,    -7.3, ,     4.1, ,    14.7, ,     4.2, 
 1992,    -0.1, ,     0.3, ,     3.8, ,     6.2, ,    10.1, ,    16.2, ,    16.1, ,    14.7, ,     8.7, ,     5.9, ,    -1.1, ,   -10.7, ,     5.8, ,    -0.9, ,     6.7, ,    15.7, ,     4.5, 
 1993,   -14.4, ,    -7.9, ,     0.1, ,     5.3, ,    13.0, ,    13.1, ,    14.1, ,    14.6, ,    10.4, ,     5.2, ,    -2.9, ,    -3.4, ,     3.9, ,   -11.0, ,     6.1, ,    13.9, ,     4.2, 
 1994,    -3.9, ,    -9.7, ,     2.3, ,     6.8, ,    10.5, ,    13.2,E,    16.2, ,    15.4,E,    12.1, ,     4.8, ,    -2.4, ,    -5.9, ,     5.0,E,    -5.7, ,     6.5, ,    14.9,E,     4.8, 
 1995,    -7.1, ,    -3.1,E,     0.4, ,     4.8, ,     9.8,E,    14.6,E,    15.5, ,    13.0, ,    12.1, ,     4.7, ,    -0.5, ,    -7.7, ,     4.7,E,    -5.4,E,     5.0,E,    14.4,E,     5.4, 
 1996,   -14.7, ,    -5.1, ,    -2.0, , -9999.9,M, -9999.9,M,    12.3, ,    15.3, ,    15.0, ,     9.6, ,     3.7, ,    -6.3, ,   -12.5, , -9999.9,M,    -9.2, , -9999.9,M,    14.2, ,     2.3, 
 1997,    -6.0, ,    -2.7, ,    -1.3, ,     4.1, ,    10.6, ,    12.7, , -9999.9,M,    15.9, ,    12.2, ,     4.7, ,    -0.1, ,    -2.5, , -9999.9,M,    -7.1, ,     4.5, , -9999.9,M,     5.6, 
 1998,    -7.2, ,     1.6, ,     2.0, ,     5.7, ,    13.0, ,    14.2, ,    18.3, ,    16.2,E,    12.4, ,     6.5, ,     1.2, ,    -5.3, ,     6.6,E,    -2.7, ,     6.9, ,    16.2,E,     6.7, 
