1100119,AGASSIZ_RCS         ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1100119,AGASSIZ_RCS         ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1988, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.3,E,     4.6,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1989, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.1, ,    17.6, ,    18.2, ,    18.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.6, , -9999.9,M
 1990,     3.6, , -9999.9,M,     7.9, ,    11.4, ,    12.6, ,    15.5, ,    20.1, ,    20.3, ,    18.1, ,     9.6, ,     6.9, ,    -0.4, , -9999.9,M, -9999.9,M,    10.6, ,    18.6, ,    11.5, 
 1991,    -0.1, ,     8.5, ,     6.4, ,    11.0, ,    13.2, ,    15.4, ,    19.3, ,    19.1, ,    17.4, ,    10.7, ,     7.4, ,     6.0, ,    11.2, ,     2.7, ,    10.2, ,    17.9, ,    11.8, 
 1992,     5.8, ,     8.2, ,    11.2, ,    11.7, ,    15.6, ,    18.3,E, -9999.9,M, -9999.9,M,    14.6, ,    11.9, ,     7.1,E,     1.3, , -9999.9,M,     6.7, ,    12.8, , -9999.9,M,    11.2,E
 1993,    -0.4, ,     5.4, ,     8.5, ,    10.6,E,    16.8, ,    16.3, ,    17.3, ,    19.1, ,    16.8,E,    13.3, ,     4.3, ,     4.7, ,    11.1,E,     2.1, ,    12.0,E,    17.6, ,    11.5,E
 1994,     7.2, ,     3.1, ,     9.3, ,    12.0, ,    15.3, ,    15.7, ,    19.5, ,    19.2, ,    17.2, ,    11.2, ,     4.2, ,     3.4, ,    11.4, ,     5.0, ,    12.2, ,    18.1, ,    10.9, 
 1995,     4.3, ,     6.7, ,     7.8, ,    11.1, ,    16.2, ,    17.9, ,    19.4, ,    17.1, ,    18.5, ,    10.9, ,     8.5, ,     3.9, ,    11.9, ,     4.8, ,    11.7, ,    18.1, ,    12.6, 
 1996,     0.9, ,     6.0, ,     7.6, ,    11.0,E,    11.9, ,    16.1, ,    20.1,E,    18.5, ,    14.4, ,    10.2, ,     4.0,E,    -0.6, ,    10.0,E,     3.6, ,    10.2,E,    18.2,E,     9.5,E
 1997,     2.4, ,     5.5, ,     6.0, ,    10.1, ,    15.4, ,    15.9, ,    18.3, ,    20.3, ,    17.0, ,    10.4, ,     8.3, ,     4.7, ,    11.2, ,     2.4, ,    10.5, ,    18.2, ,    11.9, 
