1106180,PITT_POLDER         ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1106180,PITT_POLDER         ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1954,     0.0, ,     4.0, ,     4.8, ,     7.0, ,    12.7, ,    13.5, ,    15.5, ,    16.0, ,    14.4, ,     9.5, ,     8.4, ,     4.2, ,     9.2, , -9999.9,M,     8.2, ,    15.0, ,    10.8, 
 1955,     3.2, ,     2.2, ,     2.7, ,     7.0, ,     9.5, ,    14.0, ,    15.6, ,    16.0, ,    13.5, ,     9.6, ,     2.2, ,     1.7, ,     8.1, ,     3.2, ,     6.4, ,    15.2, ,     8.4, 
 1956,     2.6, ,     0.5, ,     4.2, ,     9.6, ,    13.9, ,    13.4, ,    17.6, ,    17.2, ,    13.3, ,     9.0, ,     3.5, ,     3.0, ,     9.0, ,     1.6, ,     9.2, ,    16.1, ,     8.6, 
 1957,    -2.5, ,     1.5, ,     5.9, ,     9.6, ,    14.4, ,    15.3, ,    15.7, ,    15.9, ,    16.0, ,     9.7, ,     5.1, ,     5.0, ,     9.3, ,     0.7, ,    10.0, ,    15.6, ,    10.3, 
 1958,     5.3, ,     7.1, ,     6.6, ,     9.1, ,    14.9, ,    18.2, ,    20.3, ,    17.5, ,    14.3, ,    10.4, ,     4.8, ,     4.7, ,    11.1, ,     5.8, ,    10.2, ,    18.7, ,     9.8, 
 1959,     3.0, ,     3.7, ,     5.6, ,     8.6, ,    11.8, ,    15.4, ,    17.7, ,    15.4, ,    13.3, ,     9.7, ,     4.8, ,     3.2, ,     9.4, ,     3.8, ,     8.7, ,    16.2, ,     9.3, 
 1960,     1.7, ,     4.2, ,     5.0, ,     8.7, ,    10.7, ,    13.6, ,    17.5, ,    15.3, ,    12.6, ,    10.0, ,     5.0, ,     2.6, ,     8.9, ,     3.0, ,     8.1, ,    15.5, ,     9.2, 
 1961,     3.9, ,     5.6, ,     6.7, ,     8.4, ,    12.7, ,    16.9, ,    18.9, ,    19.1, ,    13.1, ,     8.8, ,     4.5, ,     3.0, ,    10.1, ,     4.0, ,     9.3, ,    18.3, ,     8.8, 
 1962,     1.9, ,     4.9, ,     4.6, ,     9.4, ,    10.9, ,    14.8, ,    16.7, ,    16.3, ,    14.9, ,    11.3, ,     7.6, ,     4.8, ,     9.8, ,     3.3, ,     8.3, ,    15.9, ,    11.3, 
 1963,     0.0, ,     7.0, ,     5.8, ,     9.1, ,    13.2, ,    15.1, ,    16.4, ,    18.0, ,    16.7, ,    11.7, ,     6.1, ,     4.1, ,    10.3, ,     3.9, ,     9.4, ,    16.5, ,    11.5, 
 1964,     4.2, ,     4.0, ,     5.3, ,     7.3, ,    11.1, ,    14.6, ,    16.5, ,    16.3, ,    13.6, ,    10.8, ,     4.3, ,     0.9, ,     9.1, ,     4.1, ,     7.9, ,    15.8, ,     9.6, 
 1965,     1.3, ,     4.0, ,     5.6, ,     9.5, ,    10.9, ,    15.3, ,    18.0, ,    17.5, ,    13.2, ,    11.2, ,     7.4, ,     2.7, ,     9.7, ,     2.1, ,     8.7, ,    16.9, ,    10.6, 
 1966,     2.3, ,     4.1, ,     5.9, ,     8.4, ,    11.9, ,    14.6, ,    16.4, ,    17.0, ,    15.3, ,     9.3, ,     6.3, ,     5.3, ,     9.7, ,     3.0, ,     8.7, ,    16.0, ,    10.3, 
 1967,     4.2, ,     4.9, ,     5.1, ,     7.6, ,    12.4, ,    17.6, ,    17.3, ,    19.3, ,    16.0, ,    10.6, ,     6.1, ,     2.9, ,    10.3, ,     4.8, ,     8.4, ,    18.1, ,    10.9, 
 1968,     2.8, ,     5.2, ,     7.5, ,     7.6, ,    12.5, ,    14.8, ,    18.3, ,    16.4, ,    14.4, ,     9.3, ,     6.1, ,     1.1, ,     9.7, ,     3.6, ,     9.2, ,    16.5, ,     9.9, 
