1107680,STAVE_FALLS         ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1107680,STAVE_FALLS         ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1909, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.6, ,     0.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1910,     1.2, ,     0.7, ,     5.9, ,     8.9, ,    13.8, ,    14.0, ,    17.5, ,    15.7, ,    15.5, ,    11.0, ,     6.4, ,     6.4, ,     9.8, ,     0.7, ,     9.5, ,    15.7, ,    11.0, 
 1911,    -1.3, ,     1.5, ,     6.0, ,     9.0, ,    12.2, ,    15.6, ,    19.7, ,    18.2, ,    13.1, ,    10.7, ,     4.2, ,     4.6, ,     9.5, ,     2.2, ,     9.1, ,    17.8, ,     9.3, 
 1912,     0.2, ,     4.6, ,     4.6, ,     7.8, ,    15.2, ,    17.5, ,    19.2, ,    18.1, ,    13.8, ,     8.2, ,     6.0, ,     3.1, ,     9.9, ,     3.1, ,     9.2, ,    18.3, ,     9.3, 
 1913,    -1.8, ,    -0.6, ,     3.0, ,     8.7, ,    12.2, ,    16.1, ,    18.1, ,    18.8, ,    13.4, ,     8.7, ,     5.0, ,     3.5, ,     8.8, ,     0.2, ,     8.0, ,    17.7, ,     9.0, 
 1914,     3.4, ,     2.3, ,     6.4, ,     9.8, ,    14.5, ,    15.8, ,    18.8, ,    18.0, ,    13.0, ,    11.7, ,     6.5, ,     1.0, ,    10.1, ,     3.1, ,    10.2, ,    17.5, ,    10.4, 
 1915,     2.5, ,     5.7, ,     9.1, ,    11.9, ,    14.3, ,    15.9, ,    19.2, ,    19.4, ,    14.8, ,    10.7, ,     4.9, ,     3.3, ,    11.0, ,     3.1, ,    11.8, ,    18.2, ,    10.1, 
 1916,    -4.3, ,     2.6, ,     4.4, ,     8.9, ,    11.5, ,    15.6, ,    16.9, ,    18.1, ,    15.1, ,     9.4, ,     4.1, ,     0.2, ,     8.5, ,     0.5, ,     8.3, ,    16.9, ,     9.5, 
 1917,     0.1, ,    -0.1, ,     3.2, ,     7.2, ,    12.2, ,    13.5, ,    18.2, ,    18.9, ,    15.6, ,    10.8, ,     9.0, ,     2.9, ,     9.3, ,     0.1, ,     7.5, ,    16.9, ,    11.8, 
 1918,     3.6, ,     2.2, ,     3.5, ,    10.2, ,    12.1, ,    16.5, ,    18.4, ,    17.7, ,    17.6, ,    11.4, ,     6.3, ,     3.9, ,    10.3, ,     2.9, ,     8.6, ,    17.5, ,    11.8, 
 1919,     3.4, ,     2.5, ,     5.4, ,     9.4, ,    11.7, ,    14.4, ,    17.8, ,    18.1, ,    15.4, ,     9.0, ,     5.3, ,     1.5, ,     9.5, ,     3.3, ,     8.8, ,    16.8, ,     9.9, 
 1920,     0.8, ,     3.3, ,     6.3, ,     7.1, ,    11.3, ,    15.5, ,    19.6, ,    19.5, ,    14.4, ,     8.5, ,     8.0, ,     6.3, ,    10.1, ,     1.9, ,     8.2, ,    18.2, ,    10.3, 
 1921,     4.9, ,     5.9, ,     6.1, ,     8.3, ,    13.3, ,    16.6, ,    18.0, ,    18.0, ,    14.5, ,    12.5, ,     7.0, ,     2.8, ,    10.7, ,     5.7, ,     9.2, ,    17.5, ,    11.3, 
 1922,     1.6, ,     2.8, ,     5.1, ,     8.5, ,    13.4, ,    16.2, ,    17.5, ,    17.4, ,    14.2, ,    10.6, ,     3.6, ,     0.6, ,     9.3, ,     2.4, ,     9.0, ,    17.0, ,     9.5, 
 1923,     4.3, ,     3.2, ,     7.8, ,    12.4, ,    13.3, ,    16.7, ,    19.7, ,    20.3, ,    16.6, ,    12.7, ,     5.5, ,     2.1, ,    11.2, ,     2.7, ,    11.2, ,    18.9, ,    11.6, 
 1924,     1.9, ,     6.0, ,     5.7, ,     8.1, ,    15.0, ,    16.0, ,    18.1, ,    17.8, ,    15.4, , -9999.9,M,     4.5, ,     0.3, , -9999.9,M,     3.3, ,     9.6, ,    17.3, , -9999.9,M
 1925,     2.5, ,     7.1, ,     6.9, ,    11.4, ,    15.8, ,    16.8, ,    19.7, ,    18.2, ,    16.2, ,     9.8, ,     5.9, ,     5.7, ,    11.3, ,     3.3, ,    11.4, ,    18.2, ,    10.6, 
 1926,     3.2, ,     6.0, ,     9.1, ,    12.6, ,    13.3, ,    17.0, ,    18.9, ,    17.6, ,    12.6, ,    10.8, ,     7.6, ,     1.4, ,    10.8, ,     5.0, ,    11.7, ,    17.8, ,    10.3, 
 1927,     1.3, ,     3.8, ,     4.0, ,     7.1, ,    10.5, ,    16.3, ,    17.9, ,    18.0, ,    13.5, ,     9.1, ,     4.4, ,    -1.2, ,     8.7, ,     2.2, ,     7.2, ,    17.4, ,     9.0, 
 1928,     2.5, ,     4.0, ,     6.7, ,     8.7, ,    15.5, ,    15.7, ,    19.1, ,    18.1, ,    15.0, ,     9.4, ,     5.7, ,     2.0, ,    10.2, ,     1.8, ,    10.3, ,    17.6, ,    10.0, 
 1929,    -2.6, ,     0.5, ,     7.0, ,     8.0, ,    14.6, ,    17.3, ,    20.8, ,    21.0, ,    16.9, ,     8.9, ,     3.1, ,     0.9, ,     9.7, ,     0.0, ,     9.9, ,    19.7, ,     9.6, 
 1930,    -6.4, ,     2.6, ,     5.3, ,    10.1, ,    11.5, ,    15.0, ,    17.9, ,    19.6, ,    15.1, ,     8.8, ,     4.3, ,     3.8, ,     9.0, ,    -1.0, ,     9.0, ,    17.5, ,     9.4, 
 1931,     5.1, ,     3.9, ,     6.1, ,    10.6, ,    14.6, ,    15.8, ,    19.4, ,    18.3, ,    14.5, ,    10.5, ,     4.2, ,     3.4, ,    10.5, ,     4.3, ,    10.4, ,    17.8, ,     9.7, 
 1932,     0.9, ,     3.4, ,     6.8, ,    11.1, ,    14.4, ,    18.7, ,    19.1, ,    17.4, ,    15.1, ,    10.8, ,     6.6, ,    -0.2, ,    10.3, ,     2.6, ,    10.8, ,    18.4, ,    10.8, 
 1933,     1.2, ,    -1.5, ,     4.5, ,     7.9, ,    10.1, ,    13.9, ,    16.5, ,    18.6, ,    12.2, ,     9.1, ,     5.4, ,     1.5, ,     8.3, ,    -0.2, ,     7.5, ,    16.3, ,     8.9, 
 1934,     2.9, ,     4.5, ,     7.2, ,    11.8, ,    12.8, ,    15.3, ,    16.1, ,    17.9, ,    13.6, ,    11.3, ,     7.2, ,     2.4, ,    10.3, ,     3.0, ,    10.6, ,    16.4, ,    10.7, 
 1935,     0.4, ,     4.0, ,     2.6, ,     7.6, ,    11.6, ,    14.1, ,    17.1, ,    16.8, ,    15.4, ,     8.2, ,     2.6, ,     3.4, ,     8.7, ,     2.3, ,     7.3, ,    16.0, ,     8.7, 
 1936,     2.1, ,    -3.5, ,     3.6, ,    10.2, ,    14.9, ,    17.9, ,    19.1, ,    19.9, ,    15.4, ,    12.4, ,     5.6, ,     4.2, ,    10.2, ,     0.7, ,     9.6, ,    19.0, ,    11.1, 
 1937,    -4.2, ,     0.9, ,     6.9, ,     7.1, ,    12.9, ,    17.3, ,    19.0, ,    17.5, ,    16.2, ,    12.7, ,     6.3, ,     3.0, ,     9.6, ,     0.3, ,     9.0, ,    17.9, ,    11.7, 
 1938,     2.3, ,     3.4, ,     5.7, ,     9.9, ,    13.1, ,    15.8, ,    18.9, ,    16.5, ,    16.8, ,    11.0, ,     3.4, ,     3.1, ,    10.0, ,     2.9, ,     9.6, ,    17.1, ,    10.4, 
 1939,     4.5, ,     1.9, ,     6.7, ,    10.9, ,    14.0, ,    15.2, ,    19.2, ,    20.9, ,    16.3, ,    10.9, ,     9.3, ,     7.2, ,    11.4, ,     3.2, ,    10.5, ,    18.4, ,    12.2, 
 1940,     4.6, ,     5.8, ,     8.4, ,    12.4, ,    15.8, ,    18.4, ,    19.2, ,    16.3, ,    15.6, ,    11.9, ,     3.6, ,     4.6, ,    11.4, ,     5.9, ,    12.2, ,    18.0, ,    10.4, 
 1941,     4.9, ,     6.2, ,     9.7, ,    11.4, ,    12.6, ,    16.1, ,    20.9, ,    18.5, ,    13.6, ,    10.5, ,     6.9, ,     2.7, ,    11.2, ,     5.2, ,    11.2, ,    18.5, ,    10.3, 
 1942,     2.0, ,     3.8, ,     5.4, ,    10.3, ,    12.8, ,    15.4, ,    20.4, ,    20.3, ,    16.4, ,    11.7, ,     4.3, ,     3.4, ,    10.5, ,     2.8, ,     9.5, ,    18.7, ,    10.8, 
 1943,    -1.5, ,     4.8, ,     4.0, ,     9.8, ,    10.8, ,    14.0, ,    17.2, ,    16.6, ,    16.2, ,    11.3, ,     6.9, ,     3.0, ,     9.4, ,     2.2, ,     8.2, ,    15.9, ,    11.5, 
 1944,     3.4, ,     3.8, ,     5.2, ,     9.9, ,    13.1, ,    16.2, ,    18.1, ,    17.2, ,    14.5, ,    10.4, ,     5.4, ,     0.8, ,     9.8, ,     3.4, ,     9.4, ,    17.2, ,    10.1, 
 1945,     3.9, ,     4.6, ,     4.9, ,     7.0, ,    13.4, ,    14.5, ,    18.4, ,    18.6, ,    14.0, ,    11.2, ,     4.6, ,     3.5, ,     9.9, ,     3.1, ,     8.4, ,    17.2, ,     9.9, 
 1946,     3.7, ,     4.3, ,     6.0, ,     8.1, ,    14.2, ,    14.6, ,    17.5, ,    17.5, ,    14.8, ,     8.5, ,     3.9, ,     2.7, ,     9.7, ,     3.8, ,     9.4, ,    16.5, ,     9.1, 
 1947,     0.0, ,     4.9, ,     7.8, ,    10.5, ,    14.1, ,    15.4, ,    17.0, ,    17.0, ,    15.4, ,    10.5, ,     5.2, ,     4.3, ,    10.2, ,     2.5, ,    10.8, ,    16.5, ,    10.4, 
 1948,     2.8, ,     2.1, ,     5.3, ,     7.7, ,    11.8, ,    17.0, ,    16.8, ,    16.9, ,    13.8, ,    10.1, ,     5.3, ,     0.8, ,     9.2, ,     3.1, ,     8.3, ,    16.9, ,     9.7, 
 1949,    -1.9, ,     1.3, ,     6.2, ,     9.3, ,    13.6, ,    14.3, ,    16.0, ,    16.7, ,    15.6, ,     8.6, ,     9.2, ,     2.2, ,     9.3, ,     0.1, ,     9.7, ,    15.7, ,    11.1, 
 1950,    -6.5, ,     2.9, ,     4.7, ,     7.9, ,    10.4, ,    16.0, ,    17.5, ,    17.9, ,    15.4, ,     9.5, ,     5.3, ,     6.1, ,     8.9, ,    -0.5, ,     7.7, ,    17.1, ,    10.1, 
 1951,     2.0, ,     3.1, ,     3.4, ,    10.5, ,    12.9, ,    16.2, ,    18.5, ,    17.2, ,    15.7, ,    10.4, ,     6.4, ,     1.4, ,     9.8, ,     3.7, ,     8.9, ,    17.3, ,    10.8, 
 1952,     0.6, ,     4.1, ,     5.1, ,     9.6, ,    12.9, ,    13.4, ,    17.6, ,    17.6, ,    15.9, ,    12.6, ,     5.6, ,     4.6, ,    10.0, ,     2.0, ,     9.2, ,    16.2, ,    11.4, 
 1953,     5.8, ,     4.6, ,     5.9, ,     9.1, ,    12.9, ,    13.4, ,    17.2, ,    17.7, ,    15.4, ,    11.9, ,     8.3, ,     4.9, ,    10.6, ,     5.0, ,     9.3, ,    16.1, ,    11.9, 
 1954,    -0.1, ,     4.4, ,     4.8, ,     6.7, ,    12.7, ,    13.6, ,    15.5, ,    15.8, ,    14.7, ,    10.3, ,     8.7, ,     4.6, ,     9.3, ,     3.1, ,     8.1, ,    15.0, ,    11.2, 
 1955,     3.4, ,     2.9, ,     2.5, ,     7.2, ,     9.9, ,    14.2, ,    15.5, ,    16.5, ,    14.2, ,    10.0, ,     2.4, ,     2.3, ,     8.4, ,     3.6, ,     6.5, ,    15.4, ,     8.9, 
 1956,     2.6, ,     0.4, ,     4.1, ,    10.1, ,    14.5, ,    13.3, ,    18.4, ,    17.8, ,    13.9, ,     8.9, ,     5.1, ,     3.2, ,     9.4, ,     1.8, ,     9.6, ,    16.5, ,     9.3, 
 1957,    -1.4, ,     2.0, ,     6.0, ,     9.7, ,    15.0, ,    15.3, ,    16.0, ,    16.3, ,    17.0, ,    10.4, ,     5.9, ,     5.4, ,     9.8, ,     1.3, ,    10.2, ,    15.9, ,    11.1, 
 1958, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1959, -9999.9,M, -9999.9,M,     5.5, ,     8.9, ,    11.8, ,    15.2, ,    17.9, ,    15.8, ,    13.5, ,     9.3, ,     4.4, ,     3.5, , -9999.9,M, -9999.9,M,     8.7, ,    16.3, ,     9.1, 
 1960,     2.1, ,     4.3, ,     5.0, ,     9.3, ,    11.0, ,    13.9, ,    17.7, ,    16.4, ,    13.7, ,    10.9, ,     5.6, ,     3.2, ,     9.4, ,     3.3, ,     8.4, ,    16.0, ,    10.1, 
 1961,     4.2, ,     5.2, ,     6.4, ,     8.3, ,    12.3, ,    16.8, ,    18.9, ,    19.4, ,    13.4, ,     8.6, ,     4.3, ,     2.5, ,    10.0, ,     4.2, ,     9.0, ,    18.4, ,     8.8, 
 1962,     1.9, ,     4.7, ,     4.1, ,     8.9, ,     9.9, ,    14.1, ,    15.7, ,    15.7, ,    14.3, ,     9.8, ,     6.3, , -9999.9,M, -9999.9,M,     3.0, ,     7.6, ,    15.2, ,    10.1, 
 1963,     0.1, ,     6.5, ,     5.8, ,     8.6, ,    13.1, ,    14.6, ,    15.9, ,    17.8, ,    16.6, ,    11.5, ,     6.1, ,     3.8, ,    10.0, , -9999.9,M,     9.2, ,    16.1, ,    11.4, 
 1964,     3.9, ,     4.2, ,     5.0, ,     7.2, ,    11.0, ,    14.4, ,    16.1, ,    16.0, ,    13.5, ,    10.6, ,     4.6, ,     0.3, ,     8.9, ,     4.0, ,     7.7, ,    15.5, ,     9.6, 
 1965,     1.2, ,     3.4, ,     5.7, ,     9.4, ,    11.0, ,    15.0, ,    18.8, ,    17.9, ,    13.4, ,    10.9, ,     7.0, ,     3.0, ,     9.7, ,     1.6, ,     8.7, ,    17.2, ,    10.4, 
 1966,     1.8, ,     3.6, ,     5.9, ,     8.8, ,    12.0, ,    14.4, ,    16.4, ,    17.2, ,    15.6, ,     9.4, ,     6.4, ,     5.3, ,     9.7, ,     2.8, ,     8.9, ,    16.0, ,    10.5, 
 1967,     3.8, ,     4.6, ,     4.9, ,     7.6, ,    11.9, ,    17.5, ,    17.6, ,    20.3, ,    16.6, ,    10.7, ,     6.4, ,     2.6, ,    10.4, ,     4.6, ,     8.1, ,    18.5, ,    11.2, 
 1968,     2.6, ,     5.6, ,     7.1, ,     7.6, ,    12.4, ,    14.7, ,    18.2, ,    16.6, ,    14.8, ,     9.1, ,     6.1, ,     0.6, ,     9.6, ,     3.6, ,     9.0, ,    16.5, ,    10.0, 
 1969,    -3.3, ,     2.4, ,     5.7, ,     8.0, ,    13.7, ,    17.5, ,    16.6, ,    15.2, ,    13.9, ,    10.0, ,     6.3, ,     5.1, ,     9.3, ,    -0.1, ,     9.1, ,    16.4, ,    10.1, 
 1970,     2.9, ,     6.2, ,     6.6, ,     7.4, ,    11.3, ,    16.4, ,    17.4, ,    16.7, ,    12.7, ,     8.7, ,     5.4, ,     2.1, ,     9.5, ,     4.7, ,     8.4, ,    16.8, ,     8.9, 
 1971,     1.2, ,     3.6, ,     3.8, ,     8.2, ,    12.1, , -9999.9,M,    18.7, ,    18.8, ,    13.6, ,     7.7, ,     5.5, ,     0.3, , -9999.9,M,     2.3, ,     8.0, , -9999.9,M,     8.9, 
 1972,    -0.2, ,     2.8, ,     6.0, ,     6.3, ,    13.3, ,    13.8, ,    17.1, ,    18.6, ,    12.6, ,     8.8, ,     6.0, ,     1.0, ,     8.8, ,     1.0, ,     8.5, ,    16.5, ,     9.1, 
 1973,     1.8, ,     4.6, ,     5.9, ,     9.1, ,    12.3, ,    14.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.5, ,     9.1, , -9999.9,M, -9999.9,M
 1974, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1975, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1976, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1977, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1978, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1979,    -0.9,E, -9999.9,M, -9999.9,M, -9999.9,M,    13.4,E, -9999.9,M, -9999.9,M, -9999.9,M,    16.3,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
