1113543,HOPE                ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1113543,HOPE                ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1936, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1937, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1938,     1.1, ,     1.9, ,     6.2, ,    10.3, ,    13.4, ,    16.2, ,    19.3, ,    17.5, ,    18.0, ,    11.6, ,     4.4, ,     2.1, ,    10.2, , -9999.9,M,    10.0, ,    17.7, ,    11.3, 
 1939,     3.7, ,     0.6, ,     6.4, ,    10.9, ,    13.3, ,    14.3, ,    17.7, ,    19.5, ,    15.5, ,    10.4, ,     7.4, ,     5.4, ,    10.4, ,     2.1, ,    10.2, ,    17.2, ,    11.1, 
 1940,     2.9, ,     4.0, ,     8.2, ,    11.6, ,    14.7, ,    16.5, ,    18.1, ,    18.8, ,    18.6, ,    12.3, ,     2.5, ,     3.0, ,    10.9, ,     4.1, ,    11.5, ,    17.8, ,    11.1, 
 1941,     3.1, ,     6.0, ,    10.4, ,    11.9, ,    13.3, ,    16.1, ,    20.7, ,    18.6, ,    13.9, ,    11.0, ,     6.7, ,     2.2, ,    11.2, ,     4.0, ,    11.9, ,    18.5, ,    10.5, 
 1942,     1.6, ,     4.5, ,     6.3, ,    11.3, ,    13.3, ,    15.4, , -9999.9,M,    21.0, ,    16.7, ,    11.0, ,     3.8, ,     3.0, , -9999.9,M,     2.8, ,    10.3, , -9999.9,M,    10.5, 
 1943,    -4.9, ,     5.1, ,     4.9, ,    10.7, ,    12.0, ,    15.7, ,    18.1, ,    17.5, ,    17.3, ,    11.1, ,     6.4, ,     2.5, ,     9.7, ,     1.1, ,     9.2, ,    17.1, ,    11.6, 
 1944,     1.3, ,     3.5, ,     5.3, ,    10.7, ,    13.5, ,    16.4, ,    18.5, ,    17.5, ,    16.9, ,    13.5, ,     6.3, ,     1.5, ,    10.4, ,     2.4, ,     9.8, ,    17.5, ,    12.2, 
 1945,     2.7, ,     4.1, ,     5.2, ,     7.8, ,    14.1, ,    15.1, ,    18.3, ,    18.8, ,    14.4, ,    11.2, ,     2.8, ,     1.6, ,     9.7, ,     2.8, ,     9.0, ,    17.4, ,     9.5, 
 1946,     3.0, ,     3.6, ,     6.3, ,     8.8, ,    15.0, ,    15.2, ,    18.2, ,    18.7, ,    15.4, ,     8.7, ,     1.8, ,     1.3, ,     9.7, ,     2.7, ,    10.0, ,    17.4, ,     8.6, 
 1947,    -0.7, ,     3.8, ,     8.0, ,    10.7, ,    15.0, ,    15.2, ,    17.3, ,    17.3, ,    15.9, ,    10.2, ,     4.6, ,     2.7, ,    10.0, ,     1.5, ,    11.2, ,    16.6, ,    10.2, 
 1948,     1.8, ,     0.4, ,     5.2, ,     8.3, , -9999.9,M,    17.7, ,    17.4, ,    17.4, ,    14.2, ,     9.9, ,     4.6, ,    -1.5, , -9999.9,M,     1.6, , -9999.9,M,    17.5, ,     9.6, 
 1949,    -3.8, ,    -0.5, ,     5.8, ,     9.8, ,    14.0, ,    14.9, ,    16.7, ,    17.3, ,    16.3, ,     9.2, ,     8.5, ,    -0.5, ,     9.0, ,    -1.9, ,     9.9, ,    16.3, ,    11.3, 
 1950,   -12.6, ,     1.0, ,     4.2, ,     8.0, ,    11.0, ,    16.2, ,    18.1, ,    18.4, ,    15.6, ,     9.0, ,     3.7, ,     3.5, ,     8.0, ,    -4.0, ,     7.7, ,    17.6, ,     9.4, 
 1951,    -0.9, ,     1.4, ,     2.3, ,    10.5, ,    12.9, ,    16.9, ,    19.1, ,    18.2, ,    16.7, ,    10.0, ,     4.7, ,    -2.0, ,     9.2, ,     1.3, ,     8.6, ,    18.1, ,    10.5, 
 1952,    -3.6, ,     2.9, ,     5.3, ,     9.6, ,    13.2, ,    14.2, ,    18.1, ,    18.8, ,    16.5, ,    12.7, ,     3.9, ,     2.1, ,     9.5, ,    -0.9, ,     9.4, ,    17.0, ,    11.0, 
