1124980,MCCULLOCH           ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1124980,MCCULLOCH           ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1936,    -7.5, ,   -17.2, ,    -5.9, ,     2.5, ,     8.8, ,    11.2, ,    12.9, ,    13.0, ,     7.0, ,     4.5, ,    -1.8, ,    -7.3, ,     1.7, , -9999.9,M,     1.8, ,    12.4, ,     3.2, 
 1937,   -16.7, ,    -8.2, ,    -1.6, ,     0.8, ,     5.1, ,    10.9, ,    13.2, ,    10.3, ,    10.0, ,     6.4, ,    -1.2, ,    -6.3, ,     1.9, ,   -10.7, ,     1.4, ,    11.5, ,     5.1, 
 1938,    -7.7, ,    -5.5, ,    -2.4, ,     2.8, ,     7.2, ,    12.4, ,    14.6, ,    11.3, ,    12.1, ,     4.5, ,    -4.9, ,    -7.8, ,     3.1, ,    -6.5, ,     2.5, ,    12.8, ,     3.9, 
 1939,    -6.4, ,    -9.8, ,    -2.0, ,     4.4, ,     7.8, ,     9.3, ,    13.9, ,    15.5, ,    10.0, ,     4.0, ,     1.9, ,    -0.8, ,     4.0, ,    -8.0, ,     3.4, ,    12.9, ,     5.3, 
 1940,    -6.5, ,    -4.7, ,     0.2, ,     3.9, ,     8.1, ,    12.0, ,    15.1, ,    13.3, ,    12.3, ,     5.8, ,    -6.9, ,    -5.0, ,     4.0, ,    -4.0, ,     4.1, ,    13.5, ,     3.7, 
 1941,    -4.9, ,    -5.1, ,     1.3, ,     5.8, ,     8.3, ,    12.5, ,    16.8, ,    13.4, ,     6.6, ,     3.2, ,    -1.4, ,    -5.9, ,     4.2, ,    -5.0, ,     5.1, ,    14.2, ,     2.8, 
 1942,    -8.2, ,    -5.4, ,    -3.0, ,     3.3, ,     7.3, ,    10.8, ,    14.0, ,    15.0, ,     9.4, ,     4.5, ,    -5.2, ,    -6.9, ,     3.0, ,    -6.5, ,     2.5, ,    13.3, ,     2.9, 
 1943,   -15.6, ,    -4.0, ,    -6.4, ,     3.4, ,     5.0, ,     8.4, ,    13.0, ,    11.3, ,     8.6, ,     3.3, ,    -1.6, ,    -5.7, ,     1.6, ,    -8.8, ,     0.7, ,    10.9, ,     3.4, 
 1944,    -6.9, ,    -6.8, ,    -4.8, ,     3.5, ,     6.5, ,    10.8, ,    13.4, ,    10.9, ,     9.0, ,     6.6, ,    -3.5, ,    -9.2, ,     2.5, ,    -6.5, ,     1.7, ,    11.7, ,     4.0, 
 1945,    -7.0, ,    -6.6, ,    -3.7, ,    -1.3, ,     8.3, ,     9.2, ,    14.3, ,    14.0, ,     8.5, ,     5.4, ,    -4.6, ,    -7.6, ,     2.4, ,    -7.6, ,     1.1, ,    12.5, ,     3.1, 
 1946,    -8.1, ,    -6.2, ,    -3.3, ,     2.1, ,     7.6, ,     8.6, ,    12.6, ,    12.6, ,     9.7, ,     2.4, ,    -6.0, ,    -5.6, ,     2.2, ,    -7.3, ,     2.1, ,    11.3, ,     2.0, 
 1947,    -9.0, ,    -3.5, ,    -0.5, ,     2.9, ,     8.0, ,     9.4, ,    12.6, ,    12.0, ,    10.5, ,     4.3, ,    -4.1, ,    -5.5, ,     3.1, ,    -6.0, ,     3.5, ,    11.3, ,     3.6, 
 1948,    -8.3, ,    -9.1, ,    -5.5, ,     1.2, ,     6.8, ,    12.4, ,    11.6, ,    11.4, ,     7.5, ,     3.7, ,    -5.8, ,   -11.5, ,     1.2, ,    -7.6, ,     0.8, ,    11.8, ,     1.8, 
 1949, -9999.9,M,    -8.9, ,    -2.5, ,     3.7, ,     9.4, , -9999.9,M,    11.8, ,    12.7, ,     9.4, ,     3.0, ,     2.9, ,    -9.3, , -9999.9,M, -9999.9,M,     3.5, , -9999.9,M,     5.1, 
 1950,   -21.8, ,    -5.2, ,    -3.8, ,     1.2, ,     5.9, ,    11.8, ,    13.9, ,    13.1, ,    10.8, ,     2.8, ,    -3.5, ,    -3.2, ,     1.8, ,   -12.1, ,     1.1, ,    12.9, ,     3.4, 
 1951,    -9.2, ,    -7.1, ,    -5.0, ,     1.7, ,     8.4, ,     9.1, ,    13.4, ,    12.0, ,     9.3, ,     3.1, ,    -3.3, ,   -10.9, ,     1.8, ,    -6.5, ,     1.7, ,    11.5, ,     3.0, 
 1952,   -10.0, ,    -5.2, ,    -3.8, ,     3.8, ,     6.6, ,     9.4, ,    13.2, ,    12.7, ,    10.6, ,     6.4, ,    -3.7, ,    -4.3, ,     3.0, ,    -8.7, ,     2.2, ,    11.8, ,     4.4, 
 1953,    -3.2, ,    -5.3, ,    -1.9, ,     0.8, ,     7.6, ,     8.6, ,    12.1, ,    12.9, ,     9.3, ,     5.4, ,     0.0, ,    -5.0, ,     3.4, ,    -4.3, ,     2.2, ,    11.2, ,     4.9, 
 1954,   -10.0, ,    -2.6, ,    -5.9, ,    -0.8, ,     6.4, ,     8.7, ,    11.9, , -9999.9,M, -9999.9,M, -9999.9,M,     1.5, ,    -5.3, , -9999.9,M,    -5.9, ,    -0.1, , -9999.9,M, -9999.9,M
 1955,    -7.3, ,    -8.0, ,    -8.4, ,    -1.7, ,     3.6, ,     9.4, ,    12.5, ,    11.8, ,     8.3, ,     3.3, ,    -9.7, ,    -9.6, ,     0.4, ,    -6.9, ,    -2.2, ,    11.2, ,     0.6, 
 1956,    -7.9, ,   -10.7, ,    -5.0, ,     2.7, ,     7.7, ,     8.3, ,    13.7, ,    12.9, ,     8.7, ,     1.6, ,    -5.0, ,    -8.3, ,     1.6, ,    -9.4, ,     1.8, ,    11.6, ,     1.8, 
 1957,   -16.0, ,    -9.0, ,    -4.3, ,     1.4, ,     8.9, ,     9.7, ,    10.4, ,     8.9, ,     9.4, ,     1.5, ,    -3.0, ,    -6.1, ,     1.0, ,   -11.1, ,     2.0, ,     9.7, ,     2.6, 
 1958,    -5.4, ,    -2.7, ,    -4.1, ,     0.5, ,     9.2, ,    11.1, ,    14.1, ,    13.5, ,     8.2, ,     5.1, ,    -4.7, ,    -5.1, ,     3.3, ,    -4.7, ,     1.9, ,    12.9, ,     2.9, 
 1959,    -8.3, ,    -6.7, ,    -2.5, ,     1.5, ,     5.0, ,    10.5, ,    13.5, ,    11.4, ,     8.3, ,     3.4, ,    -5.5, ,    -5.8, ,     2.1, ,    -6.7, ,     1.3, ,    11.8, ,     2.1, 
 1960,    -9.0, ,    -7.2, ,    -3.2, ,     2.3, ,     5.2, ,    10.6, ,    15.4, ,    12.1, ,     7.8, ,     4.2, ,    -3.2, ,    -7.2, ,     2.3, ,    -7.3, ,     1.4, ,    12.7, ,     2.9, 
 1961,    -6.0, ,    -3.7, ,    -2.4, ,     0.9, ,     6.8, ,    13.4, ,    15.7, ,    15.0, ,     7.1, ,     2.8, ,    -5.2, ,    -7.2, ,     3.1, ,    -5.6, ,     1.8, ,    14.7, ,     1.6, 
 1962,    -8.9, ,    -5.7, ,    -4.3, ,     4.1, ,     6.1, ,     9.8, ,    12.9, ,    11.5, ,     9.1, ,     4.8, ,    -1.0, ,    -3.3, ,     2.9, ,    -7.3, ,     2.0, ,    11.4, ,     4.3, 
 1963,   -11.3, ,    -1.6, ,    -0.8, ,     2.8, ,     7.5, ,    11.1, ,    12.3, ,    14.4, ,    13.0, ,     5.9, ,    -2.2, ,    -5.5, ,     3.8, ,    -5.4, ,     3.2, ,    12.6, ,     5.6, 
 1964,    -6.5, ,    -4.9, ,    -3.8, ,     0.6, ,     5.8, ,    10.3, ,    13.6, ,    11.0, ,     6.8, ,     5.0, ,    -1.9, ,    -9.4, ,     2.2, ,    -5.6, ,     0.9, ,    11.6, ,     3.3, 
 1965,    -5.4, ,    -5.4, ,    -6.0, ,     2.3, ,     6.0, ,    10.3, ,    14.2, ,    13.9, ,     6.4, ,     6.0, ,    -1.2, ,    -5.7, ,     3.0, ,    -6.7, ,     0.8, ,    12.8, ,     3.7, 
 1966,    -6.8, ,    -4.7, ,    -2.2, ,     1.7, ,     6.8, ,     8.9, ,    12.2, ,    11.9, ,    11.5, ,     3.6, ,    -2.3, ,    -3.7, ,     3.1, ,    -5.7, ,     2.1, ,    11.0, ,     4.3, 
 1967,    -4.7, ,    -2.2, ,    -3.6, ,     0.1, ,     6.5, ,    12.3, ,    13.3, ,    15.6, ,    12.4, ,     3.7, ,    -2.6, ,    -6.7, ,     3.7, ,    -3.5, ,     1.0, ,    13.7, ,     4.5, 
