1125760,OLIVER              ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1125760,OLIVER              ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1938, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.1,a,    22.9,a,    18.7,a,    17.6,a,    10.1,a,     1.2,a,    -2.1,a, -9999.9,M, -9999.9,M, -9999.9,M,    20.6,a,     9.6,a
 1939,     0.1,a,    -3.1,a,     4.4,a, -9999.9,M,    14.9,a,    16.4,a,    21.7,a,    20.8,a,    15.6,a,     9.3,a,     4.0,a,     2.4,a, -9999.9,M,    -1.7,a, -9999.9,M,    19.6,a,     9.6,a
 1940,    -1.3,a,     1.5,a,     7.2,a,    11.4,a,    15.9,a,    20.2,a,    22.7,a,    20.3,a,    18.3,a,    11.2,a,     0.2,a,     0.4,a,    10.7,a,     0.9,a,    11.5,a,    21.1,a,     9.9,a
 1941,     0.4,a,     2.0,a,     7.5,a,    12.0,a,    14.5,a,    17.6,a,    22.7,a,    20.1,a,    13.1,a,     8.8,a,     3.9,a,     0.6,a,    10.3,a,     0.9,a,    11.3,a,    20.1,a,     8.6,a
 1942,    -4.3,a,     1.0,a,     4.5,a,    10.5,a,    13.0,a,    17.0,a,    21.9,a,    21.2,a,    16.2,a,     9.7,a,     1.3,a,    -1.8,a,     9.2,a,    -0.9,a,     9.3,a,    20.0,a,     9.1,a
 1943,    -8.3,a,     0.3,a,     2.3,a,    10.8,a,    12.8,a,    16.2,a,    22.0,a,    20.1,a,    15.6,a,     9.3,a,     3.3,a,    -1.2,a,     8.6,a,    -3.3,a,     8.6,a,    19.4,a,     9.4,a
 1944,    -3.0,a,    -0.5,a,     3.1,a,    10.1,a,    14.2,a,    19.0,a,    22.3,a,    20.0,a,    16.0,a,    10.6,a,     3.2,a,    -2.6,a,     9.4,a,    -1.6,a,     9.1,a,    20.4,a,     9.9,a
 1945,    -0.4,a,     0.9,a,     4.0,a,     8.0,a,    14.9,a,    18.2,a,    22.6,a,    21.7,a,    14.3,a,     9.3,a,     1.6,a,    -1.0,a,     9.5,a,    -0.7,a,     9.0,a,    20.8,a,     8.4,a
 1946,    -1.6,a,    -0.7,a,     5.2,a,    10.5,a,    16.0,a,    16.5,a,    20.8,a,    20.3,a,    15.2,a,     7.2,a,    -0.2,a,    -2.7,a,     8.9,a,    -1.1,a,    10.6,a,    19.2,a,     7.4,a
 1947,    -5.2,a,     0.9,a,     5.9,a,    10.7,a,    16.0,a,    17.6,a,    20.5,a,    18.8,a,    14.9,a,     9.2,a,     2.6,a,     0.1,a,     9.3,a,    -2.3,a,    10.9,a,    19.0,a,     8.9,a
