1128553,VERNON_BELLA_VISTA  ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1128553,VERNON_BELLA_VISTA  ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1919, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -6.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1920,    -4.5, ,    -2.0, ,     2.6, ,     6.8, ,    11.6, ,    15.8, ,    21.7, ,    20.4, ,    13.5, ,     6.6, ,     2.3, ,     0.4, ,     7.9, ,    -4.4, ,     7.0, ,    19.3, ,     7.5, 
 1921,    -2.5, ,    -0.4, ,     3.3, ,     7.3, ,    13.5, ,    17.8, ,    19.9, ,    19.6, ,    12.1, ,     8.8, ,     0.4, ,    -6.5, ,     7.8, ,    -0.8, ,     8.0, ,    19.1, ,     7.1, 
 1922,    -6.4, ,    -8.8, ,     1.0, ,     7.5, ,    12.0, ,    19.0, ,    20.9, ,    19.9, ,    15.2, ,     8.1, ,     1.6, ,    -7.0, ,     6.9, ,    -7.2, ,     6.8, ,    19.9, ,     8.3, 
 1923,    -2.6, ,    -4.9, ,     3.2, ,     9.0, ,    13.2, ,    16.9, ,    20.9, ,    19.6, ,    14.5, ,     7.9, ,     2.6, ,    -1.2, ,     8.3, ,    -4.8, ,     8.5, ,    19.1, ,     8.3, 
 1924,    -5.7, ,     2.4, ,     3.4, ,     8.7, ,    15.7, ,    17.3, ,    21.2, ,    19.2, ,    15.5, ,     8.2, ,     0.8, ,    -7.5, ,     8.3, ,    -1.5, ,     9.3, ,    19.2, ,     8.2, 
 1925,    -3.6, ,     0.8, ,     4.3, ,    10.0, ,    15.3, ,    18.3, ,    22.2, ,    18.5, ,    14.4, ,     6.5, ,     2.5, ,     1.5, ,     9.2, ,    -3.4, ,     9.9, ,    19.7, ,     7.8, 
 1926,    -2.1, ,     1.7, ,     5.4, ,    10.9, ,    13.2, ,    18.2, ,    21.9, ,    18.7, ,    11.0, ,     8.3, ,     2.7, ,    -2.6, ,     8.9, ,     0.4, ,     9.8, ,    19.6, ,     7.3, 
 1927,    -5.2, ,    -2.9, ,     3.2, ,     7.8, ,    12.0, ,    18.4, ,    20.5, ,    19.7, ,    13.3, ,     7.9, ,    -0.5, ,    -8.4, ,     7.2, ,    -3.6, ,     7.7, ,    19.5, ,     6.9, 
 1928,    -4.3, ,    -1.7, ,     4.0, ,     7.7, ,    15.1, ,    17.1, ,    20.6, ,    19.0, ,    14.8, ,     6.4, ,     2.2, ,    -2.6, ,     8.2, ,    -4.8, ,     8.9, ,    18.9, ,     7.8, 
