112G8L1,SUMMERLAND          ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
112G8L1,SUMMERLAND          ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1907, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.7,a,    17.0,a,    14.3,a,    10.1,a,     3.8,a,    -0.3,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.4,a
 1908,    -1.9,a,    -1.9,a,     3.3,a,     9.2,a,    12.9,a,    17.7,a,    21.7,a,    20.1,a,    14.4,a,     8.3,a,     5.2,a,    -2.6,a,     8.9,a,    -1.4,a,     8.5,a,    19.8,a,     9.3,a
 1909,    -9.7,a,     0.1,a,     4.9,a,     7.7,a,    12.4,a,    17.1,a,    19.0,a,    18.7,a,    16.3,a,     8.8,a,     3.2,a,    -3.9,a,     7.9,a,    -4.1,a,     8.3,a,    18.3,a,     9.4,a
 1910,    -3.4,a,    -4.5,a,     7.1,a,    10.1,a,    15.3,a,    15.7,a,    20.9,a,    17.4,a,    14.3,a,     8.8,a,     2.9,a,     0.1,a,     8.7,a,    -3.9,a,    10.8,a,    18.0,a,     8.7,a
 1911,    -7.0,a,    -3.9,a,     4.3,a,     7.7,a,    12.1,a,    16.9,a,    20.5,a,    18.8,a,    12.9,a,     8.5,a,    -0.7,a,    -1.8,a,     7.4,a,    -3.6,a,     8.0,a,    18.7,a,     6.9,a
 1912,    -4.8,a,     0.4,a,     2.0,a,     9.0,a,    14.2,a,    18.8,a,    19.1,a,    17.1,a,    12.7,a,     6.9,a,     3.2,a,    -0.8,a,     8.2,a,    -2.1,a,     8.4,a,    18.3,a,     7.6,a
 1913,    -6.4,a,    -5.3,a,     1.0,a,     8.6,a,    13.0,a,    17.2,a,    18.9,a,    19.2,a,    13.5,a,     6.9,a,     3.1,a,    -0.4,a,     7.4,a,    -4.2,a,     7.5,a,    18.4,a,     7.8,a
 1914,    -0.2,a,    -2.6,a,     4.3,a,    10.0,a,    13.8,a,    15.8,a,    20.9,a,    20.4,a,    13.0,a,     9.3,a,     3.7,a,    -4.7,a,     8.6,a,    -1.1,a,     9.4,a,    19.0,a,     8.7,a
 1915,    -4.3,a,     1.6,a,     5.9,a,    11.6,a,    13.1,a,    16.9,a,    18.9,a,    21.8,a,    13.9,a,     9.4,a,     0.9,a,    -1.2,a,     9.0,a,    -2.5,a,    10.2,a,    19.2,a,     8.1,a
 1916,   -12.8,a,    -3.7,a,     3.7,a,     9.3,a,    11.8,a,    16.5,a,    17.6,a,    19.6,a,    14.1,a,     8.2,a,    -0.1,a,    -5.0,a,     6.6,a,    -5.9,a,     8.3,a,    17.9,a,     7.4,a
 1917,    -5.5,a,    -4.3,a,     0.6,a,     7.3,a,    13.1,a,    15.4,a,    21.2,a,    20.3,a,    14.3,a,     9.1,a,     4.8,a,    -2.0,a,     7.9,a,    -4.9,a,     7.0,a,    19.0,a,     9.4,a
 1918,    -1.8,a,    -2.7,a,     3.6,a,     9.2,a,    12.6,a,    18.2,a,    20.1,a,    17.6,a,    17.0,a,     9.8,a,     2.6,a,    -0.8,a,     8.8,a,    -2.2,a,     8.5,a,    18.6,a,     9.8,a
 1919,    -1.2,a,    -1.8,a,     1.9,a,     9.4,a,    12.6,a,    15.3,a,    20.9,a,    20.4,a,    13.8,a,     6.2,a,     0.2,a,    -4.8,a,     7.7,a,    -1.3,a,     8.0,a,    18.9,a,     6.7,a
 1920,    -3.7,a,    -0.6,a,     4.1,a,     7.4,a,    12.1,a,    16.2,a,    22.4,a,    21.1,a,    13.7,a,     7.1,a,     3.6,a,     1.1,a,     8.7,a,    -3.0,a,     7.9,a,    19.9,a,     8.1,a
 1921,    -2.0,a,     0.1,a,     4.4,a,     7.6,a,    14.3,a,    17.9,a,    20.5,a,    20.0,a,    12.4,a,     9.3,a,     1.2,a,    -4.3,a,     8.5,a,    -0.3,a,     8.8,a,    19.5,a,     7.6,a
 1922,    -6.4,a,    -6.1,a,     1.5,a,     7.7,a,    12.6,a,    20.2,a,    21.8,a,    19.8,a,    15.3,a,     9.1,a,     1.9,a,    -5.5,a,     7.7,a,    -5.6,a,     7.3,a,    20.6,a,     8.8,a
 1923,    -1.5,a,    -3.9,a,     3.4,a,     9.6,a,    13.5,a,    17.5,a,    21.6, ,    20.5, ,    15.9, ,     9.5, ,     4.1, ,    -0.8, ,     9.1,a,    -3.6,a,     8.8,a,    19.9,a,     9.8, 
 1924,    -4.5, ,     3.8, ,     4.0, ,     8.8, ,    16.5, ,    17.9, ,    21.8, ,    20.2, ,    16.5, ,     9.6, ,     1.4, ,    -5.8, ,     9.2, ,    -0.5, ,     9.8, ,    20.0, ,     9.2, 
 1925,    -2.5, ,     2.7, ,     5.3, ,    10.1, ,    15.5, ,    19.2, ,    23.3, ,    19.7, ,    15.5, ,     8.4, ,     2.9, ,     2.5, ,    10.2, ,    -1.9, ,    10.3, ,    20.7, ,     8.9, 
 1926,    -1.3, ,     3.8, ,     6.8, ,    11.5, ,    13.1, ,    19.2, ,    23.3, ,    19.9, ,    12.3, ,     9.7, ,     4.3, ,    -1.5, ,    10.1, ,     1.7, ,    10.5, ,    20.8, ,     8.8, 
 1927,    -4.2, ,    -1.1, ,     4.4, ,     8.2, ,    12.1, ,    18.7, ,    21.8, ,    20.9, ,    14.4, ,     9.2, ,     1.5, ,    -5.7, ,     8.4, ,    -2.3, ,     8.2, ,    20.5, ,     8.4, 
 1928,    -2.3, ,     0.6, ,     5.4, ,     7.7, ,    15.6, ,    17.7, ,    22.5, ,    20.6, ,    16.7, ,     8.3, ,     3.7, ,    -1.5, ,     9.6, ,    -2.5, ,     9.6, ,    20.3, ,     9.6, 
 1929,    -8.5, ,    -6.4, ,     5.7, ,     7.7, ,    14.6, ,    17.3, ,    21.2, ,    21.8, ,    15.0, ,    10.3, ,     2.5, ,    -1.3, ,     8.3, ,    -5.5, ,     9.3, ,    20.1, ,     9.3, 
 1930,   -11.8, ,     1.6, ,     3.9, ,    11.0, ,    12.6, ,    16.1, ,    21.0, ,    20.9, ,    15.8, ,    10.3, ,     1.9, ,    -1.3, ,     8.5, ,    -3.8, ,     9.2, ,    19.3, ,     9.3, 
 1931,     0.6, ,     0.8, ,     5.4, ,     9.7, ,    15.4, ,    17.2, ,    21.5, ,    20.3, ,    14.7, ,     9.0, ,     0.4, ,    -1.7, ,     9.4, ,     0.0, ,    10.2, ,    19.7, ,     8.0, 
 1932,    -4.6, ,    -2.0, ,     2.6, ,     9.7, ,    13.7, ,    18.9, ,    19.0, ,    20.5, ,    14.8, ,     9.5, ,     4.4, ,    -3.0, ,     8.6, ,    -2.8, ,     8.7, ,    19.5, ,     9.6, 
 1933,    -1.3, ,    -4.9, ,     3.6, ,     8.8, ,    11.6, ,    16.8, ,    20.3, ,    21.7, ,    13.6, ,     8.9, ,     4.3, ,    -0.6, ,     8.6, ,    -3.1, ,     8.0, ,    19.6, ,     8.9, 
 1934,     0.8, ,     1.0, ,     5.7, ,    12.9, ,    15.1, ,    18.7, ,    20.1, ,    20.4, ,    13.8, ,     9.8, ,     5.2, ,    -1.1, ,    10.2, ,     0.4, ,    11.2, ,    19.7, ,     9.6, 
 1935,    -4.5, ,     0.8, ,     2.4, ,     6.7, ,    13.1, ,    16.6, ,    19.6, ,    18.2, ,    16.3, ,     8.0, ,     0.7, ,    -0.2, ,     8.1, ,    -1.6, ,     7.4, ,    18.1, ,     8.3, 
 1936,    -1.0, ,   -11.2, ,     2.5, ,    10.2, ,    15.6, ,    17.8, ,    21.0, ,    21.0, ,    14.4, ,    10.7, ,     1.0, ,    -1.2, ,     8.4, ,    -4.1, ,     9.4, ,    19.9, ,     8.7, 
 1937,   -11.7, ,    -5.4, ,     3.9, ,     8.4, ,    13.4, ,    18.2, ,    21.4, ,    18.2, ,    17.0, ,    10.7, ,     2.7, ,    -0.2, ,     8.1, ,    -6.1, ,     8.6, ,    19.3, ,    10.1, 
 1938,    -1.3, ,    -1.3, ,     4.4, ,     9.8, ,    14.9, ,    19.8, ,    22.9, ,    18.9, ,    18.0, ,    10.3, ,     1.7, ,    -1.4, ,     9.7, ,    -0.9, ,     9.7, ,    20.5, ,    10.0, 
 1939,     0.4, ,    -2.5, ,     3.7, ,    10.9, ,    14.2, ,    15.7, ,    21.1, ,    21.4, ,    16.2, ,     9.6, ,     4.7, ,     3.2, ,     9.9, ,    -1.2, ,     9.6, ,    19.4, ,    10.2, 
 1940,    -1.2, ,     1.2, ,     6.9, ,    10.9, ,    15.0, ,    19.7, ,    22.3, ,    20.3, ,    18.4, ,    11.5, ,     0.1, ,     1.0, ,    10.5, ,     1.1, ,    10.9, ,    20.8, ,    10.0, 
 1941,     0.3, ,     1.4, ,     7.6, ,    11.9, ,    13.9, ,    17.6, ,    23.0, ,    20.4, ,    13.1, ,     9.3, ,     4.8, ,     0.5, ,    10.3, ,     0.9, ,    11.1, ,    20.3, ,     9.1, 
