1141455,CASTLEGAR_A         ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1141455,CASTLEGAR_A         ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1959, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.4, ,    16.8, ,    12.4, , -9999.9,M,    -0.7, ,    -1.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1960,    -5.1, ,    -1.6, ,     2.4, ,     7.5, ,    10.5, ,    15.7, ,    21.8, ,    17.6, ,    12.9, ,     8.8, ,     1.8, ,    -1.1, ,     7.6, ,    -2.7, ,     6.8, ,    18.4, ,     7.8, 
 1961,    -0.7, ,     2.3, ,     4.7, , -9999.9,M, -9999.9,M,    18.3, ,    20.6, ,    20.4, ,    13.0, ,     6.7, ,    -0.4, ,    -2.8, , -9999.9,M,     0.2, , -9999.9,M,    19.8, ,     6.4, 
 1962,    -4.5, ,    -0.5, ,     1.7, ,     9.3, ,    12.0, ,    15.6, ,    18.4, ,    17.5, ,    14.4, ,     9.3, ,     4.8, ,     1.4, ,     8.3, ,    -2.6, ,     7.7, ,    17.2, ,     9.5, 
 1963,    -5.3, ,     2.4, ,     5.5, ,     9.0, ,    12.9, ,    16.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -0.5, ,     9.1, , -9999.9,M, -9999.9,M
 1964, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1965, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1966,    -2.8, ,    -0.4, ,     2.7, ,     7.8, ,    13.3, ,    15.5, ,    19.1, ,    19.0, ,    17.3, ,     8.1, ,     2.8, ,     0.2, ,     8.6, ,    -1.5, ,     7.9, ,    17.9, ,     9.4, 
 1967,    -0.7, ,     0.4, ,     2.6, ,     6.9, ,    12.5, ,    18.3, ,    21.4, ,    23.2, ,    18.4, ,     8.0, ,     2.2, ,    -2.5, ,     9.2, ,     0.0, ,     7.3, ,    21.0, ,     9.5, 
 1968,    -3.3, ,     0.3, ,     5.0, ,     7.2, ,    12.6, ,    15.7, ,    20.9, ,    18.0, ,    14.3, ,     7.2, ,     2.3, ,    -5.0, ,     7.9, ,    -1.8, ,     8.3, ,    18.2, ,     7.9, 
