1145442,NELSON              ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1145442,NELSON              ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1904,    -2.1, ,    -0.8, ,     0.2, ,     9.0, ,    11.9, ,    15.1, ,    18.9, ,    17.9, ,    13.3, ,     8.0, ,     5.1, ,    -0.4, ,     8.0, , -9999.9,M,     7.0, ,    17.3, ,     8.8, 
 1905,    -2.1, ,    -3.8, ,     4.6, ,     8.2, ,    12.0, ,    16.3, ,    19.2, ,    18.7, ,    13.7, ,     5.4, ,     2.4, ,     0.0, ,     7.9, ,    -2.1, ,     8.3, ,    18.1, ,     7.2, 
 1906,    -1.2, ,     0.8, ,     1.9, ,    10.3, ,    12.8, ,    15.0, ,    21.8, ,    18.3, ,    13.7, ,     9.3, ,     1.3, ,     0.2, ,     8.7, ,    -0.1, ,     8.3, ,    18.4, ,     8.1, 
 1907,    -7.9, ,    -0.4, ,     2.6, ,     6.3, ,    12.2, , -9999.9,M,    18.6, ,    16.1, ,    13.6, ,     9.3, ,     3.7, ,     0.3, , -9999.9,M,    -2.7, ,     7.0, , -9999.9,M,     8.9, 
 1908,    -2.0, ,    -0.9, ,     2.8, ,     8.3, ,    11.8, ,    15.2, ,    19.0, ,    18.0, ,    13.9, ,     8.1, ,     5.1, ,    -2.0, ,     8.1, ,    -0.9, ,     7.6, ,    17.4, ,     9.0, 
 1909,    -7.3, , -9999.9,M,     3.9, ,     6.5, ,    11.9, ,    15.6, ,    17.0, ,    17.0, ,    13.7, ,     7.6, ,     2.6, ,    -4.4, , -9999.9,M, -9999.9,M,     7.4, ,    16.5, ,     8.0, 
 1910,    -2.4, ,    -3.6, ,     5.4, ,     9.8, ,    11.9, ,    14.8, ,    18.8, ,    15.7, ,    14.4, ,     7.8, ,     3.6, ,    -1.9, ,     7.9, ,    -3.5, ,     9.0, ,    16.4, ,     8.6, 
 1911,    -8.9, ,    -3.2, ,     4.0, ,     7.1, ,    10.5, ,    15.8, ,    19.1, ,    17.6, ,    12.4, ,     7.3, ,    -0.8, ,    -2.4, ,     6.5, ,    -4.7, ,     7.2, ,    17.5, ,     6.3, 
 1912,    -5.1, ,     0.1, ,     1.8, ,     8.9, ,    14.2, ,    18.1, ,    16.7, ,    16.2, ,    11.6, ,     5.9, ,     2.4, ,    -1.0, ,     7.5, ,    -2.5, ,     8.3, ,    17.0, ,     6.6, 
 1913,    -6.2, ,    -4.9, ,     0.5, ,     7.9, ,    12.4, ,    16.0, ,    18.1, ,    18.0, ,    12.7, ,     5.9, ,     1.6, ,    -1.3, ,     6.7, ,    -4.0, ,     6.9, ,    17.4, ,     6.7, 
 1914,    -0.2, ,    -2.1, ,     4.0, ,     9.2, ,    12.9, ,    14.8, ,    20.4, ,    19.5, ,    11.8, ,     7.8, ,     3.2, ,    -4.7, ,     8.1, ,    -1.2, ,     8.7, ,    18.2, ,     7.6, 
 1915,    -3.9, ,     1.4, ,     5.1, ,    10.2, ,    12.1, ,    17.6, ,    18.6, ,    21.4, ,    12.3, ,     7.4, ,     0.1, ,    -2.5, ,     8.3, ,    -2.4, ,     9.1, ,    19.2, ,     6.6, 
 1916,   -10.2, ,    -2.8, ,     2.3, ,     7.7, ,    10.2, ,    14.9, ,    17.9, ,    18.4, ,    12.8, ,     6.7, ,    -0.5, ,    -6.6, ,     5.9, ,    -5.2, ,     6.7, ,    17.1, ,     6.3, 
 1917,    -4.9, ,    -2.5, ,    -0.6, ,     5.8, ,    11.6, ,    13.4, ,    20.8, ,    19.2, ,    14.1, ,     8.1, ,     4.8, ,    -2.1, ,     7.3, ,    -4.7, ,     5.6, ,    17.8, ,     9.0, 
 1918,    -2.5, ,    -3.3, ,     2.8, ,     8.2, ,    11.1, ,    16.6, ,    18.8, ,    16.3, ,    15.1, ,     8.6, ,     2.1, ,    -1.6, ,     7.7, ,    -2.6, ,     7.4, ,    17.2, ,     8.6, 
 1919,    -0.7, ,    -1.8, ,     2.2, ,     8.7, ,    11.7, ,    15.3, ,    19.1, ,    16.8, ,    12.3, ,     5.2, ,     0.3, ,    -4.6, ,     7.0, ,    -1.4, ,     7.5, ,    17.1, ,     5.9, 
