1147620,SOUTH_SLOCAN        ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1147620,SOUTH_SLOCAN        ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1940, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.8, ,     0.2, ,    -0.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1941,    -0.5, ,     0.2, ,     6.1, ,    11.0, ,    14.0, ,    18.0, ,    22.6, ,    20.1, ,    12.7, ,     8.4, ,     3.3, ,    -0.2, ,     9.6, ,    -0.3, ,    10.4, ,    20.2, ,     8.1, 
 1942,    -4.0, ,    -0.7, ,     3.8, ,    10.6, ,    12.8, ,    15.8, ,    20.4, ,    21.1, ,    15.9, ,     8.7, ,     0.5, ,    -1.5, ,     8.6, ,    -1.6, ,     9.1, ,    19.1, ,     8.4, 
 1943,    -8.7, ,    -0.4, ,    -0.3, ,     9.4, ,    12.0, ,    15.1, ,    20.2, ,    19.2, ,    15.2, ,     8.3, ,     3.0, ,    -2.3, ,     7.6, ,    -3.5, ,     7.0, ,    18.2, ,     8.8, 
 1944,    -3.6, ,    -1.8, ,     1.8, ,     9.6, ,    13.8, ,    17.5, ,    21.0, ,    19.5, ,    15.8, ,    10.2, ,     2.8, ,    -2.6, ,     8.7, ,    -2.6, ,     8.4, ,    19.3, ,     9.6, 
 1945,    -1.5, ,    -1.7, ,     2.2, ,     6.7, ,    14.4, ,    16.7, ,    21.7, ,    21.4, ,    13.6, ,     8.6, ,     1.0, ,    -1.9, ,     8.4, ,    -1.9, ,     7.8, ,    19.9, ,     7.7, 
 1946,    -3.1, ,    -1.0, ,     4.1, ,     8.9, ,    15.1, ,    16.0, ,    20.3, ,    20.3, ,    14.3, ,     6.4, ,    -0.4, ,    -3.0, ,     8.2, ,    -2.0, ,     9.4, ,    18.9, ,     6.8, 
 1947,    -4.7, ,    -0.8, ,     4.7, ,     9.9, ,    14.7, ,    15.9, ,    20.3, ,    18.8, ,    14.9, ,     8.9, ,     1.5, ,    -0.5, ,     8.6, ,    -2.8, ,     9.8, ,    18.3, ,     8.4, 
 1948,    -4.4, ,    -3.8, ,     2.2, ,     8.0, ,    13.2, ,    18.1, ,    18.9, ,    18.2, ,    14.4, ,     7.3, ,     1.2, ,    -6.2, ,     7.3, ,    -2.9, ,     7.8, ,    18.4, ,     7.6, 
 1949,   -11.4, ,    -5.4, ,     1.9, ,    10.6, ,    15.4, ,    16.5, ,    19.7, ,    19.3, ,    14.8, ,     6.3, ,     4.3, ,    -3.2, ,     7.4, ,    -7.7, ,     9.3, ,    18.5, ,     8.5, 
 1950,   -14.3, ,    -2.3, ,     2.0, ,     7.5, ,    12.6, ,    16.9, ,    20.8, ,    20.5, ,    15.9, ,     7.0, ,     1.6, ,     0.2, ,     7.4, ,    -6.6, ,     7.4, ,    19.4, ,     8.2, 
 1951,    -4.7, ,    -2.6, ,     0.2, ,     8.6, ,    13.9, ,    16.6, ,    21.0, ,    20.0, ,    14.3, ,     8.0, ,     1.2, ,    -5.1, ,     7.6, ,    -2.4, ,     7.6, ,    19.2, ,     7.8, 
 1952,    -4.9, ,    -0.6, ,     3.2, ,     9.2, ,    13.8, ,    16.3, ,    19.8, ,    20.6, ,    15.9, ,     9.7, ,     0.1, , -9999.9,M, -9999.9,M,    -3.5, ,     8.7, ,    18.9, ,     8.6, 
 1953,     1.2, ,     0.2, ,     4.3, , -9999.9,M,    13.5, ,    15.5, ,    19.5, ,    19.5, ,    13.7, ,     9.2, ,     3.6, ,    -0.6, , -9999.9,M, -9999.9,M, -9999.9,M,    18.2, ,     8.8, 
 1954,    -5.0, ,     1.8, ,     1.4, ,     6.2, ,    13.9, ,    14.7, ,    17.9, ,    18.0, ,    14.4, ,     6.7, ,     4.9, ,    -0.8, ,     7.8, ,    -1.3, ,     7.2, ,    16.9, ,     8.7, 
 1955,    -3.1, ,    -4.0, ,    -2.4, ,     5.3, ,    10.1, ,    15.9, ,    17.3, ,    18.6, ,    13.5, ,     7.9, ,    -2.8, ,    -4.2, ,     6.0, ,    -2.6, ,     4.3, ,    17.3, ,     6.2, 
 1956,    -2.1, ,    -4.9, ,     1.1, ,     8.6, ,    13.5, ,    14.4, ,    20.3, ,    19.4, ,    14.5, ,     7.5, ,    -1.0, ,    -2.6, ,     7.4, ,    -3.7, ,     7.7, ,    18.0, ,     7.0, 
 1957,    -9.0, ,    -3.5, ,     3.0, ,     8.5, ,    15.1, ,    15.7, ,    18.6, ,    16.7, ,    15.4, ,     7.2, ,     1.7, ,    -0.1, ,     7.4, ,    -5.0, ,     8.9, ,    17.0, ,     8.1, 
 1958,     0.7, ,     2.5, ,     3.9, ,     7.9, ,    16.1, ,    18.8, ,    20.7, ,    21.9, ,    13.4, ,     7.7, ,     0.2, ,    -1.5, ,     9.4, ,     1.0, ,     9.3, ,    20.5, ,     7.1, 
 1959,    -3.5, ,    -2.7, ,     2.6, ,     7.9, ,    10.9, ,    15.7, ,    19.7, ,    16.7, ,    12.1, ,     7.4, ,    -0.4, ,    -1.9, ,     7.0, ,    -2.6, ,     7.1, ,    17.4, ,     6.4, 
 1960,    -5.9, ,    -1.2, ,     2.7, ,     6.8, ,     9.7, ,    14.8, ,    21.0, ,    16.5, ,    12.2, ,     8.7, ,     0.8, ,    -2.7, ,     7.0, ,    -3.0, ,     6.4, ,    17.4, ,     7.2, 
 1961,    -1.4, ,     1.9, ,     4.2, ,     7.7, ,    12.7, ,    18.4, ,    20.9, ,    21.3, ,    12.6, ,     6.3, ,    -1.5, ,    -3.9, ,     8.3, ,    -0.7, ,     8.2, ,    20.2, ,     5.8, 
 1962,    -5.7, ,    -1.8, ,     0.9, ,     8.7, ,    11.7, ,    15.7, ,    18.8, ,    17.4, ,    13.9, ,     8.7, ,     4.2, ,     0.2, ,     7.7, ,    -3.8, ,     7.1, ,    17.3, ,     8.9, 
 1963,    -7.2, ,     1.0, ,     4.4, ,     8.6, ,    12.8, ,    16.2, ,    18.5, ,    19.4, ,    16.9, ,     9.7, ,     2.6, ,    -1.8, ,     8.4, ,    -2.0, ,     8.6, ,    18.0, ,     9.7, 
 1964,    -1.6, ,    -1.6, ,     0.8, ,     6.7, ,    11.4, ,    15.3, ,    18.5, ,    16.4, ,    11.8, ,     7.5, ,     1.8, ,    -5.0, ,     6.8, ,    -1.7, ,     6.3, ,    16.7, ,     7.0, 
 1965,    -1.3, ,    -2.1, ,    -0.7, ,     8.7, ,    11.5, ,    16.1, ,    20.2, ,    19.5, ,    10.1, ,     8.2, ,     2.0, ,    -1.4, ,     7.6, ,    -2.8, ,     6.5, ,    18.6, ,     6.8, 
 1966,    -3.2, ,    -0.8, ,     2.3, ,     7.2, ,    12.6, ,    14.5, ,    18.2, ,    18.1, ,    16.4, ,     7.7, ,     2.2, ,     0.4, ,     8.0, ,    -1.8, ,     7.4, ,    16.9, ,     8.8, 
 1967,    -0.6, ,     0.1, ,     2.1, ,     6.8, ,    12.1, ,    16.5, ,    19.9, ,    21.5, ,    17.0, ,     7.7, ,     1.9, ,    -3.1, ,     8.5, ,     0.0, ,     7.0, ,    19.3, ,     8.9, 
 1968,    -3.3, ,     0.1, ,     4.6, ,     6.4, ,    11.8, ,    14.9, ,    19.4, ,    17.5, ,    13.9, ,     6.7, ,     2.2, ,    -5.5, ,     7.4, ,    -2.1, ,     7.6, ,    17.3, ,     7.6, 
 1969,    -8.6, ,    -2.5, ,     2.6, ,     8.5, ,    13.7, ,    17.4, ,    18.2, ,    18.4, ,    14.5, ,     7.2, ,     3.4, ,    -0.5, ,     7.7, ,    -5.5, ,     8.3, ,    18.0, ,     8.4, 
 1970,    -3.6, ,     0.5, ,     2.5, ,     6.3, ,    12.9, ,    17.8, ,    20.7, ,    20.4, ,    11.0, ,     6.6, ,     1.1, ,    -3.4, ,     7.7, ,    -1.2, ,     7.2, ,    19.6, ,     6.2, 
