1152850,FERNIE              ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1152850,FERNIE              ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1913, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1914,    -3.5, ,    -7.4, ,    -0.3, ,     6.0, ,     9.8, ,    13.0, ,    17.3, ,    15.5, ,     9.6, ,     5.7, ,     0.8, ,   -11.2, ,     4.6, , -9999.9,M,     5.2, ,    15.3, ,     5.4, 
 1915,    -8.0, ,    -3.1, ,     1.1, ,     8.3, ,    10.3, ,    12.0, ,    14.9, ,    18.5, ,     9.2, ,     6.9, ,    -2.5, ,    -5.7, ,     5.2, ,    -7.4, ,     6.6, ,    15.1, ,     4.5, 
 1916,   -19.1, ,    -7.2, ,    -0.1, ,     5.6, ,     7.1, ,    12.4, ,    15.7, ,    14.4, ,     9.5, ,     3.3, ,    -4.2, ,   -12.5, ,     2.1, ,   -10.7, ,     4.2, ,    14.2, ,     2.9, 
 1917,    -8.5, ,    -8.8, ,    -5.3, ,     2.0, ,     8.6, ,    12.0, ,    18.0, ,    15.5, ,    11.3, ,     6.0, ,     2.0, ,    -8.0, ,     3.7, ,    -9.9, ,     1.8, ,    15.2, ,     6.4, 
 1918,    -6.4, ,    -8.9, ,     1.1, ,     4.9, ,     8.0, ,    15.0, ,    16.8, ,    14.8, ,    12.3, ,     7.2, ,    -0.8, ,    -3.0, ,     5.1, ,    -7.8, ,     4.7, ,    15.5, ,     6.2, 
 1919,    -3.7, ,    -7.6, ,    -4.0, ,     6.3, ,     9.8, ,    13.5, ,    16.8, ,    17.0, ,    10.8, ,     0.6, ,    -4.4, ,    -7.9, ,     3.9, ,    -4.8, ,     4.0, ,    15.8, ,     2.3, 
 1920,    -7.6, ,    -5.1, ,    -2.4, ,     2.7, ,     7.5, ,    11.2, ,    18.5, ,    16.5, ,    10.4, ,     5.0, ,    -0.3, ,    -3.5, ,     4.4, ,    -6.9, ,     2.6, ,    15.4, ,     5.0, 
 1921,    -4.7, ,    -3.4, ,    -1.9, ,     4.7, ,     9.9, ,    14.7, ,    16.2, ,    15.4, ,     7.5, ,     7.1, ,    -1.5, ,    -8.1, ,     4.7, ,    -3.9, ,     4.2, ,    15.4, ,     4.4, 
 1922,   -11.4, ,   -13.9, ,    -4.0, ,     3.1, ,     8.8, ,    14.8, ,    15.5, ,    16.7, ,    11.3, ,     6.5, ,    -3.5, ,   -11.4, ,     2.7, ,   -11.1, ,     2.6, ,    15.7, ,     4.8, 
 1923,    -5.9, ,   -10.9, ,    -3.3, ,     3.5, ,     8.4, ,    13.4, ,    18.3, ,    15.4, ,    11.7, ,     5.4, ,    -0.5, ,    -4.7, ,     4.2, ,    -9.4, ,     2.9, ,    15.7, ,     5.5, 
 1924,   -10.9, ,    -0.5, ,    -0.7, ,     4.9, ,    11.3, ,    12.5, ,    17.1, ,    14.6, ,    10.8, ,     5.6, ,    -3.3, ,   -13.5, ,     4.0, ,    -5.4, ,     5.2, ,    14.7, ,     4.4, 
 1925,    -4.8, ,    -0.7, ,    -0.8, ,     6.6, ,    11.0, ,    14.7, ,    18.2, ,    15.0, ,    10.0, ,     2.1, ,    -0.3, ,     0.3, ,     5.9, ,    -6.3, ,     5.6, ,    16.0, ,     3.9, 
 1926,    -5.2, ,    -0.3, ,     2.8, ,     7.0, ,    10.6, ,    14.5, ,    18.2, ,    14.0, ,     5.2, ,     6.4, ,     0.0, ,    -6.1, ,     5.6, ,    -1.7, ,     6.8, ,    15.6, ,     3.9, 
 1927,    -8.4, ,    -7.1, ,    -1.1, ,     3.6, ,     8.1, ,    13.6, ,    16.2, ,    15.3, ,     9.9, ,     6.8, ,    -2.6, ,   -12.9, ,     3.5, ,    -7.2, ,     3.5, ,    15.0, ,     4.7, 
 1928,    -6.3, ,    -4.9, ,     1.0, ,     3.8, ,    11.3, ,    12.5, ,    17.4, ,    14.5, ,    10.5, ,     3.9, ,    -0.7, ,    -6.7, ,     4.7, ,    -8.0, ,     5.4, ,    14.8, ,     4.6, 
 1929,   -14.7, ,   -10.8, ,     1.0, ,     3.1, ,     9.3, ,    13.0, ,    16.6, ,    16.6, ,     8.8, ,     5.8, ,    -2.1, ,    -5.0, ,     3.5, ,   -10.7, ,     4.5, ,    15.4, ,     4.2, 
