1154203,KIMBERLEY           ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1154203,KIMBERLEY           ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1943, -9999.9,M,    -5.2, ,    -4.3, ,     8.2, ,     9.4, ,    12.6, , -9999.9,M,    17.4, ,    13.4, ,     6.3, ,    -1.4, ,    -6.2, , -9999.9,M, -9999.9,M,     4.4, , -9999.9,M,     6.1, 
 1944,    -6.0, ,    -4.5, ,    -1.1, ,     7.3, ,    12.6, ,    15.8, ,    19.1, ,    16.5, ,    14.1, ,     8.2, ,    -0.3, ,    -7.7, ,     6.2, ,    -5.6, ,     6.3, ,    17.1, ,     7.3, 
 1945,    -5.7, ,    -3.9, ,     0.1, ,     4.2, ,    11.6, ,    15.1, ,    19.3, ,    19.1, ,    11.2, ,     6.8, ,    -3.0, ,    -6.5, ,     5.7, ,    -5.8, ,     5.3, ,    17.8, ,     5.0, 
 1946,    -5.1, ,    -4.6, ,     1.7, ,     7.3, , -9999.9,M,    13.9, ,    18.7, ,    18.0, ,    12.0, ,     4.1, ,    -5.1, ,    -7.2, , -9999.9,M,    -5.4, , -9999.9,M,    16.9, ,     3.7, 
 1947,    -8.7, , -9999.9,M, -9999.9,M, -9999.9,M,    12.3, ,    14.0, ,    19.2, ,    16.4, ,    12.6, ,     7.3, ,    -2.5, ,    -4.1, , -9999.9,M, -9999.9,M, -9999.9,M,    16.5, ,     5.8, 
 1948,    -7.9, ,    -7.5, ,    -3.0, ,     4.9, ,    11.4, ,    16.4, ,    15.5, ,    15.7, ,    12.1, ,     5.1, ,    -1.3, ,   -12.0, ,     4.1, ,    -6.5, ,     4.4, ,    15.9, ,     5.3, 
 1949,   -17.0, ,    -8.9, ,    -1.7, ,     7.9, ,    12.7, ,    13.8, ,    17.3, ,    16.9, ,    12.3, ,     3.7, ,     1.9, ,    -7.8, ,     4.3, ,   -12.6, ,     6.3, ,    16.0, ,     6.0, 
 1950,   -21.5, ,    -4.9, ,    -2.2, ,     4.2, ,     9.3, ,    14.3, ,    17.2, ,    16.7, ,    13.0, ,     5.0, ,    -2.3, ,    -3.9, ,     3.7, ,   -11.4, ,     3.8, ,    16.1, ,     5.2, 
 1951,   -10.8, ,    -6.3, ,    -4.2, ,     5.2, ,    10.2, ,    12.7, ,    18.1, ,    15.9, ,    10.5, ,     4.2, ,    -2.3, ,   -11.9, ,     3.4, ,    -7.0, ,     3.7, ,    15.6, ,     4.1, 
 1952,   -10.2, ,    -4.6, ,    -1.9, ,     6.3, ,    10.0, ,    13.0, ,    16.8, ,    16.5, ,    13.1, ,     7.3, ,    -3.2, ,    -5.1, ,     4.8, ,    -8.9, ,     4.8, ,    15.4, ,     5.7, 
 1953,    -1.4, ,    -2.7, ,     1.6, ,     4.2, ,    10.2, ,    12.6, ,    16.7, ,    16.8, ,    12.0, ,     7.4, ,     0.5, ,    -3.7, ,     6.2, ,    -3.1, ,     5.3, ,    15.4, ,     6.6, 
 1954,   -11.1, ,    -1.6, ,    -3.7, ,     3.1, ,    10.6, ,    12.3, ,    16.4, ,    15.3, ,    11.2, ,     4.3, ,     2.4, ,    -4.5, ,     4.6, ,    -5.5, ,     3.3, ,    14.7, ,     6.0, 
 1955,    -8.1, ,    -8.8, ,    -6.1, ,     3.6, ,     8.8, ,    14.7, ,    17.5, ,    16.8, ,    11.9, ,     6.1, ,    -7.7, ,    -9.5, ,     3.3, ,    -7.1, ,     2.1, ,    16.3, ,     3.4, 
 1956,    -7.2, ,    -9.4, ,    -1.9, ,     6.2, ,    11.7, ,    13.8, ,    18.6, ,    17.3, ,    12.8, ,     5.6, ,    -3.2, ,    -6.9, ,     4.8, ,    -8.7, ,     5.3, ,    16.6, ,     5.1, 
 1957,   -15.9, ,    -7.6, ,    -1.0, ,     5.8, ,    13.8, ,    14.7, ,    16.8, ,    14.7, ,    13.2, ,     3.5, ,    -0.7, ,    -2.3, ,     4.6, ,   -10.1, ,     6.2, ,    15.4, ,     5.3, 
 1958,    -4.3, ,    -1.6, ,     0.6, ,     5.7, ,    14.4, ,    16.2, ,    19.1, ,    20.1, ,    11.9, ,     5.8, ,    -2.9, ,    -4.9, ,     6.7, ,    -2.7, ,     6.9, ,    18.5, ,     4.9, 
 1959,    -7.3, ,    -8.3, ,     0.4, ,     6.0, ,     8.4, ,    14.2, ,    17.6, ,    15.0, ,    10.1, ,     4.9, ,    -6.7, ,    -5.7, ,     4.1, ,    -6.8, ,     4.9, ,    15.6, ,     2.8, 
 1960,   -11.8, ,    -5.7, ,    -1.4, ,     5.9, ,     9.2, ,    14.4, ,    20.3, ,    15.6, ,    12.1, ,     7.1, ,    -2.4, ,    -8.7, ,     4.6, ,    -7.7, ,     4.6, ,    16.8, ,     5.6, 
 1961,    -6.0, ,    -1.0, ,     1.6, ,     4.7, ,    10.9, ,    17.0, ,    17.9, ,    18.8, ,     8.8, ,     3.8, ,    -4.7, ,    -8.7, ,     5.3, ,    -5.2, ,     5.7, ,    17.9, ,     2.6, 
 1962,   -10.2, ,    -4.1, ,    -1.5, ,     7.1, ,     9.8, ,    14.5, ,    16.7, ,    15.8, ,    11.9, ,     5.4, ,     0.6, ,    -2.3, ,     5.3, ,    -7.7, ,     5.1, ,    15.7, ,     6.0, 
 1963,   -13.9, ,     0.1, ,     2.1, ,     5.9, ,    10.0, ,    14.4, ,    15.6, ,    17.0, ,    14.8, ,     7.2, ,    -1.2, ,    -7.8, ,     5.4, ,    -5.4, ,     6.0, ,    15.7, ,     6.9, 
 1964,    -5.8, ,    -4.9, ,    -2.5, ,     4.9, ,     9.6, ,    13.4, ,    17.7, ,    14.2, ,     9.7, ,     5.7, ,    -1.4, ,   -11.2, ,     4.1, ,    -6.2, ,     4.0, ,    15.1, ,     4.7, 
 1965,    -6.2, ,    -4.5, ,    -3.5, ,     7.1, ,     9.3, ,    13.7, ,    17.9, ,    17.4, ,     7.6, ,     7.2, ,    -1.8, ,    -5.6, ,     4.9, ,    -7.3, ,     4.3, ,    16.3, ,     4.3, 
 1966,    -7.6, ,    -4.8, ,    -0.2, ,     5.1, ,    11.3, ,    13.0, ,    17.3, ,    16.1, ,    14.8, ,     5.4, ,    -1.4, ,    -3.4, ,     5.5, ,    -6.0, ,     5.4, ,    15.5, ,     6.3, 
 1967,    -4.2, ,    -2.5, ,    -1.5, ,     4.0, ,     9.9, ,    14.5, ,    18.2, ,    19.5, ,    15.0, ,     6.0, ,    -2.2, ,    -7.2, ,     5.8, ,    -3.4, ,     4.1, ,    17.4, ,     6.3, 
 1968,    -7.2, ,    -1.2, ,     3.3, ,     3.8, ,     9.2, ,    13.0, ,    17.5, ,    15.3, ,    12.0, ,     4.6, ,    -1.0, ,   -10.4, ,     4.9, ,    -5.2, ,     5.4, ,    15.3, ,     5.2, 
 1969,   -16.4, ,    -6.9, ,    -0.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -11.2, , -9999.9,M, -9999.9,M, -9999.9,M
 1970, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1971, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1972, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1973, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1974, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1975, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.6, ,    14.2, ,    11.0, ,     4.2,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1976, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1977, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
