1168880,WESTWOLD            ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1168880,WESTWOLD            ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1921, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.6, ,    15.0, ,    17.0, ,    16.1, ,     9.8, ,     7.4, ,    -2.4, ,    -9.6, , -9999.9,M, -9999.9,M, -9999.9,M,    16.0, ,     4.9, 
 1922,    -9.9, ,   -11.6, ,    -0.8, ,     5.5, ,    10.3, ,    16.2, ,    17.3, ,    16.5, ,    13.3, ,     7.3, ,     0.3, ,    -9.9, ,     4.5, ,   -10.4, ,     5.0, ,    16.7, ,     7.0, 
 1923,    -4.2, ,    -6.0, ,     1.8, ,     7.2, ,    11.4, ,    15.4, ,    18.4, ,    16.9, ,    12.7, ,     7.0, ,     1.2, ,    -3.0, ,     6.6, ,    -6.7, ,     6.8, ,    16.9, ,     7.0, 
 1924,    -8.0, ,     1.5, ,     1.8, ,     6.2, ,    13.7, ,    14.9, ,    17.9, ,    16.8, ,    13.2, ,     6.9, ,    -1.6, ,   -10.0, ,     6.1, ,    -3.2, ,     7.2, ,    16.5, ,     6.2, 
 1925,    -6.2, ,    -0.3, ,     3.1, ,     7.8, ,    13.4, ,    15.9, ,    18.9, ,    16.2, ,    11.7, ,     5.4, ,     0.5, ,     0.3, ,     7.2, ,    -5.5, ,     8.1, ,    17.0, ,     5.9, 
 1926,    -4.2, ,     1.0, ,     4.6, ,     9.6, ,    11.2, ,    15.7, ,    19.3, ,    16.3, ,     9.2, ,     6.9, ,     1.2, ,    -3.8, ,     7.3, ,    -1.0, ,     8.5, ,    17.1, ,     5.8, 
 1927,    -7.7, ,    -4.3, ,     2.0, ,     5.6, ,     9.7, ,    16.1, ,    17.8, ,    17.2, ,    12.2, ,     6.4, ,    -3.5, ,   -10.5, ,     5.1, ,    -5.3, ,     5.8, ,    17.0, ,     5.0, 
 1928,    -5.1, ,    -2.4, ,     3.4, ,     6.3, ,    13.8, ,    15.5, ,    19.2, ,    17.1, ,    13.5, ,     5.0, ,     1.0, ,    -4.7, ,     6.9, ,    -6.0, ,     7.8, ,    17.3, ,     6.5, 
 1929,   -12.2, ,   -10.2, ,     3.7, ,     5.7, ,    11.7, ,    14.7, ,    16.7, ,    17.4, ,    12.1, ,     7.2, ,    -0.5, ,    -4.5, ,     5.2, ,    -9.0, ,     7.0, ,    16.3, ,     6.3, 
 1930,   -17.6, ,    -1.3, ,     2.5, ,     9.5, ,    10.7, ,    14.1, ,    18.2, ,    17.6, ,    13.3, ,     5.4, ,     0.0, ,    -3.3, ,     5.8, ,    -7.8, ,     7.6, ,    16.6, ,     6.2, 
