1180585,BALDONNEL           ,BC  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
1180585,BALDONNEL           ,BC  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1927,   -18.3, ,   -10.9, ,    -2.3, ,     0.6, ,     8.6, ,    14.2, ,    16.6, ,    17.5, ,    10.0, ,     3.7, ,   -13.4, ,   -19.8, ,     0.5, , -9999.9,M,     2.3, ,    16.1, ,     0.1, 
 1928,    -7.0, ,    -2.7, ,    -2.5, ,     0.8, ,    12.0, ,    15.9, ,    17.4, ,    13.9, ,    11.5, ,     2.7, ,     0.3, ,    -6.2, ,     4.7, ,    -9.8, ,     3.4, ,    15.7, ,     4.8, 
 1929,   -16.4, ,   -10.9, ,    -3.4, ,     2.2, ,     9.8, ,    13.7, ,    15.6, ,    15.0, ,    11.7, ,     8.5, ,    -0.1, ,   -14.9, ,     2.6, ,   -11.2, ,     2.9, ,    14.8, ,     6.7, 
 1930,   -17.1, ,    -9.4, ,    -3.1, ,     5.1, ,     8.4, ,    12.1, ,    16.6, ,    16.3, ,     9.2, ,     2.9, ,    -3.1, ,     0.3, ,     3.2, ,   -13.8, ,     3.5, ,    15.0, ,     3.0, 
 1931,    -5.5, ,    -0.3, ,    -7.7, ,     6.3, ,     9.8, ,    13.3, ,    16.7, ,    15.6, ,    10.4, ,     5.4, ,    -5.4, ,    -8.5, ,     4.2, ,    -1.8, ,     2.8, ,    15.2, ,     3.5, 
 1932,   -14.4, ,   -14.6, ,    -8.9, ,     4.5, ,    10.6, ,    14.2, ,    15.4, ,    17.0, ,    10.9, ,     2.8, ,   -10.5, ,   -14.3, ,     1.1, ,   -12.5, ,     2.1, ,    15.5, ,     1.1, 
 1933,   -18.6, ,   -15.4, ,    -6.9, ,     2.8, ,    10.4, ,    11.7, ,    15.4, ,    18.2, ,     8.3, ,     0.5, ,    -2.1, ,   -28.6, ,    -0.4, ,   -16.1, ,     2.1, ,    15.1, ,     2.2, 
 1934,   -10.4, ,    -3.1, ,    -3.4, ,     8.0, ,    12.1, ,    14.1, ,    15.2, ,    15.1, ,     6.3, ,     4.5, ,    -6.2, ,   -13.6, ,     3.2, ,   -14.0, ,     5.6, ,    14.8, ,     1.5, 
 1935,   -19.1, ,    -1.9, ,    -9.7, ,     0.7, ,    10.6, ,    13.9, ,    18.3, ,    15.8, ,    12.1, ,     1.0, ,    -8.1, ,    -9.5, ,     2.0, ,   -11.5, ,     0.5, ,    16.0, ,     1.7, 
 1936,   -21.0, ,   -27.4, ,    -4.3, ,     1.2, ,    12.6, ,    12.5, ,    14.7, ,    14.5, ,     7.2, ,     5.4, ,     0.9, ,   -16.0, ,     0.0, ,   -19.3, ,     3.2, ,    13.9, ,     4.5, 
