2100518,FARO_(AUT)          ,YT  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
2100518,FARO_(AUT)          ,YT  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1977, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -30.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1978,   -21.9, ,   -13.9,E,    -7.3,E,     0.3, ,     7.4, ,    12.8, ,    15.3, ,    13.2, ,     8.6, ,     1.6, ,   -15.7, ,   -19.9, ,    -1.6,E,   -22.1,E,     0.1,E,    13.8, ,    -1.8, 
 1979,   -26.7,E,   -30.6,E,    -5.1, ,    -0.7,E,     6.5, ,    11.7, ,    15.1, ,    14.1, ,     8.7, ,     1.3,E,    -8.2,E,   -21.6, ,    -3.0,E,   -25.7,E,     0.2,E,    13.6, ,     0.6,E
 1980,   -26.6, ,   -11.1, ,    -8.6, ,     2.6, ,     8.6, ,    14.5, ,    14.4, ,    11.3, ,     5.1, ,     2.6, ,    -7.6, ,   -34.6, ,    -2.5, ,   -19.8, ,     0.9, ,    13.4, ,     0.0, 
 1981,    -8.9, ,   -15.8, ,    -4.0, ,    -3.3, ,    10.0, ,    11.0, ,    14.8, ,    12.8, ,     5.5, ,    -1.2, ,    -8.8, ,   -24.7, ,    -1.1, ,   -19.8, ,     0.9, ,    12.9, ,    -1.5, 
 1982,   -37.3, ,   -21.3, ,   -13.4, ,    -2.0, ,     5.6, ,    13.9, ,    15.9, ,    11.7, ,     7.6, ,    -3.8, ,   -17.6, ,   -19.0, ,    -5.0, ,   -27.8, ,    -3.3, ,    13.8, ,    -4.6, 
 1983,   -22.7, ,   -15.8, ,   -10.0, ,     1.4, ,     7.7, ,    13.3, ,    14.6, ,    11.0, ,     3.7, ,    -1.9, ,   -14.7, ,   -32.0, ,    -3.8, ,   -19.2, ,    -0.3, ,    13.0, ,    -4.3, 
 1984,   -18.6, ,    -9.7, ,    -3.1, ,     2.4, ,     6.8, ,    11.7, ,    13.7, ,    11.5, ,     5.9, ,    -3.6, ,   -16.6, ,   -24.0, ,    -2.0, ,   -20.1, ,     2.0, ,    12.3, ,    -4.8, 
 1985,    -9.0, ,   -21.2, ,    -8.5, ,    -1.9, ,     6.2, ,    10.6, ,    14.4, ,    10.4, ,     5.9, ,    -3.9, ,   -24.2, ,   -12.5, ,    -2.8, ,   -18.1, ,    -1.4, ,    11.8, ,    -7.4, 
 1986,   -12.1, ,   -15.6, ,    -8.2, ,    -4.9, ,     5.7, ,    12.3, ,    15.5, ,    10.8, ,     6.4, ,     0.6, ,   -18.6, ,   -12.9, ,    -1.8, ,   -13.4, ,    -2.5, ,    12.9, ,    -3.9, 
 1987,   -14.4, ,   -11.5, ,   -12.4, ,     0.5, ,     7.2, ,    12.1, ,    15.2, ,    12.2, ,     6.4, ,     1.9, ,    -8.4, ,   -14.5, ,    -0.5, ,   -12.9, ,    -1.6, ,    13.2, ,     0.0, 
 1988,   -21.5, ,   -12.0, ,    -4.4, ,     1.8, ,     8.3, ,    13.3, ,    14.0, ,    12.2, ,     6.0, ,    -1.8, ,   -11.7, ,   -16.1, ,    -1.0, ,   -16.0, ,     1.9, ,    13.2, ,    -2.5, 
 1989,   -26.4, ,   -19.3, ,   -14.6, ,     1.5, ,     8.9, ,    13.7, ,    16.4, ,    15.0, ,     7.2, ,    -2.6, ,   -14.9, ,   -13.1,E,    -2.4,E,   -20.6, ,    -1.4, ,    15.0, ,    -3.4, 
 1990,   -20.8,E,   -24.0,E,    -6.0, ,     1.6, ,     8.8, ,    12.8, ,    15.6,E,    13.5, ,     8.2, ,    -3.1,E,   -23.8,E,   -23.1, ,    -3.4,E,   -19.3,E,     1.5, ,    14.0,E,    -6.2,E
 1991,   -20.0, ,   -11.2, ,    -9.2, ,     1.8, ,     8.5,E,    13.3,E,    14.2,E,    11.0,E,     7.7, ,    -4.6, ,   -13.2, ,   -16.5, ,    -1.5,E,   -18.1, ,     0.4,E,    12.8,E,    -3.4, 
