2201579,FORT_LIARD          ,NWT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
2201579,FORT_LIARD          ,NWT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1973, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.5, ,     9.7, ,     0.5, ,   -20.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -3.4, 
 1974,   -27.9, ,   -22.3, ,   -16.9, ,    -0.2, ,     6.9, ,    13.7, ,    15.2, ,    13.6, ,     8.1, ,    -2.7, ,   -10.1, ,   -20.4, ,    -3.6, , -9999.9,M,    -3.4, ,    14.2, ,    -1.6, 
 1975,   -25.9, ,   -18.8, ,   -12.0, ,     1.4, ,     9.7, ,    14.7, ,    18.7, ,    12.9, ,    10.5, ,    -1.0, ,   -19.5, ,   -24.7, ,    -2.8, ,   -21.7, ,    -0.3, ,    15.4, ,    -3.3, 
 1976,   -22.0, ,   -20.3, ,   -12.6, ,     3.9, ,    10.8, ,    13.2, ,    15.5, ,    15.1, ,    11.8, ,     2.1, ,    -5.0, ,   -18.7, ,    -0.5, ,   -22.3, ,     0.7, ,    14.6, ,     3.0, 
 1977,   -16.8, ,    -8.9, ,    -9.1, ,     4.4, ,     9.9, ,    14.4, ,    15.2,E,    13.5, ,     9.7, ,     2.1, ,   -16.4, ,   -27.1, ,    -0.8,E,   -14.8, ,     1.7, ,    14.4,E,    -1.5, 
 1978,   -21.5, ,   -11.9, ,    -9.8, ,     0.6, ,     8.9, ,    16.5, ,    16.0, ,    13.6, ,     9.3, ,     1.3, ,   -11.9, ,   -22.4,E,    -0.9,E,   -20.2, ,    -0.1, ,    15.4, ,    -0.4, 
 1979,   -25.8, ,   -28.0, ,   -12.9, ,    -1.3, ,     8.0,E,    14.3, ,    18.9, ,    16.2, ,    11.5, ,     4.1, ,    -5.7, ,   -16.8, ,    -1.5,E,   -25.4,E,    -2.1,E,    16.5, ,     3.3, 
 1980, -9999.9,M, -9999.9,M,    -8.7, ,     6.0, ,    12.0, ,    15.7, ,    17.3, ,    14.9, ,     7.4, ,     4.7, ,    -8.8, ,   -30.5, , -9999.9,M, -9999.9,M,     3.1, ,    16.0, ,     1.1, 
 1981,   -12.2, ,   -14.6, ,    -4.1, ,    -1.5, ,    12.4, ,    14.1, ,    17.0, ,    13.5, ,     8.8, ,    -0.6, , -9999.9,M,   -22.6, , -9999.9,M,   -19.1, ,     2.3, ,    14.9, , -9999.9,M
 1982,   -34.5, ,   -24.1, ,   -19.3, ,    -0.3, ,     8.0, ,    16.7, ,    18.3, ,    12.5, ,    11.8, ,    -0.3, ,   -17.6, , -9999.9,M, -9999.9,M,   -27.1, ,    -3.9, ,    15.8, ,    -2.0, 
 1983,   -25.7, ,   -20.3, ,   -15.7, ,     2.3, ,     7.2, ,    16.1, ,    17.9, ,    16.4,E,     7.3, ,     0.8, ,   -11.8, ,   -23.7, ,    -2.4,E, -9999.9,M,    -2.1, ,    16.8,E,    -1.2, 
 1984,   -22.0, ,   -18.1, ,    -9.4, ,     4.4, ,    10.5, ,    15.8, ,    18.0, ,    15.6, ,     8.0, ,    -2.7, ,   -17.8, , -9999.9,M, -9999.9,M,   -21.3, ,     1.8, ,    16.5, ,    -4.2, 
 1985,   -13.2, ,   -24.3, ,    -4.4, ,     1.7, ,     9.6, ,    15.0, ,    16.6, ,    14.6, ,     9.8, ,    -2.1, ,   -19.2, ,   -12.0, ,    -0.7, , -9999.9,M,     2.3, ,    15.4, ,    -3.8, 
 1986,   -20.4, ,   -16.3, ,   -10.8, ,    -2.0, ,     9.7, ,    15.2, ,    17.1, ,    14.8, ,     9.0, ,     1.6, ,   -17.5, ,   -11.4, ,    -0.9, ,   -16.2, ,    -1.0, ,    15.7, ,    -2.3, 
 1987,   -15.0, ,   -11.9, ,   -11.8, ,     3.4, ,     9.9, ,    15.3, ,    16.5, ,    14.8, ,    11.8, ,     4.0, ,   -11.3, ,   -15.8, ,     0.8, ,   -12.8, ,     0.5, ,    15.5, ,     1.5, 
 1988,   -23.6, ,   -17.1, ,    -4.9, ,     2.1, ,     8.6, ,    15.0,E,    15.9, ,    16.0, ,     9.5, , -9999.9,M,   -16.4, ,   -16.4, , -9999.9,M,   -18.8, ,     1.9, ,    15.6,E, -9999.9,M
 1989,   -26.5, ,   -14.7, ,   -14.6,E,     3.6, ,    10.4, ,    17.5, ,    19.0, ,    18.7, ,    10.3, ,    -0.1, ,   -21.2, ,   -16.6, ,    -1.2,E,   -19.2, ,    -0.2,E,    18.4, ,    -3.7, 
 1990,   -24.1, ,   -22.7, ,    -4.8, ,     3.9, ,    10.3, ,    14.9, ,    19.1, ,    16.5, ,    11.2,E,    -1.4,E,   -19.6,E,   -27.1, ,    -2.0,E,   -21.1, ,     3.1, ,    16.8, ,    -3.3,E
 1991,   -21.4, ,   -14.6, ,    -6.4, ,     4.7, ,    12.0, ,    16.2, ,    16.8,E,    15.1, ,    10.6,E,    -2.1, ,   -17.4, ,   -19.2,E,    -0.5,E,   -21.0, ,     3.4, ,    16.0,E,    -3.0,E
 1992,   -19.4, ,   -17.4, ,    -3.1, ,    -0.8, ,     8.9, ,    15.8, ,    16.5, ,    15.4, ,     4.3, ,    -0.9,E,    -9.0, ,   -23.2, ,    -1.1,E,   -18.7,E,     1.7, ,    15.9, ,    -1.9,E
 1993,   -18.5, ,   -16.2, ,    -4.3, ,     4.7,E,    10.3, ,    15.4, ,    15.9, ,    15.9, ,     9.9, ,     3.3, ,    -9.8, ,   -18.2,E,     0.7,E,   -19.3, ,     3.6,E,    15.7, ,     1.1, 
 1994,   -24.3, ,   -23.8, ,    -4.9, ,     3.7, ,    12.6, ,    15.6, ,    19.3, ,    18.9, ,     8.7, ,     2.3, ,   -14.4, ,   -21.6, ,    -0.7, ,   -22.1,E,     3.8, ,    17.9, ,    -1.1, 
 1995,   -20.2, ,   -17.4, ,   -14.2, ,     3.0, ,    12.2, ,    18.1, ,    16.2, ,    14.6, ,    13.3, ,     1.1,E,   -16.2, ,   -23.0, ,    -1.0,E,   -19.7, ,     0.3, ,    16.3, ,    -0.6,E
 1996,   -28.8, ,   -14.1, ,   -11.5,E,     0.7,E,     8.8,E,    15.4, ,    18.2, ,    14.4, ,     8.8, ,    -3.3, ,   -15.3, ,   -21.8, ,    -2.4,E,   -22.0, ,    -0.7,E,    16.0, ,    -3.3, 
 1997,   -23.1, ,    -9.6, ,   -13.3,E,     0.7, ,     8.7,E,    15.1, ,    17.5, ,    16.5, ,    11.5, ,    -2.6, ,   -10.9, ,   -15.4,E,    -0.4,E,   -18.2, ,    -1.3,E,    16.4, ,    -0.7, 
 1998,   -28.6,E,   -17.2,E,    -6.4,E,     6.1,E,    13.7,E,    16.3,E,    18.3,E,    15.9,E,    10.1,E,     1.4,E,   -13.2,E,   -21.3,E,    -0.4,E,   -20.4,E,     4.5,E,    16.8,E,    -0.6,E
 1999,   -21.6, ,   -18.1,E,    -8.1, ,     3.5,E,     8.1, ,    13.6,E,    15.6, , -9999.9,M,    10.0,E,     0.8, ,   -12.2, ,   -17.7,E, -9999.9,M,   -20.3,E,     1.2,E, -9999.9,M,    -0.5,E
