2202678,LAC_LA_MARTRE       ,NWT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
2202678,LAC_LA_MARTRE       ,NWT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1994, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1995, -9999.9,M, -9999.9,M,   -21.2,E,    -6.1,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1996, -9999.9,M, -9999.9,M,   -20.1,E,    -8.2, ,     3.0,E,    13.5,E,    17.0,E,    12.1,E,     7.1,E,    -6.7,E,   -16.9,E,   -24.9,E, -9999.9,M, -9999.9,M,    -8.4,E,    14.2,E,    -5.5,E
 1997,   -28.8,E,   -22.8,E,   -22.5, ,    -6.7,E,     3.4,E,    12.4,E,    17.2,E,    14.2,E,     8.3,E,    -6.3,E,   -11.5,E,   -18.5,E,    -5.1,E,   -25.5,E,    -8.6,E,    14.6,E,    -3.2,E
 1998,   -31.3, ,   -18.5,E,   -16.4,E,    -0.2,E,     9.7,E,    13.3,E,    17.5,E,    14.1,E,     6.6,E,    -0.1,E,    -9.5,E,   -20.2,E,    -2.9,E,   -22.8,E,    -2.3,E,    15.0,E,    -1.0,E
 1999,   -27.7, ,   -19.6, ,   -12.7, ,    -4.0, ,     4.4, ,    12.9, ,    13.6, ,    14.2, ,     7.5, ,    -2.8, ,   -12.3, ,   -21.9, ,    -4.0, ,   -22.5,E,    -4.1, ,    13.6, ,    -2.5, 
 2000,   -25.2, ,   -18.4, ,   -15.8, ,    -7.2, ,     5.4, ,    14.5, ,    18.0, ,    10.9, ,     5.2, ,    -3.1,E, -9999.9,M,   -30.2, , -9999.9,M,   -21.8, ,    -5.9, ,    14.5, , -9999.9,M
 2001,   -19.0, ,   -23.4, ,   -17.9, ,    -5.2, , -9999.9,M,    13.5, ,    16.7, ,    13.3,E,     8.7, ,    -3.9, ,   -14.3, ,   -23.3, , -9999.9,M,   -24.2, , -9999.9,M,    14.5,E,    -3.2, 
 2002,   -27.3, ,   -25.3, ,   -22.0, ,   -12.0, ,     0.0,E,    14.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -25.3, ,   -11.3,E, -9999.9,M, -9999.9,M
 2003, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -14.7,E,   -19.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
