2204000,WRIGLEY_A           ,NWT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
2204000,WRIGLEY_A           ,NWT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1943, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.0, ,     7.9, ,     0.9, ,   -11.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -0.8, 
 1944, -9999.9,M,   -20.4, ,   -15.4, ,    -0.3, ,     9.7, ,    14.2, ,    15.5, ,    13.4, ,     6.2, ,     0.2, , -9999.9,M,   -18.2, , -9999.9,M, -9999.9,M,    -2.0, ,    14.4, , -9999.9,M
 1945,   -25.3, ,   -20.9, ,   -14.8, ,    -8.9, ,     6.7, ,    15.4, ,    16.7, ,    15.1, ,     5.5, ,    -0.7, ,   -22.5, ,   -26.3, ,    -5.0, ,   -21.5, ,    -5.7, ,    15.7, ,    -5.9, 
 1946,   -26.8, ,   -27.5, ,   -14.3, ,    -2.6, ,     8.0, ,    15.7, ,    16.5, ,    14.8, ,     6.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -26.9, ,    -3.0, ,    15.7, , -9999.9,M
 1947, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.8, ,    10.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1948, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.5, ,     5.9, ,    -2.6, ,   -16.8, ,   -30.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -4.5, 
 1949, -9999.9,M,   -29.1, ,   -11.3, ,    -1.8, ,     5.5, ,    13.1, ,    16.6, ,    15.9, ,    10.3, ,    -2.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.5, ,    15.2, , -9999.9,M
 1950, -9999.9,M, -9999.9,M,   -13.7, , -9999.9,M, -9999.9,M,    15.5, ,    16.4, ,    10.6, ,     9.2, , -9999.9,M,   -23.1, ,   -24.5, , -9999.9,M, -9999.9,M, -9999.9,M,    14.2, , -9999.9,M
 1951, -9999.9,M,   -25.3, ,   -20.6, ,    -5.5, ,     7.2, ,    12.4, ,    17.7, ,    15.6, ,     8.5, ,    -5.2, ,   -14.5, ,   -27.7, , -9999.9,M, -9999.9,M,    -6.3, ,    15.2, ,    -3.7, 
 1952,   -31.7, ,   -24.5, ,   -15.9, ,    -3.5, ,     7.4, ,    13.9, ,    15.7, ,    12.5, ,     4.9, ,     1.2, , -9999.9,M, -9999.9,M, -9999.9,M,   -28.0, ,    -4.0, ,    14.0, , -9999.9,M
 1953, -9999.9,M, -9999.9,M,   -14.7, ,    -1.0, ,     7.7, ,    14.1, ,    16.1, ,    14.9, ,     7.7, ,    -1.5, ,   -14.5, ,   -26.7, , -9999.9,M, -9999.9,M,    -2.7, ,    15.0, ,    -2.8, 
 1954, -9999.9,M,   -24.1, ,   -11.5, ,   -10.8, ,     8.0, ,    14.2, ,    17.3, ,    18.5, ,     7.1, ,    -1.3, ,   -10.7, ,   -26.8, , -9999.9,M, -9999.9,M,    -4.8, ,    16.7, ,    -1.6, 
 1955,   -26.7, ,   -28.7, ,   -21.5, ,    -3.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.4, ,   -24.0, ,   -28.8, , -9999.9,M,   -27.4, , -9999.9,M, -9999.9,M, -9999.9,M
 1956,   -30.8, ,   -26.4, ,   -15.1, ,    -3.9, ,     7.4, ,    12.9, ,    17.2, ,    13.6, ,     5.1, ,    -9.1, ,   -15.8, ,   -28.8, ,    -6.1, ,   -28.7, ,    -3.9, ,    14.6, ,    -6.6, 
 1957,   -23.0, ,   -26.6, ,   -12.1, ,    -3.2, ,     5.1, ,    11.6, ,    14.8, ,    15.6, ,     8.1, ,    -3.4, ,   -17.1, ,   -29.4, ,    -5.0, ,   -26.1, ,    -3.4, ,    14.0, ,    -4.1, 
 1958,   -22.0, ,   -28.3, ,   -13.7, ,    -3.5, ,     8.2, ,    13.6, ,    17.5, ,    14.5, ,     7.6, ,    -4.8, ,   -17.7, ,   -24.6, ,    -4.4, ,   -26.6, ,    -3.0, ,    15.2, ,    -5.0, 
