2301153,ARVIAT_CLIMATE      ,NU  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
2301153,ARVIAT_CLIMATE      ,NU  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 2004, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2005,   -30.7,E,   -29.8,E,   -22.3,E,    -8.8, ,    -5.5, ,     5.0, ,    11.3, ,    11.3, ,     4.5, ,    -1.5, ,   -12.6, ,   -22.9, ,    -8.5,E, -9999.9,M,   -12.2,E,     9.2, ,    -3.2, 
 2006,   -23.0, ,   -25.2, ,   -18.7, ,   -10.3, ,    -3.1, ,     7.1, ,    10.5, ,    10.9, ,     6.0, ,    -0.1, ,   -16.3, ,   -19.2, ,    -6.8, ,   -23.7, ,   -10.7, ,     9.5, ,    -3.5, 
 2007,   -25.5,E,   -27.2, ,   -24.7, ,   -12.3, ,    -4.8, ,     3.4, ,    13.1, ,    10.0, ,     3.5, ,    -0.9, ,   -18.4, ,   -25.0, ,    -9.1,E,   -24.0,E,   -13.9, ,     8.8, ,    -5.3, 
 2008,   -25.7, ,   -31.8, ,   -27.3, ,   -14.0, ,    -2.3, ,     4.8, ,    11.4, ,    11.2, ,     3.9, ,    -1.3, ,   -13.8, ,   -27.4, ,    -9.4, ,   -27.5, ,   -14.5, ,     9.1, ,    -3.7, 
 2009,   -25.6, ,   -27.8, ,   -25.2, ,   -12.3, ,    -9.7, ,     3.2, ,     9.4, ,    10.1, ,     7.0, ,    -3.9, ,   -10.2, ,   -22.8, ,    -9.0, ,   -26.9, ,   -15.7, ,     7.6, ,    -2.4, 
 2010,   -24.4, ,   -23.9, ,   -16.0, ,    -7.5, ,    -6.2, ,     3.8,E,    10.8, ,    10.0, ,     6.1, ,     0.4, ,   -11.2, ,   -17.8, ,    -6.3,E,   -23.7, ,    -9.9, ,     8.2,E,    -1.6, 
 2011,   -25.8, ,   -27.6, ,   -25.3, ,   -17.0, ,    -6.0, ,     3.9, ,    12.5, ,    11.2, ,     7.6, ,    -0.7, ,   -10.8, ,   -22.6, ,    -8.4, ,   -23.7, ,   -16.1, ,     9.2, ,    -1.3, 
 2012,   -28.5, ,   -22.1, ,   -22.0, ,   -14.0, ,    -2.6, ,     5.9, ,    11.2, ,    11.4, ,     6.5,E,    -2.2, , -9999.9,M,   -23.2,E, -9999.9,M,   -24.4, ,   -12.9, ,     9.5, , -9999.9,M
 2013,   -31.9, ,   -27.4,E,   -22.2, ,   -16.1,E,    -3.8,E,     6.5,E,    12.1, ,    10.3, ,     5.6, ,    -3.0, ,   -18.8, ,   -29.1, ,    -9.8,E,   -27.5,E,   -14.0,E,     9.6,E,    -5.4, 
 2014,   -29.0, ,   -27.8,E,   -26.2, ,   -16.2, ,    -1.4, ,     8.0, ,    12.4, ,    10.1, ,     4.0, ,    -2.3, ,   -18.4, ,   -20.8,E,    -9.0,E,   -28.6,E,   -14.6, ,    10.2, ,    -5.6, 
 2015,   -29.3, ,   -31.7, ,   -25.0, ,   -14.5, ,    -3.8, ,     5.2, ,    10.3, ,     9.6, ,     5.7, ,    -4.4, ,   -13.5, ,   -19.3, ,    -9.2, ,   -27.3,E,   -14.4, ,     8.4, ,    -4.1, 
 2016,   -24.5, ,   -30.5, ,   -23.5, ,   -18.0, ,    -2.5, ,     5.4, ,    10.7, ,    10.8, ,     6.6, ,    -2.1, ,    -8.2, ,   -24.9, ,    -8.4, ,   -24.8, ,   -14.7, ,     9.0, ,    -1.2, 
 2017,   -25.0, ,   -25.1, ,   -22.6, ,   -15.3, ,    -2.9, ,     5.0, ,    12.1, ,    11.3, ,     6.8,E,    -4.5, ,   -15.6, ,   -25.0, ,    -8.4,E,   -25.0, ,   -13.6, ,     9.5, ,    -4.4,E
 2018,   -27.0, ,   -31.1, ,   -20.9, ,   -14.4, ,    -6.6, ,     5.3, ,    12.9, ,    10.1, ,     2.4, ,    -5.1, ,   -19.9, ,   -22.3, ,    -9.7, ,   -27.7, ,   -14.0, ,     9.4, ,    -7.5, 
 2019,   -30.1, ,   -30.7, ,   -20.7, ,   -13.0, ,    -3.6, ,     3.5, ,    11.2, ,     9.6, ,     6.1, ,    -0.4, ,   -15.3, ,   -22.8, ,    -8.9, ,   -27.7, ,   -12.4, ,     8.1, ,    -3.2, 
