2302340,GJOA_HAVEN_CLIMATE  ,NU  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
2302340,GJOA_HAVEN_CLIMATE  ,NU  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1984, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.9, ,    -7.0, ,   -21.3, ,   -32.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -10.1, 
 1985,   -32.8, ,   -37.3, , -9999.9,M,   -24.5, ,    -4.8, ,     4.0, , -9999.9,M,     5.7, ,     1.7, ,    -8.6, ,   -23.7, ,   -27.3, , -9999.9,M,   -34.2, , -9999.9,M, -9999.9,M,   -10.2, 
 1986, -9999.9,M, -9999.9,M, -9999.9,M,   -21.5, ,    -8.7, ,    -1.0, ,     6.7, ,     3.0, ,    -1.8, ,   -16.5, ,   -28.1, ,   -31.8,E, -9999.9,M, -9999.9,M, -9999.9,M,     2.9, ,   -15.5, 
 1987,   -36.2, ,   -32.8, ,   -31.5, ,   -23.5, ,   -14.3, ,    -1.1, ,     6.8, ,     3.1, ,     1.0, ,   -12.7, ,   -22.8, ,   -22.8, ,   -15.6, ,   -33.6,E,   -23.1, ,     2.9, ,   -11.5, 
 1988,   -35.1,E,   -35.2, ,   -28.2, ,   -19.2, ,   -10.4, ,     0.8, ,     8.1, ,     6.6,E,     1.9, ,    -8.4,E,   -25.5,E,   -32.1, ,   -14.7,E,   -31.0,E,   -19.3, ,     5.2,E,   -10.7,E
 1989,   -36.2, ,   -31.5,E,   -31.0,E,   -18.0,E,   -12.8, ,     3.3, ,     7.9, ,     5.9, ,    -0.8,E,   -11.4,E,   -25.3,E,   -32.8,E,   -15.2,E,   -33.3,E,   -20.6,E,     5.7, ,   -12.5,E
 1990,   -34.5, ,   -39.9,E,   -26.7,E,   -21.3,E,   -10.5, ,    -0.1,E,     6.9, , -9999.9,M,    -0.9, ,   -11.9,E,   -27.2, ,   -34.3, , -9999.9,M,   -35.7,E,   -19.5,E, -9999.9,M,   -13.3,E
 1991,   -37.3, ,   -33.4, ,   -30.5, ,   -20.0,E,    -9.8, ,     2.9, ,     7.1, ,     6.0, ,    -1.8,E,   -10.8,E,   -23.0, ,   -31.5, ,   -15.2,E,   -35.0, ,   -20.1,E,     5.3, ,   -11.9,E
 1992,   -35.5,E,   -34.5, ,   -27.2, ,   -23.2, ,   -10.1, ,    -1.9, ,     5.9, ,     4.5, ,    -1.7, ,   -10.0, ,   -23.9, ,   -28.4, ,   -15.5,E,   -33.8,E,   -20.2, ,     2.8, ,   -11.9, 
 1993,   -33.1,E,   -35.7,E,   -28.9, ,   -23.1, , -9999.9,M,     2.7, ,     9.5, ,     5.9, ,    -1.0, ,    -9.0, ,   -26.6, ,   -33.2, , -9999.9,M,   -32.4,E, -9999.9,M,     6.0, ,   -12.2, 
