2400565,BREVOORT_ISLAND     ,NU  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
2400565,BREVOORT_ISLAND     ,NU  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1959, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -10.7, ,   -16.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1960,   -19.0, ,   -13.9, ,   -22.4, ,   -17.8, ,    -3.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -16.6, ,   -14.6, , -9999.9,M, -9999.9,M
 1961, -9999.9,M, -9999.9,M,   -26.1, ,   -10.3, ,    -6.5, ,     1.1, ,     6.0, ,     4.4, ,    -1.1, ,    -5.7, ,   -11.8, ,   -13.5, , -9999.9,M, -9999.9,M,   -14.3, ,     3.8, ,    -6.2, 
 1962,   -22.0, ,   -25.9, ,   -10.7, ,   -14.0, ,    -6.5, ,    -0.3, ,     3.9, ,     4.4, ,     0.1, ,    -5.5, ,    -9.8, ,   -17.0, ,    -8.6, ,   -20.5, ,   -10.4, ,     2.7, ,    -5.1, 
 1963,   -18.4, ,   -15.1, ,   -21.8, ,   -10.4, ,    -6.5, ,    -0.5, ,     3.2, ,     4.3, ,    -2.2, ,    -6.7, ,   -11.1, ,   -16.6, ,    -8.5, ,   -16.8, ,   -12.9, ,     2.3, ,    -6.7, 
 1964,   -22.1, ,   -20.2, ,   -26.4, ,   -14.7, ,    -6.7, ,    -1.0, ,     5.1, ,     3.7, ,     0.9, ,    -6.0, ,   -11.4, ,   -15.8, ,    -9.6, ,   -19.6, ,   -15.9, ,     2.6, ,    -5.5, 
 1965,   -23.0, ,   -19.4, ,   -17.3, ,   -13.2, ,    -2.9, ,     1.0, ,     3.7, ,     2.5, ,    -0.6, ,    -7.6, ,    -9.8, ,   -18.5, ,    -8.8, ,   -19.4, ,   -11.1, ,     2.4, ,    -6.0, 
 1966,   -19.5, ,   -19.0, ,   -19.9, ,   -10.8, ,    -7.1, ,     0.0, ,     3.0, ,     5.9, ,     1.3, ,    -2.1, ,   -10.8, ,   -17.1, ,    -8.0, ,   -19.0, ,   -12.6, ,     3.0, ,    -3.9, 
 1967,   -19.0, ,   -27.9, ,   -20.9, ,   -15.8, ,    -3.6, ,     0.0, ,     4.2, ,     4.1, ,    -0.9, ,    -5.5, ,   -11.7, ,   -16.6, ,    -9.5, ,   -21.3, ,   -13.4, ,     2.8, ,    -6.0, 
 1968,   -22.7, ,   -21.9, ,   -22.6, ,    -8.8, ,    -4.3, ,     0.0, ,     3.0, ,     4.1, ,     1.8, ,    -1.6, ,    -9.0, ,   -14.6, ,    -8.1, ,   -20.4, ,   -11.9, ,     2.4, ,    -2.9, 
