2402351,GRISE_FIORD         ,NU  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
2402351,GRISE_FIORD         ,NU  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1984, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -3.5, ,   -11.8, ,   -23.6, ,   -28.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -13.0, 
 1985,   -26.4, ,   -33.1,E,   -28.9, ,   -25.1, ,    -7.7, , -9999.9,M, -9999.9,M,     2.3, ,    -0.8, ,   -13.6, ,   -21.3,E,   -22.6, , -9999.9,M,   -29.4,E,   -20.6, , -9999.9,M,   -11.9,E
 1986,   -29.8, ,   -23.1, ,   -32.4, ,   -23.0, ,    -7.6, ,    -0.4, ,     2.5, ,     2.6, ,    -3.4, ,   -16.6, ,   -23.4, , -9999.9,M, -9999.9,M,   -25.2, ,   -21.0, ,     1.6, ,   -14.5, 
 1987, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -29.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1988,   -31.3,E, -9999.9,M, -9999.9,M,   -19.2, ,    -6.2, ,     0.0, ,     4.6, ,     3.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.8, , -9999.9,M
 1989, -9999.9,M, -9999.9,M, -9999.9,M,   -19.2,E,   -11.1,E,     1.3,E, -9999.9,M,     2.5,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1990, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.1, ,     2.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1991,   -33.6,E,   -30.5,E,   -27.9, ,   -23.1,E,    -8.5, ,     1.3,E,     4.5,E,     2.9, ,    -1.1,E,   -11.4,E,   -20.6,E, -9999.9,M, -9999.9,M, -9999.9,M,   -19.8,E,     2.9,E,   -11.0,E
 1992,   -33.1,E,   -32.6,E,   -29.5,E,   -24.9, ,   -13.1,E,    -1.2, ,     3.0,E,     1.6, ,    -2.1, ,    -8.8, ,   -23.9, ,   -25.8, ,   -15.9,E, -9999.9,M,   -22.5,E,     1.1,E,   -11.6, 
 1993,   -33.4,E,   -30.9, ,   -33.1, ,   -21.8,E,    -8.1, ,     1.0, ,     4.1,E,     1.4,E,    -2.8,E, -9999.9,M,   -28.6,E,   -30.7, , -9999.9,M,   -30.0,E,   -21.0,E,     2.2,E, -9999.9,M
 1994,   -35.0, ,   -33.4, ,   -34.3,E,   -21.9, ,    -5.3, , -9999.9,M,     3.8, ,     1.7,E,    -4.1, ,   -11.2, , -9999.9,M, -9999.9,M, -9999.9,M,   -33.0, ,   -20.5,E, -9999.9,M, -9999.9,M
 1995, -9999.9,M,   -33.1, ,   -31.7,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1996, -9999.9,M,   -29.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
