3010890,BROWNFIELD          ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
3010890,BROWNFIELD          ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1958, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.5, ,     6.6, ,    -6.1, ,   -10.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.7, 
 1959,   -19.6, ,   -13.6, ,     0.1, ,     4.3, ,     7.6, ,    14.1, ,    18.2, ,    13.9, ,     8.9, ,     2.4, ,    -6.2, ,    -4.1, ,     2.2, ,   -14.7, ,     4.0, ,    15.4, ,     1.7, 
 1960,   -14.5, ,   -12.1, ,    -8.2, ,     4.4, ,     8.4, ,    12.6, ,    18.8, ,    15.7, ,    11.1, ,     5.8, ,    -6.5, ,    -8.2, ,     2.3, ,   -10.2, ,     1.5, ,    15.7, ,     3.5, 
 1961,    -9.7, ,    -9.9, ,    -2.7, ,     2.2, ,    11.2, ,    17.9, ,    17.4, ,    19.6, ,     8.1, ,     3.9, ,    -6.6, ,   -17.6, ,     2.8, ,    -9.3, ,     3.6, ,    18.3, ,     1.8, 
 1962,   -12.5, ,   -16.0, ,   -10.7, ,     5.3, ,     9.8, ,    15.8, ,    15.2, ,    15.4, ,    11.3, ,     7.2, ,    -0.1, ,    -8.3, ,     2.7, ,   -15.4, ,     1.5, ,    15.5, ,     6.1, 
 1963,   -16.8, ,    -6.8, ,    -1.5, ,     4.2, ,     9.1, ,    14.9, ,    17.5, ,    16.7, ,    14.3, ,     8.4, ,    -5.9, ,   -10.7, ,     3.6, ,   -10.6, ,     3.9, ,    16.4, ,     5.6, 
 1964,   -11.0, ,    -4.0, ,    -8.7, ,     4.0, ,    10.9, ,    14.1, ,    18.2, ,    15.5, ,     8.4, ,     6.4, ,    -4.9, ,   -20.5, ,     2.4, ,    -8.6, ,     2.1, ,    15.9, ,     3.3, 
 1965,   -17.4, ,   -13.4, ,   -11.7, ,     2.4, ,     9.4, ,    13.7, ,    17.4, ,    17.5, ,     4.8, ,     7.5, ,    -8.3, ,   -11.8, ,     0.8, ,   -17.1, ,     0.0, ,    16.2, ,     1.3, 
 1966,   -24.1, ,   -12.7, ,    -4.8, ,     1.3, ,    11.5, ,    12.9, ,    16.8, ,    14.6, ,    13.0, ,     4.0, ,   -10.1, ,   -11.3, ,     0.9, ,   -16.2, ,     2.7, ,    14.8, ,     2.3, 
 1967,   -16.6, ,   -11.2, ,   -10.8, ,    -2.1, ,     9.4, ,    12.7, ,    17.3, ,    18.1, ,    15.4, ,     4.8, ,    -3.7, ,   -11.4, ,     1.8, ,   -13.0, ,    -1.2, ,    16.0, ,     5.5, 
