3012209,EDMONTON_BLATCHFORD ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
3012209,EDMONTON_BLATCHFORD ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1996, -9999.9,M, -9999.9,M,    -6.4, ,     5.4, ,     8.0, ,    13.8, ,    16.9,E,    17.3, ,     9.8, ,     4.1,E,   -10.6, ,   -15.6, , -9999.9,M, -9999.9,M,     2.3, ,    16.0,E,     1.1,E
 1997,   -15.1, ,    -4.3, ,    -5.1,E,     2.6,E,    11.0,E,    15.4, ,    17.2,E,    16.9, ,    13.0,E,     4.0, ,    -1.2, ,    -2.4,E,     4.3,E,   -11.7, ,     2.8,E,    16.5,E,     5.3,E
 1998,   -16.1, ,    -3.9,E,    -2.6, ,     7.9,E,    14.8,E,    15.3, ,    19.1, ,    19.1, ,    12.9,E,     6.7, ,    -4.2,E,   -10.4,E,     4.9,E,    -7.5,E,     6.7,E,    17.8, ,     5.1,E
 1999,   -12.5, ,    -6.2, ,    -2.6,E,     6.1,E,     9.6,E,    14.4, ,    15.6, ,    17.7, ,    11.5,E,     6.3,E,    -1.0,E,    -2.5, ,     4.7,E,    -9.7,E,     4.4,E,    15.9, ,     5.6,E
 2000,   -12.0, ,    -7.2, ,    -1.2, ,     4.6, ,     9.6,E,    14.5, ,    18.1,E,    15.7,E,    11.0, ,     5.4, ,    -3.3, ,   -12.6,E,     3.6,E,    -7.2, ,     4.3,E,    16.1,E,     4.4, 
 2001,    -2.7, ,   -10.5, ,    -0.5, ,     5.8,E,    12.5,E,    14.3,E,    17.5, ,    18.1, ,    12.7, ,     4.2,E,    -0.9,E,    -9.4, ,     5.1,E,    -8.6,E,     5.9,E,    16.6,E,     5.3,E
 2002,    -9.4, ,    -4.0, ,   -11.3, ,    -0.4, ,     9.7, ,    17.3, ,    19.3, ,    15.7, ,    10.6, ,     1.7, ,     0.0, ,    -4.7, ,     3.7, ,    -7.6, ,    -0.7, ,    17.4, ,     4.1, 
 2003,   -11.0, ,    -8.5, ,    -6.6, ,     4.5,E,    10.3,E,    14.7, ,    18.6,E,    18.2, ,    11.2, ,     7.3, ,    -6.9, ,    -7.2, ,     3.7,E,    -8.1, ,     2.7,E,    17.2,E,     3.9, 
 2004,   -14.0, ,    -5.3, ,    -0.5, ,     6.1,E,     9.1, ,    15.1, ,    17.6, ,    15.6, ,     9.8, ,     3.3, ,     0.6, ,    -8.0, ,     4.1,E,    -8.8, ,     4.9,E,    16.1, ,     4.6, 
 2005,   -12.3, ,    -4.7, ,    -0.4, ,     7.2, ,    11.6, ,    14.9, ,    17.3, ,    14.9, ,    10.2, ,     6.0, ,    -0.1, ,    -5.9, ,     4.9, ,    -8.3, ,     6.1, ,    15.7, ,     5.4, 
 2006,    -4.4, ,    -6.3, ,    -5.1, ,     8.3, ,    12.4, ,    16.9, ,    20.0, ,    17.0, ,    12.8, ,     3.4, ,    -9.6, ,    -5.1, ,     5.0, ,    -5.5, ,     5.2, ,    18.0, ,     2.2, 
 2007,    -6.7, ,   -11.4, ,    -1.4, ,     3.8, ,    11.1, ,    15.9, ,    20.9, ,    14.8, ,    11.0, ,     7.0, ,    -3.0, ,   -11.1,E,     4.2,E,    -7.7, ,     4.5, ,    17.2, ,     5.0, 
 2008,   -11.6, ,    -8.3, ,    -1.6, ,     1.9,E,    12.4, ,    15.7, ,    17.6,E,    17.7, ,    12.1, ,     6.6, ,     1.3, ,   -14.3, ,     4.1,E,   -10.3,E,     4.2,E,    17.0,E,     6.7, 
 2009,   -10.6, ,    -9.5, ,    -7.7, ,     4.1, ,    10.1, ,    15.1, ,    17.4, ,    17.0, ,    15.7, ,     2.3, ,     1.2, ,   -15.9, ,     3.3, ,   -11.5, ,     2.2, ,    16.5, ,     6.4, 
 2010,   -10.0, ,    -6.2, ,     2.0, ,     6.9, ,     9.2, ,    15.5,E,    17.4, ,    16.0, ,     9.8, ,     7.5, ,    -4.7, ,   -13.2, ,     4.2,E,   -10.7, ,     6.0, ,    16.3,E,     4.2, 
 2011,   -11.1, ,   -11.2, ,    -8.4, ,     3.2, ,    12.6, ,    14.7, ,    16.7, ,    16.9, ,    14.2, ,     6.4, ,    -3.9, ,    -3.0, ,     3.9, ,   -11.8, ,     2.5, ,    16.1, ,     5.6, 
 2012,    -7.1, ,    -5.8, ,    -0.4, ,     4.8, ,    11.3, ,    16.1, ,    19.3, ,    18.0, ,    14.1, ,     1.8, ,    -7.1, ,   -14.0, ,     4.3, ,    -5.3, ,     5.2, ,    17.8, ,     2.9, 
 2013,    -9.3, ,    -4.1, ,    -5.7, ,     0.9, ,    13.9, ,    15.2, ,    16.7, ,    17.9, ,    14.9, ,     6.0, ,    -6.3, ,   -13.3,E,     3.9,E,    -9.1, ,     3.0, ,    16.6, ,     4.9, 
 2014,    -6.8, ,   -14.7, ,    -6.7, ,     3.8, ,     9.9, ,    14.8, ,    19.2, ,    17.9, ,    12.0, ,     7.7, ,    -6.9, ,    -6.6, ,     3.6, ,   -11.6,E,     2.3, ,    17.3, ,     4.3, 
 2015,    -7.6, ,    -9.0, ,     0.5, ,     6.8, ,    11.6, ,    17.6, ,    19.6, ,    18.2, ,    11.3, ,     8.4, ,    -1.4, ,    -8.0, ,     5.7, ,    -7.7, ,     6.3, ,    18.5, ,     6.1, 
 2016,    -8.5, ,    -1.5, ,     2.4, ,     8.8, ,    12.9, ,    17.4, ,    19.0, ,    17.7, ,    11.9, ,     2.6, ,     1.5, ,   -11.3, ,     6.1, ,    -6.0, ,     8.0, ,    18.0, ,     5.3, 
 2017,    -8.1, ,    -6.5, ,    -4.4,E,     3.7, ,    14.0, ,    16.5, ,    19.0, ,    17.8, ,    12.7, ,     5.6, ,    -7.0, ,    -7.4, ,     4.7,E,    -8.6, ,     4.4,E,    17.8, ,     3.8, 
 2018,    -9.3, ,   -12.3, ,    -4.8, ,     2.0, ,    15.7, ,    17.2, ,    18.7, ,    16.9, ,     7.0, ,     4.6, ,    -2.4, ,    -6.3, ,     3.9, ,    -9.7, ,     4.3, ,    17.6, ,     3.1, 
 2019,    -6.8, ,   -19.4, ,    -2.7, ,     5.6, ,    11.6, ,    15.1, ,    17.1, ,    15.9, ,    12.2, ,     3.8, ,    -2.9, ,    -7.3, ,     3.5, ,   -10.8, ,     4.8, ,    16.0, ,     4.4, 
