3013361,HUGHENDEN           ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
3013361,HUGHENDEN           ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1934, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.0, ,    -3.7, ,   -14.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1935,   -22.2, ,    -6.2, ,   -10.8, ,    -1.3, ,     9.2, ,    13.4, , -9999.9,M,    14.4, ,    11.0, ,     4.4, ,    -9.1, ,   -10.2, , -9999.9,M,   -14.1, ,    -1.0, , -9999.9,M,     2.1, 
 1936,   -19.8, ,   -28.6, ,    -5.3, ,     0.8, ,    14.2, ,    14.9, ,    20.7, ,    17.1, ,    10.5, ,     5.5, ,    -0.6, ,   -13.2, ,     1.4, ,   -19.5, ,     3.2, ,    17.6, ,     5.1, 
 1937,   -22.0, ,   -16.0, ,    -4.3, ,     5.9, ,    11.5, ,    15.8, ,    18.8, ,    13.2, ,    10.1, ,     5.9, ,    -6.6, ,   -14.9, ,     1.5, ,   -17.1, ,     4.4, ,    15.9, ,     3.1, 
 1938,   -10.7, ,   -16.8, ,    -2.7, ,     3.7, ,    10.8, ,    16.2, ,    18.1, ,    15.0, ,    16.1, ,     7.1, , -9999.9,M, -9999.9,M, -9999.9,M,   -14.1, ,     3.9, ,    16.4, , -9999.9,M
 1939, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.7, ,    11.1, ,    18.0, ,    17.0, ,     9.8, ,     2.3, ,     0.6, ,    -3.4, , -9999.9,M, -9999.9,M, -9999.9,M,    15.4, ,     4.2, 
 1940,   -17.1, ,   -13.0, ,    -3.7, ,     0.1, ,    12.6, ,    13.3, ,    16.3, ,    16.6, ,    13.3, ,     5.7, ,   -11.1, ,    -9.9, ,     1.9, ,   -11.2, ,     3.0, ,    15.4, ,     2.6, 
 1941,   -15.2, ,   -12.3, ,    -6.5, ,     6.8, ,    10.5, ,    15.7, ,    20.0, ,    16.7, ,     8.2, ,     5.1, ,    -0.1, ,   -10.6, ,     3.2, ,   -12.5, ,     3.6, ,    17.5, ,     4.4, 
 1942,    -7.0, ,   -11.5, ,    -2.1, ,     4.0, ,     9.6, , -9999.9,M, -9999.9,M,    17.2, ,    10.2, ,     4.9, ,    -9.1, ,   -13.9, , -9999.9,M,    -9.7, ,     3.8, , -9999.9,M,     2.0, 
 1943,   -19.3, ,    -8.6, ,   -10.8, ,     6.6, ,     9.0, ,    12.4, ,    17.9, ,    15.9, ,    11.2, ,     6.9, ,    -0.7, ,    -5.0, ,     3.0, ,   -13.9, ,     1.6, ,    15.4, ,     5.8, 
 1944,    -9.3, ,   -11.4, ,    -8.5, ,     7.5, ,    12.6, ,    14.8, ,    16.7, ,    15.3, ,    11.6, ,     7.9, , -9999.9,M,    -9.4, , -9999.9,M,    -8.6, ,     3.9, ,    15.6, , -9999.9,M
 1945,   -12.4, ,   -13.2, ,    -3.1, ,    -0.8, ,     8.3, ,    13.5, ,    17.8, ,    16.8, ,     8.7, ,     4.7, ,   -12.5, ,   -14.5, ,     1.1, ,   -11.7, ,     1.5, ,    16.0, ,     0.3, 
 1946,   -10.6, ,   -14.0, ,    -1.2, ,     7.6, ,     9.3, ,    13.1, ,    18.8, ,    14.4, ,     9.4, ,     2.3, ,    -9.4, ,   -16.1, ,     2.0, ,   -13.0, ,     5.2, ,    15.4, ,     0.8, 
 1947,    -9.1, ,   -15.5, ,    -7.5, ,     4.1, ,     9.2, ,    14.5, ,    20.2, ,    15.0, , -9999.9,M, -9999.9,M, -9999.9,M,   -10.2, , -9999.9,M,   -13.6, ,     1.9, ,    16.6, , -9999.9,M
 1948,    -9.5, ,   -17.4, ,   -11.9, ,    -4.2, ,    12.0, ,    16.3, ,    16.8, ,    15.7, ,    12.2, ,     5.9, ,    -3.5, ,   -15.7, ,     1.4, ,   -12.4, ,    -1.4, ,    16.3, ,     4.9, 
 1949,   -17.8, ,   -20.9, ,    -6.4, ,     7.9, ,    11.3, ,    14.5, ,    17.2, , -9999.9,M, -9999.9,M,     2.1, ,     1.5, ,   -19.4, , -9999.9,M,   -18.1, ,     4.3, , -9999.9,M, -9999.9,M
 1950,   -30.8, ,   -13.3, ,    -8.8, ,     0.9, ,     9.9, ,    15.0, ,    16.6, ,    13.7, ,    11.0, ,     2.5, ,   -10.9, ,   -13.2, ,    -0.6, ,   -21.2, ,     0.7, ,    15.1, ,     0.9, 
 1951,   -17.9, ,   -14.8, ,   -13.4, ,     2.2, ,    11.3, ,    11.9, ,    17.1, ,    14.5, ,     8.7, ,     0.1, ,    -7.6, ,   -16.2, ,    -0.3, ,   -15.3, ,     0.0, ,    14.5, ,     0.4, 
 1952,   -20.2, ,   -11.8, ,    -9.3, ,     7.1, ,    12.0, ,    13.8, ,    15.5, , -9999.9,M,    12.4, ,     5.8, ,    -2.9, ,    -9.7, , -9999.9,M,   -16.1, ,     3.3, , -9999.9,M,     5.1, 
 1953,   -16.9, ,    -8.1, ,    -6.9, ,     0.1, ,     9.6, ,    13.4, ,    16.4, ,    16.0, ,    10.1, ,     6.1, ,    -0.5, ,    -6.6, ,     2.7, ,   -11.6, ,     0.9, ,    15.3, ,     5.2, 
 1954,   -22.8, ,    -3.3, ,    -7.1, ,    -2.4, ,     9.2, ,    12.6, ,    17.4, ,    14.4, ,    10.2, ,     5.0, ,     0.8, ,    -5.4, ,     2.4, ,   -10.9, ,    -0.1, ,    14.8, ,     5.3, 
 1955,   -11.0, ,   -13.3, ,   -10.8, ,     3.8, ,     9.4, ,    14.8, ,    17.7, ,    16.1, ,     9.4, ,     5.2, ,   -15.7, ,   -18.7, ,     0.6, ,    -9.9, ,     0.8, ,    16.2, ,    -0.4, 
 1956,   -19.7, ,   -15.5, ,    -8.2, ,     0.7, ,    11.7, ,    15.5, ,    16.8, ,    15.8, ,    10.0, ,     4.0, ,    -1.2, ,   -12.5, ,     1.5, ,   -18.0, ,     1.4, ,    16.0, ,     4.3, 
 1957,   -17.2, ,   -13.4, ,    -6.3, ,     3.9, ,    11.8, ,    13.5, ,    18.1, ,    14.8, ,    12.0, ,     2.4, ,    -2.2, , -9999.9,M, -9999.9,M,   -14.4, ,     3.1, ,    15.5, ,     4.1, 
 1958,    -8.6, ,   -14.9, ,    -7.9, ,     5.1, ,    12.9, ,    14.1, ,    17.8, ,    18.6, ,    11.0, ,     6.3, ,    -5.9, , -9999.9,M, -9999.9,M, -9999.9,M,     3.4, ,    16.8, ,     3.8, 
 1959,   -20.2, ,   -12.3, ,     1.0, ,     4.7, ,     8.5, ,    14.6, ,    18.8, ,    14.6, ,     8.9, ,     2.5, ,    -6.1, ,    -4.0, ,     2.6, , -9999.9,M,     4.7, ,    16.0, ,     1.8, 
 1960,   -14.5, ,   -11.9, ,    -8.9, ,     4.7, ,     8.3, ,    12.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -7.3, ,    -9.0, , -9999.9,M,   -10.1, ,     1.4, , -9999.9,M, -9999.9,M
