3016841,VIKING              ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
3016841,VIKING              ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1923, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.2, ,    16.5, ,    15.1, ,    10.4, , -9999.9,M,     0.2, ,    -7.3, , -9999.9,M, -9999.9,M, -9999.9,M,    15.6, , -9999.9,M
 1924,   -14.8, ,    -6.3, ,    -3.9, ,     2.7, ,     9.8, ,    12.4, ,    17.1, ,    14.2, ,    10.7, ,     5.9, ,    -7.1, ,   -17.9, ,     1.9, ,    -9.5, ,     2.9, ,    14.6, ,     3.2, 
 1925,   -17.1, ,   -15.9, ,    -7.7, ,     5.5, ,    11.3, ,    14.6, ,    17.0, ,    14.9, ,     9.5, ,    -0.6, ,    -5.6, ,    -7.7, ,     1.5, ,   -17.0, ,     3.0, ,    15.5, ,     1.1, 
 1926,    -8.4, ,    -8.6, ,    -5.2, ,     4.5, ,    11.1, ,    13.4, ,    17.2, ,    13.3, ,     4.9, ,     3.8, ,    -9.1, ,   -14.1, ,     1.9, ,    -8.2, ,     3.5, ,    14.6, ,    -0.1, 
 1927,   -16.8, ,   -16.2, ,    -5.9, ,     2.1, ,     7.5, ,    13.7, ,    16.2, ,    15.5, ,     8.9, ,     4.6, ,   -13.6, ,   -21.1, ,    -0.4, ,   -15.7, ,     1.2, ,    15.1, ,     0.0, 
 1928,   -12.1, ,    -8.6, ,    -5.5, ,     0.7, ,    12.3, ,    12.8, ,    15.6, ,    13.3, ,     9.6, ,     2.4, ,    -2.6, ,    -7.5, ,     2.5, ,   -13.9, ,     2.5, ,    13.9, ,     3.1, 
 1929,   -21.2, , -9999.9,M, -9999.9,M,     0.9, ,     8.8, ,    14.3, ,    16.6, ,    16.3, ,     8.6, ,     6.7, ,    -2.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.7, ,     4.4, 
 1930,   -22.1, ,    -7.2, ,    -3.3, ,     6.1, ,     9.0, ,    14.5, ,    17.4, ,    16.4, ,    10.0, ,     0.6, ,    -1.2, ,    -4.9, ,     2.9, , -9999.9,M,     3.9, ,    16.1, ,     3.1, 
 1931,    -5.7, ,    -1.6, ,    -7.4, ,     5.3, ,    10.3, ,    14.6, ,    16.3, ,    15.5, ,     9.3, ,     5.3, ,    -6.4, ,    -9.9, ,     3.8, ,    -4.1, ,     2.7, ,    15.5, ,     2.7, 
 1932,   -15.9, ,   -15.7, ,   -11.5, ,     5.5, ,    11.3, ,    15.3, ,    16.5, ,    16.4, ,    10.8, ,     1.1, ,    -6.8, ,   -13.0, ,     1.2, ,   -13.8, ,     1.8, ,    16.1, ,     1.7, 
 1933,   -17.1, ,   -15.6, ,   -11.0, ,     2.1, ,    10.4, ,    14.7, ,    16.0, ,    15.5, ,     8.6, ,     1.0, ,    -1.3, ,   -24.6, ,    -0.1, ,   -15.2, ,     0.5, ,    15.4, ,     2.8, 
 1934,   -10.9, ,    -8.6, ,    -4.5, ,     6.7, ,    12.4, ,    12.8, ,    15.6, ,    14.6, ,     6.6, ,     4.3, ,    -4.6, ,   -14.4, ,     2.5, ,   -14.7, ,     4.9, ,    14.3, ,     2.1, 
 1935,   -23.6, ,    -7.6, ,   -11.8, ,    -1.9, ,     8.7, ,    13.7, ,    17.8, ,    13.9, ,    10.6, ,     3.5, ,   -10.9, ,   -11.1, ,     0.1, ,   -15.2, ,    -1.7, ,    15.1, ,     1.1, 
 1936,   -21.3, ,   -30.3, ,    -6.9, ,     0.4, ,    13.0, ,    14.3, ,    19.3, ,    16.1, ,     9.6, ,     4.7, ,    -2.1, ,   -13.9, ,     0.2, ,   -20.9, ,     2.2, ,    16.6, ,     4.1, 
 1937,   -22.5, ,   -16.1, ,    -4.2, ,     6.4, ,    10.9, ,    14.9, ,    17.3, ,    14.2, ,    11.0, ,     5.3, ,    -7.7, ,   -16.4, ,     1.1, ,   -17.5, ,     4.4, ,    15.5, ,     2.9, 
 1938,   -11.8, ,   -18.6, ,    -3.4, ,     3.7, ,    10.0, ,    15.7, ,    17.2, ,    14.3, ,    15.5, ,     6.3, ,    -5.4, ,   -10.3, ,     2.8, ,   -15.6, ,     3.4, ,    15.7, ,     5.5, 
 1939,   -10.0, ,   -19.5, ,    -8.1, ,     4.9, ,    11.3, ,    11.4, ,    17.6, ,    16.7, ,     9.9, ,     1.2, ,     0.1, ,    -4.6, ,     2.6, ,   -13.3, ,     2.7, ,    15.2, ,     3.7, 
 1940,   -17.4, ,   -12.6, ,    -5.9, ,     0.2, ,    12.9, ,    13.4, ,    16.0, ,    16.1, ,    13.4, ,     6.2, ,   -10.7, ,   -10.8, ,     1.7, ,   -11.5, ,     2.4, ,    15.2, ,     3.0, 
 1941,   -16.4, ,   -12.8, ,    -7.2, ,     7.0, ,    10.4, ,    15.4, ,    19.8, ,    16.0, ,     8.0, ,     4.8, ,    -1.3, ,   -11.3, ,     2.7, ,   -13.3, ,     3.4, ,    17.1, ,     3.8, 
 1942,    -9.0, ,   -11.6, ,    -1.9, ,     4.0, ,     9.7, ,    13.2, ,    16.4, ,    15.5, ,    10.0, ,     4.7, ,   -10.7, ,   -16.8, ,     2.0, ,   -10.6, ,     3.9, ,    15.0, ,     1.3, 
 1943,   -20.3, ,    -9.5, ,   -10.3, ,     5.8, ,     8.7, ,    11.9, ,    17.4, ,    15.8, ,    10.7, ,     6.0, ,     0.2, ,    -6.7, ,     2.5, ,   -15.5, ,     1.4, ,    15.0, ,     5.6, 
 1944,    -9.2, ,   -11.0, ,    -7.3, ,     8.5, ,    10.7, ,    13.8, ,    15.6, ,    14.4, ,    10.8, ,     7.2, ,    -6.0, ,   -11.6, ,     3.0, ,    -9.0, ,     4.0, ,    14.6, ,     4.0, 
 1945,   -14.9, ,   -13.3, ,    -4.1, ,    -1.2, ,     8.0, ,    13.5, ,    17.4, ,    15.7, ,     8.1, ,     4.1, ,   -13.2, ,   -15.1, ,     0.4, ,   -13.3, ,     0.9, ,    15.5, ,    -0.3, 
 1946,   -12.5, ,   -14.1, ,    -2.2, ,     6.1, ,     8.6, ,    12.4, ,    17.3, ,    14.9, ,     9.0, ,     2.4, ,    -9.9, ,   -16.0, ,     1.3, ,   -13.9, ,     4.2, ,    14.9, ,     0.5, 
 1947,   -13.8, ,   -18.3, ,    -8.8, ,     3.6, ,     8.7, ,    14.2, ,    19.0, ,    14.0, ,     9.1, ,     5.6, ,    -6.3, ,    -9.3, ,     1.5, ,   -16.0, ,     1.2, ,    15.7, ,     2.8, 
 1948,    -9.0, ,   -18.6, ,   -10.9, ,    -4.0, ,    11.4, ,    15.9, ,    17.1, ,    15.6, ,    11.6, ,     5.9, ,    -4.3, ,   -16.4, ,     1.2, ,   -12.3, ,    -1.2, ,    16.2, ,     4.4, 
 1949,   -17.7, ,   -21.1, ,    -6.2, ,     8.2, ,    10.7, ,    13.3, ,    17.0, , -9999.9,M,    11.1, ,     2.8, ,     1.5, ,   -19.4, , -9999.9,M,   -18.4, ,     4.2, , -9999.9,M,     5.1, 
 1950,   -31.4, ,   -14.0, ,   -10.1, ,     1.1, ,     9.5, ,    14.8, ,    17.4, , -9999.9,M,    11.4, ,     2.1, ,   -11.6, ,   -12.7, , -9999.9,M,   -21.6, ,     0.2, , -9999.9,M,     0.6, 
 1951,   -18.6, ,   -15.5, ,   -13.6, ,     2.2, ,    11.3, ,    11.7, ,    16.4, ,    13.7, ,     8.5, ,     0.2, ,    -7.6, ,   -18.5, ,    -0.8, ,   -15.6, ,     0.0, ,    13.9, ,     0.4, 
 1952,   -21.4, ,   -11.5, ,    -9.6, ,     7.4, ,    11.7, ,    13.1, ,    15.7, ,    14.8, ,    11.6, ,     5.5, ,    -1.9, ,    -8.3, ,     2.3, ,   -17.1, ,     3.2, ,    14.5, ,     5.1, 
 1953,   -18.7, ,    -8.2, ,    -7.2, ,     0.9, ,    10.2, ,    13.5, ,    16.1, ,    16.1, ,    10.5, ,     6.9, ,    -0.6, ,    -6.5, ,     2.8, ,   -11.7, ,     1.3, ,    15.2, ,     5.6, 
 1954,   -24.9, ,    -5.6, ,    -6.2, ,    -5.0, ,     8.3, ,    12.0, ,    16.7, ,    14.0, ,    10.2, ,     4.3, ,     0.6, , -9999.9,M, -9999.9,M,   -12.3, ,    -1.0, ,    14.2, ,     5.0, 
 1955,   -10.6, ,   -13.9, ,   -11.1, ,     3.0, , -9999.9,M,    14.2, ,    17.6, ,    15.7, ,     9.8, ,     5.6, ,   -15.2, ,   -18.4, , -9999.9,M, -9999.9,M, -9999.9,M,    15.8, ,     0.1, 
 1956,   -19.4, ,   -15.4, ,    -7.8, ,     0.7, ,    11.6, ,    15.2, ,    16.8, , -9999.9,M,     9.6, ,     4.0, ,    -1.1, ,   -11.5, , -9999.9,M,   -17.7, ,     1.5, , -9999.9,M,     4.2, 
 1957,   -17.5, ,   -13.4, ,    -6.0, ,     4.0, ,    11.7, ,    14.1, ,    17.0, ,    14.5, ,    12.0, ,     1.8, ,    -2.4, ,    -8.8, ,     2.3, ,   -14.1, ,     3.2, ,    15.2, ,     3.8, 
 1958,    -8.6, ,   -14.6, ,    -6.5, ,     4.6, , -9999.9,M,    13.9, ,    17.0, ,    17.8, ,    10.3, ,     5.8, ,    -6.3, ,   -11.4, , -9999.9,M,   -10.7, , -9999.9,M,    16.2, ,     3.3, 
 1959,   -21.1, ,   -13.5, ,    -0.7, ,     4.8, ,     7.8, ,    13.8, ,    18.1, ,    14.3, ,     9.0, ,     1.9, ,    -5.8, ,    -4.9, ,     2.0, ,   -15.3, ,     4.0, ,    15.4, ,     1.7, 
 1960,   -15.7, ,   -13.0, ,    -9.3, ,     4.3, ,     8.8, , -9999.9,M,    19.3, ,    15.4, ,    10.9, ,     5.5, ,    -6.6, , -9999.9,M, -9999.9,M,   -11.2, ,     1.3, , -9999.9,M,     3.3, 
 1961, -9999.9,M,    -9.7, , -9999.9,M, -9999.9,M,    11.3, , -9999.9,M, -9999.9,M,    19.0, ,     7.7, ,     3.7, ,    -6.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.6, 
 1962,   -13.1, ,   -17.0, ,   -10.2, ,     4.6, ,     9.5, ,    15.6, ,    15.2, ,    15.4, ,    11.6, ,     6.5, ,    -1.1, ,    -9.7, ,     2.3, , -9999.9,M,     1.3, ,    15.4, ,     5.7, 
