3036240,SUFFIELD_A          ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
3036240,SUFFIELD_A          ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1950, -9999.9,M, -9999.9,M, -9999.9,M,     3.9, ,     9.8, ,    15.4, ,    18.8, ,    16.4, ,    13.3, ,     5.2, ,    -6.5, ,    -8.8, , -9999.9,M, -9999.9,M, -9999.9,M,    16.9, ,     4.0, 
 1951,   -16.7, ,   -13.4, ,   -12.7, ,     2.9, ,    12.1, ,    11.7, ,    18.8, ,    15.6, ,    10.1, ,     1.4, ,    -2.4, ,   -13.3, ,     1.2, ,   -13.0, ,     0.8, ,    15.4, ,     3.0, 
 1952,   -17.2, ,    -8.9, ,    -8.3, ,     9.3, ,    12.4, ,    15.0, ,    17.1, ,    17.2, ,    13.6, ,     7.6, ,    -1.2, ,    -6.1, ,     4.2, ,   -13.1, ,     4.5, ,    16.4, ,     6.7, 
 1953,   -11.1, ,    -4.9, ,    -3.4, ,     1.3, ,     9.9, ,    14.4, ,    18.4, ,    18.8, ,    13.2, ,     9.6, ,     2.5, ,    -4.2, ,     5.4, ,    -7.4, ,     2.6, ,    17.2, ,     8.4, 
 1954,   -20.7, ,    -1.6, ,    -6.9, ,    -1.2, ,    10.2, ,    13.1, ,    19.0, ,    17.1, ,    11.5, ,     6.3, ,     3.9, ,    -3.2, ,     4.0, ,    -8.8, ,     0.7, ,    16.4, ,     7.2, 
 1955,    -9.8, ,   -11.6, ,    -9.1, ,     4.8, ,     9.5, ,    15.6, ,    19.2, ,    19.1, ,    11.3, ,     7.7, ,   -12.5, ,   -14.4, ,     2.5, ,    -8.2, ,     1.7, ,    18.0, ,     2.2, 
 1956,   -15.6, ,   -14.0, ,    -5.6, ,     3.5, ,    11.8, ,    16.5, ,    19.5, ,    17.9, ,    12.6, ,     6.9, ,     0.9, ,    -8.0, ,     3.9, ,   -14.7, ,     3.2, ,    18.0, ,     6.8, 
 1957,   -17.5, ,   -10.6, ,    -1.5, ,     4.9, ,    13.3, ,    15.5, ,    20.6, ,    16.8, ,    13.7, ,     2.6, ,    -0.8, ,    -2.1, ,     4.6, ,   -12.0, ,     5.6, ,    17.6, ,     5.2, 
 1958,    -3.1, ,   -11.9, ,    -6.5, ,     5.9, ,    15.0, ,    15.7, ,    18.3, ,    20.5, ,    13.1, ,     8.4, ,    -2.9, ,    -7.0, ,     5.5, ,    -5.7, ,     4.8, ,    18.2, ,     6.2, 
 1959,   -15.1, ,   -13.7, ,     0.7, ,     5.3, ,     9.1, ,    16.6, ,    20.3, ,    16.9, ,    11.5, ,     4.6, ,    -4.7, ,    -1.6, ,     4.2, ,   -11.9, ,     5.0, ,    17.9, ,     3.8, 
 1960,   -12.7, ,    -9.5, ,    -5.2, ,     5.8, ,    10.9, ,    15.7, ,    22.5, ,    18.1, ,    13.8, ,     8.3, ,    -3.7, ,    -7.7, ,     4.7, ,    -7.9, ,     3.8, ,    18.8, ,     6.1, 
 1961,    -5.2, ,    -4.4, ,     1.8, ,     3.9, ,    12.6, ,    20.8, ,    20.5, ,    22.3, ,    11.0, ,     6.6, ,    -2.9, ,   -13.1, ,     6.2, ,    -5.8, ,     6.1, ,    21.2, ,     4.9, 
 1962,   -10.2, ,   -10.8, ,    -7.6, ,     8.8, ,    11.4, ,    17.6, ,    18.1, ,    18.8, ,    13.5, ,     9.5, ,     3.2, ,    -4.1, ,     5.7, ,   -11.4, ,     4.2, ,    18.2, ,     8.7, 
 1963,   -15.0, ,    -3.7, ,     3.3, ,     7.2, ,    11.6, ,    16.9, ,    20.1, ,    19.5, ,    17.5, ,    11.2, ,    -1.6, ,    -9.7, ,     6.4, ,    -7.6, ,     7.4, ,    18.8, ,     9.0, 
 1964,    -6.9, ,    -0.4, ,    -4.7, ,     6.2, ,    12.4, ,    16.3, ,    21.0, ,    18.4, ,    10.8, ,     9.5, ,    -2.1, ,   -18.7, ,     5.2, ,    -5.7, ,     4.6, ,    18.6, ,     6.1, 
 1965,   -14.6, ,    -9.0, ,    -7.6, ,     6.1, ,    11.1, ,    15.9, ,    20.0, ,    19.9, ,     7.4, ,    10.5, ,    -6.4, ,    -7.9, ,     3.8, ,   -14.1, ,     3.2, ,    18.6, ,     3.8, 
 1966,   -20.0, ,   -10.5, ,    -0.4, ,     3.9, ,    13.3, ,    15.3, ,    19.4, ,    17.5, ,    16.0, ,     6.3, ,    -5.8, ,    -7.2, ,     4.0, ,   -12.8, ,     5.6, ,    17.4, ,     5.5, 
 1967,   -12.3, ,    -7.5, ,    -5.8, ,     0.5, ,    10.0, ,    15.2, ,    20.3, ,    20.6, ,    18.4, ,     8.4, ,    -0.7, ,    -8.3, ,     4.9, ,    -9.0, ,     1.6, ,    18.7, ,     8.7, 
 1968,   -10.8, ,    -4.7, ,     4.3, ,     5.3, ,    10.8, ,    15.9, ,    19.1, ,    16.7, ,    13.4, ,     7.8, ,     0.3, ,   -12.6, ,     5.5, ,    -7.9, ,     6.8, ,    17.2, ,     7.2, 
 1969,   -25.6, ,   -13.4, ,    -7.3, ,     9.7, ,    13.1, ,    15.9, ,    18.8, ,    20.4, ,    14.5, ,     2.7, ,     1.4, ,    -4.9, ,     3.8, ,   -17.2, ,     5.2, ,    18.4, ,     6.2, 
 1970,   -16.0, ,    -7.2, ,    -5.5, ,     4.2, ,    12.1, ,    19.4, ,    20.9, ,    20.2, ,    12.1, ,     5.3, ,    -6.6, ,   -12.5, ,     3.9, ,    -9.4, ,     3.6, ,    20.2, ,     3.6, 
 1971,   -16.1, ,    -7.6, ,    -5.8, ,     5.9, ,    12.4, ,    15.4, ,    17.9, ,    22.1, ,    10.9, ,     5.4, ,    -1.8, ,   -15.7, ,     3.6, ,   -12.1, ,     4.2, ,    18.5, ,     4.8, 
 1972,   -16.8, ,   -14.2, ,    -2.6, ,     5.2, ,    12.4, ,    17.0, ,    16.6, ,    20.3, ,     8.9, ,     3.5, ,    -0.7, ,   -13.6, ,     3.0, ,   -15.6, ,     5.0, ,    18.0, ,     3.9, 
 1973,    -6.7, ,    -8.3, ,     2.8, ,     3.7, ,    12.3, ,    15.8, ,    18.9, ,    18.8, ,    12.4, ,     7.6, ,   -10.2, ,    -8.3, ,     4.9, ,    -9.5, ,     6.3, ,    17.8, ,     3.3, 
 1974,   -14.0, ,    -6.6, ,    -6.1, ,     7.0, ,     9.0, ,    17.9, ,    20.1, ,    16.3, ,    11.5, ,     9.0, ,    -0.2, ,    -3.3, ,     5.1, ,    -9.6, ,     3.3, ,    18.1, ,     6.8, 
 1975,   -10.0, ,   -15.0, ,    -7.5, ,    -1.3, ,    10.6, ,    14.5, ,    21.1, ,    15.5, ,    12.6, ,     6.1, ,    -2.2, ,    -8.8, ,     3.0, ,    -9.4, ,     0.6, ,    17.0, ,     5.5, 
 1976,    -9.0, ,    -3.0, ,    -3.4, ,     7.9, ,    13.2, ,    14.4, ,    19.3, ,    18.7, ,    15.3, ,     5.5, ,    -1.6, ,    -6.2, ,     5.9, ,    -6.9, ,     5.9, ,    17.5, ,     6.4, 
 1977,   -12.4, ,     0.4, ,     0.7, ,     9.0, ,    12.0, ,    17.6, ,    18.8, ,    15.6, ,    11.9, ,     7.3, ,    -4.4, ,   -14.0, ,     5.2, ,    -6.1, ,     7.2, ,    17.3, ,     4.9, 
 1978,   -17.7, ,   -13.0,E,    -4.5, ,     5.6, ,    11.4, ,    16.8, ,    19.2, ,    16.6, ,    12.7,E,     8.1, ,    -6.3, ,   -12.2, ,     3.1,E,   -14.9,E,     4.2, ,    17.5, ,     4.8,E
 1979,   -18.7, ,   -17.4, ,    -0.3, ,     2.9, ,     9.8, ,    16.4, ,    19.8, ,    19.0, ,    15.4, ,     8.7, ,    -2.1, ,    -3.1, ,     4.2, ,   -16.1, ,     4.1, ,    18.4, ,     7.3, 
 1980,   -14.1,E,    -7.8, ,    -4.3, ,    10.4, ,    14.5, ,    16.3, ,    18.9, ,    15.7, ,    12.6, ,     7.6, ,     1.5, ,   -10.9, ,     5.0,E,    -8.3,E,     6.9, ,    17.0, ,     7.2, 
 1981,    -2.0, ,    -4.7, ,     2.7, ,     7.1, ,    12.5, ,    14.2, ,    18.6, ,    20.9, ,    15.2, ,     6.1, ,     2.7, ,    -8.6, ,     7.1, ,    -5.9, ,     7.4, ,    17.9, ,     8.0, 
 1982,   -20.9, ,   -11.6, ,    -4.2, ,     2.9, ,    10.6, ,    17.1, ,    18.8, ,    17.5, ,    12.7, ,     6.7, ,    -5.6, ,    -6.4, ,     3.1, ,   -13.7, ,     3.1, ,    17.8, ,     4.6, 
 1983,    -6.0, ,    -2.9, ,    -0.3, ,     6.1, ,    12.1, ,    16.5, ,    19.0, ,    21.8, ,    11.7, ,     8.6, ,    -1.1, ,   -21.3, ,     5.4, ,    -5.1, ,     6.0, ,    19.1, ,     6.4, 
 1984,    -7.4, ,     1.4, ,    -1.2, ,     7.8, ,    11.7, ,    16.4, ,    20.4, ,    20.4, ,     9.6, ,     2.9, ,    -6.6, ,   -14.8, ,     5.1, ,    -9.1, ,     6.1, ,    19.1, ,     2.0, 
 1985,   -11.9, ,   -11.6, ,    -0.9, ,     7.3, ,    13.7, ,    15.1, ,    20.9, ,    16.9, ,     8.3, ,     5.7, ,   -13.2, ,    -7.4, ,     3.6, ,   -12.8, ,     6.7, ,    17.6, ,     0.3, 
 1986,    -1.3, ,    -9.6, ,     4.5, ,     5.3, ,    12.3, ,    17.7, ,    17.2, ,    19.6, ,     9.3, ,     8.3, ,    -4.9, ,    -3.4, ,     6.3, ,    -6.1, ,     7.4, ,    18.2, ,     4.2, 
 1987,    -3.0, ,     0.0, ,     0.0, ,     9.7, ,    14.1, ,    18.6, ,    19.1, ,    15.5, ,    14.9, ,     7.7, ,     2.5, ,    -3.7, ,     8.0, ,    -2.1, ,     7.9, ,    17.7, ,     8.4, 
 1988,    -9.9, ,    -5.9, ,     2.3,E,     7.9, ,    15.2, ,    20.2, ,    20.0, ,    18.0,E,    13.4, ,     8.8, ,    -1.2, ,    -6.6, ,     6.9,E,    -6.5, ,     8.5,E,    19.4,E,     7.0, 
