3050778,BOW_VALLEY          ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
3050778,BOW_VALLEY          ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1967, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.7, ,    15.7, ,    17.0, ,    14.6, ,     5.9, ,    -0.8, ,    -6.1, , -9999.9,M, -9999.9,M, -9999.9,M,    14.8, ,     6.6, 
 1968,    -9.9, , -9999.9,M,     2.1, ,     2.7, ,     7.4, ,    11.2, ,    14.4, ,    12.5, ,     9.8, ,     4.9, ,    -0.4, ,   -13.1, , -9999.9,M, -9999.9,M,     4.1, ,    12.7, ,     4.8, 
 1969,   -22.8, ,    -6.6, ,    -1.4, , -9999.9,M,     8.8, ,    12.1, ,    13.7, ,    15.1, ,    10.5, ,     3.0, ,     0.6, ,    -3.2, , -9999.9,M,   -14.2, , -9999.9,M,    13.6, ,     4.7, 
 1970,   -12.6, ,    -1.6, , -9999.9,M, -9999.9,M,     9.1, ,    15.2, ,    16.9, ,    16.4, ,     9.2, ,     4.9, ,    -4.3, ,   -10.5, , -9999.9,M,    -5.8, , -9999.9,M,    16.2, ,     3.3, 
 1971,   -13.1, ,    -3.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -0.5, ,   -13.8, , -9999.9,M,    -8.9, , -9999.9,M, -9999.9,M, -9999.9,M
 1972,   -15.5, ,   -11.0, ,    -1.1, ,     1.6, ,     9.5, ,    12.9, ,    13.2, ,    16.3, ,     5.7, ,     3.0, ,    -1.1, ,   -11.9,E,     1.8,E,   -13.4, ,     3.3, ,    14.1, ,     2.5, 
 1973,    -6.7, ,    -5.1, ,     1.1, ,     2.6, ,     9.6, ,    12.3, ,    15.2, ,    14.5, ,    10.3, ,     4.6, ,    -9.4, ,    -4.2, ,     3.7, ,    -7.9,E,     4.4, ,    14.0, ,     1.8, 
 1974,   -11.6, ,    -2.8, ,    -4.0, ,     5.4, ,     5.8, ,    14.3, ,    14.6, ,    12.9, ,     9.5, ,     8.1, ,    -0.6, ,    -1.9, ,     4.1, ,    -6.2, ,     2.4, ,    13.9, ,     5.7, 
 1975,    -8.0, ,   -12.1, ,    -4.8, ,     0.1, ,     7.3, ,    11.3, ,    16.6, ,    12.3, ,    12.0, ,     4.8, ,    -3.5, , -9999.9,M, -9999.9,M,    -7.3, ,     0.9, ,    13.4, ,     4.4, 
 1976,    -4.8, ,    -2.7,E,    -2.7, ,     5.4, ,    10.9, ,    10.9, ,    16.2, ,    15.9, ,    13.4, ,     5.4, ,     0.4, , -9999.9,M, -9999.9,M, -9999.9,M,     4.5, ,    14.3, ,     6.4, 
 1977, -9999.9,M, -9999.9,M, -9999.9,M,     7.2, ,     8.6, ,    14.5, ,    14.8, ,    12.2, ,     8.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.8, , -9999.9,M
 1978, -9999.9,M, -9999.9,M, -9999.9,M,     3.5, ,     8.1, ,    13.7, ,    15.6, ,    14.2, ,    11.4, ,     7.8, ,    -5.0, ,    -8.8, , -9999.9,M, -9999.9,M, -9999.9,M,    14.5, ,     4.7, 
