3053600,KANANASKIS          ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
3053600,KANANASKIS          ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1939, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.9, ,     9.6, ,     3.4, ,     4.9, ,    -0.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.0, 
 1940,    -9.2, ,    -8.9, ,    -2.5, ,     2.3, ,     9.6, ,    11.8, ,    14.7, ,    14.9, ,    12.0, ,     6.6, ,    -6.2, ,    -1.7, ,     3.6, ,    -6.2, ,     3.1, ,    13.8, ,     4.1, 
 1941,    -5.5, ,    -5.1, ,    -0.9, ,     5.6, ,     7.6, ,    12.5, ,    16.6, ,    13.9, ,     6.1, ,     6.6, ,     0.1, ,    -4.8, ,     4.4, ,    -4.1, ,     4.1, ,    14.3, ,     4.3, 
 1942,    -3.7, ,    -7.8, ,    -2.4, ,     3.3, ,     6.6, ,     9.8, ,    14.1, ,    13.7, ,    10.0, ,     5.6, ,    -6.4, ,    -5.5, ,     3.1, ,    -5.4, ,     2.5, ,    12.5, ,     3.1, 
 1943,   -15.6, ,    -3.4, ,    -7.6, ,     5.0, ,     5.3, ,     8.5, ,    14.2, ,    12.8, ,    10.5, ,     6.6, ,     2.1, ,    -1.5, ,     3.1, ,    -8.2, ,     0.9, ,    11.8, ,     6.4, 
 1944,    -3.2, ,    -7.5, ,    -5.5, ,     4.6, ,     9.3, ,    10.8, ,    13.1, ,    12.3, ,    10.2, ,     9.5, ,    -1.9, ,    -5.1, ,     3.9, ,    -4.1, ,     2.8, ,    12.1, ,     5.9, 
 1945,    -4.8, ,    -7.0, ,    -2.7, ,    -2.4, ,     6.3, ,     9.4, ,    14.3, ,    14.1, ,     7.6, ,     5.5, ,    -7.9, ,    -6.1, ,     2.2, ,    -5.6, ,     0.4, ,    12.6, ,     1.7, 
 1946,    -4.2, ,    -4.7, ,     0.1, ,     4.0, ,     6.8, ,    10.0, ,    14.3, ,    13.2, ,     9.6, , -9999.9,M,    -6.3, ,    -6.6, , -9999.9,M,    -5.0, ,     3.6, ,    12.5, , -9999.9,M
 1947,    -7.0, ,    -9.1, ,    -4.7, ,     3.7, ,     7.7, ,     9.9, ,    15.0, ,    11.8, ,     9.0, ,     5.2, ,    -4.3, ,    -3.8, ,     2.8, ,    -7.6, ,     2.2, ,    12.2, ,     3.3, 
 1948,    -3.7, ,   -12.0, ,    -7.0, ,    -1.7, ,     7.8, ,    11.9, ,    13.1, ,    13.1, ,    10.5, ,     5.8, ,    -1.9, ,   -10.0, ,     2.2, ,    -6.5, ,    -0.3, ,    12.7, ,     4.8, 
 1949,   -11.3, ,   -12.8, ,    -2.5, ,     4.0, , -9999.9,M,    10.2, ,    13.8, ,    14.7, ,     9.6, ,     2.9, , -9999.9,M,   -13.4, , -9999.9,M,   -11.4, , -9999.9,M,    12.9, , -9999.9,M
 1950,   -28.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.1, ,    12.8, ,    10.1, ,     1.9, ,    -6.2, ,    -3.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.9, 
 1951,   -11.9, ,    -9.4, ,    -8.8, ,     1.5, ,     8.1, ,     7.8, ,    14.9, ,    12.0, , -9999.9,M,     0.8, ,    -1.8, ,   -10.9, , -9999.9,M,    -8.1, ,     0.3, ,    11.6, , -9999.9,M
 1952,   -13.4, ,    -4.4, ,    -4.9, ,     5.7, ,     7.5, ,    10.5, ,    13.4, ,    12.6, ,    11.2, ,     8.4, ,    -1.2, ,    -3.6, ,     3.5, ,    -9.6, ,     2.8, ,    12.2, ,     6.1, 
 1953,    -7.0, ,    -3.6, ,    -1.8, ,    -1.3, , -9999.9,M,     9.8, ,    13.5, ,    14.2, ,     9.7, ,     8.0, ,     1.9, ,    -2.5, , -9999.9,M,    -4.7, , -9999.9,M,    12.5, ,     6.5, 
 1954,   -15.8, ,    -0.7, ,    -7.5, ,    -4.4, ,     5.6, ,     9.5, ,    13.3, ,    11.6, ,     8.0, ,     3.5, ,     3.0, ,    -2.0, ,     2.0, ,    -6.3, ,    -2.1, ,    11.5, ,     4.8, 
 1955,    -6.3, ,    -9.2, ,   -10.2, ,     1.0, ,     5.5, ,    11.9, ,    14.1, ,    13.3, ,     8.7, ,     5.0, ,   -10.7, ,   -11.0, ,     1.0, ,    -5.8, ,    -1.2, ,    13.1, ,     1.0, 
 1956,    -9.9, ,   -10.0, ,    -4.0, ,     1.0, ,     7.9, ,    11.7, ,    14.7, ,    13.6, ,     9.2, ,     2.4, ,     0.5, ,    -5.2, ,     2.7, ,   -10.3, ,     1.6, ,    13.3, ,     4.0, 
 1957,   -15.9, ,    -8.6, ,    -2.6, ,     1.3, ,     8.9, ,    10.9, ,    14.1, ,    10.8, ,    10.7, ,     1.0, ,     0.0, ,    -2.1, ,     2.4, ,    -9.9, ,     2.5, ,    11.9, ,     3.9, 
 1958,    -1.4, ,    -6.7, ,    -5.7, ,     1.7, ,    10.5, ,    11.5, ,    13.9, ,    15.2, ,     9.3, ,     6.5, ,    -3.7, ,    -3.9, ,     3.9, ,    -3.4, ,     2.2, ,    13.5, ,     4.0, 
 1959,   -10.4, ,    -8.6, ,    -0.4, ,     2.2, ,     5.3, ,    10.6, ,    14.8, ,    11.2, ,     7.8, ,     2.6, ,    -4.7, ,    -1.7, ,     2.4, ,    -7.6, ,     2.4, ,    12.2, ,     1.9, 
