3062239,EDSON               ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
3062239,EDSON               ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1970, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.5,E,    14.0, ,    14.8, ,    14.2, ,     6.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.3, , -9999.9,M
 1971, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.3, ,    11.7, ,    14.0, ,    15.8, ,     7.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.8, , -9999.9,M
 1972, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.5, ,    12.2, ,    12.5, ,    14.9, ,     4.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.2, , -9999.9,M
 1973, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.1, ,    11.5, ,    13.9, ,    12.6, ,     8.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.7, , -9999.9,M
 1974, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.5, ,    12.5, ,    12.9, ,    12.0, ,     9.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.5, , -9999.9,M
 1975, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.7, ,    11.3, ,    16.2, ,    10.8, ,    10.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.8, , -9999.9,M
 1976, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.6, ,    10.5, ,    14.1, ,    14.3, ,    11.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.0, , -9999.9,M
 1977, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.8, ,    12.9, ,    13.1, ,    12.0, ,     7.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.7, , -9999.9,M
 1978, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.0, ,    13.7, ,    15.0, ,    12.7, ,     8.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.8, , -9999.9,M
 1979, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.6, ,    12.3, ,    15.5, ,    14.4, ,    10.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.1, , -9999.9,M
 1980, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.5, ,    13.0, ,    14.2, ,    11.8, ,     8.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.0, , -9999.9,M
 1981, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.0, ,    11.2, ,     8.7, ,    16.7, ,    10.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.2, , -9999.9,M
 1982, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.0, ,    13.6, ,    14.9, ,    11.9,E,     9.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.5,E, -9999.9,M
 1983, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.7, ,    11.8, ,    14.5, ,    14.8, ,     7.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.7, , -9999.9,M
 1984, -9999.9,M, -9999.9,M, -9999.9,M,     4.9, ,     7.2, ,    11.9, ,    14.8, ,    14.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.7, , -9999.9,M
 1985, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.2, ,    10.9, ,    15.0, ,    12.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.7, , -9999.9,M
 1986, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.3, ,    12.2, ,    13.2, ,    13.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.1, , -9999.9,M
 1987, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.5, , -9999.9,M, -9999.9,M, -9999.9,M,    11.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1988, -9999.9,M, -9999.9,M, -9999.9,M,     5.8, ,    10.8, , -9999.9,M, -9999.9,M, -9999.9,M,     9.1,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1989, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.8, , -9999.9,M, -9999.9,M,    13.7, ,     9.8,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1990, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1991, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.6,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1992, -9999.9,M, -9999.9,M, -9999.9,M,     4.7, ,     8.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1993, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1994, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1995, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.4,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1996, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.8, ,    11.8,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1997, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1998, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.4,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1999, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.8,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2000, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.7, ,    11.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2001, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.3,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2002, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.5,E,    13.9,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2003, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2004, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2005, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.5,E,    12.0, ,    13.8, ,    12.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.7, , -9999.9,M
 2006, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.3, ,    14.2, ,    16.6, ,    13.6, , -9999.9,M, -9999.9,M,   -11.7, ,    -7.3, , -9999.9,M, -9999.9,M, -9999.9,M,    14.8, , -9999.9,M
 2007,    -7.7,E,   -10.5, ,    -2.8,E,     2.1, ,     8.7, ,    13.7,E,    18.3, ,    12.7, ,     8.8, ,     4.1,E,    -4.8,E,   -11.8,E,     2.6,E,    -8.5,E,     2.7,E,    14.9,E,     2.7,E
 2008,   -13.1, ,    -6.9, ,    -2.2, ,     0.9, ,    10.1, ,    12.5, ,    15.4,E,    15.0, ,     9.6, ,     4.1, ,    -1.2, ,   -15.2, ,     2.4,E,   -10.6,E,     2.9, ,    14.3,E,     4.2, 
 2009,   -10.2, ,    -9.4, ,    -7.4, ,     2.1, ,     7.6, ,    12.0, ,    15.2,E,    14.2, ,    12.0, ,     0.3, ,    -2.3, ,   -16.3, ,     1.5,E,   -11.6, ,     0.8, ,    13.8,E,     3.3, 
 2010,   -10.7, ,    -5.9, ,     1.1, ,     4.7, ,     7.1, ,    12.6,E,    15.2, ,    13.5, ,     7.7,E,     5.6,E,    -6.2, ,   -13.6, ,     2.6,E,   -11.0, ,     4.3, ,    13.8,E,     2.4,E
 2011,   -11.0, ,   -10.3, ,    -8.0, ,     1.6,E,     9.3, ,    11.8, , -9999.9,M,    13.9, ,    10.7, ,     3.6,E,    -6.2, ,    -5.1,E, -9999.9,M,   -11.6, ,     1.0,E, -9999.9,M,     2.7,E
 2012,    -9.3, ,    -7.4, ,    -2.7, ,     3.3, ,     8.0, ,    12.7, ,    16.7, ,    15.3, ,    11.5, ,    -0.3, ,    -8.1, ,   -14.3, ,     2.1, ,    -7.3,E,     2.9, ,    14.9, ,     1.0, 
 2013,    -7.6, ,    -3.4, ,    -5.7, ,     0.5, ,    11.0,E,    12.7, ,    14.8, ,    15.6, ,    11.7, ,     4.7, ,    -7.1, ,   -12.7,E,     2.9,E,    -8.4, ,     1.9,E,    14.4, ,     3.1, 
 2014,    -5.3,E,   -15.5, ,    -8.1,E,     2.5, ,     7.6, ,    12.3,E,    16.9, ,    14.7, ,     9.6, ,     5.0, ,    -7.9, ,    -9.6, ,     1.9,E,   -11.2,E,     0.7,E,    14.6,E,     2.2, 
 2015,    -6.8,E,    -7.7, ,     0.7,E,     4.1, ,     9.1, ,    14.3, ,    16.3, ,    14.4, ,     8.3, ,     4.7, ,    -4.7, ,   -10.3, ,     3.5,E,    -8.0,E,     4.6,E,    15.0, ,     2.8, 
 2016,    -8.5, ,    -2.4, ,     0.5, ,     7.2, ,     8.8, ,    14.0, ,    15.5, ,    15.0,E,     9.2, ,     0.1,E,    -2.0, ,   -12.8, ,     3.7,E,    -7.1, ,     5.5, ,    14.8,E,     2.4,E
