3063165,HIGH_PRAIRIE        ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
3063165,HIGH_PRAIRIE        ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1926, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.8, ,    -7.3, ,   -11.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1927,   -14.6, ,   -13.4, ,    -3.3, ,     1.6, ,     8.2, , -9999.9,M,    16.0, ,    15.2, ,     7.6, ,     3.3, ,   -13.1, , -9999.9,M, -9999.9,M,   -13.3, ,     2.2, , -9999.9,M,    -0.7, 
 1928,    -5.9, ,    -1.5, ,    -7.8, ,     3.9, ,     8.8, ,    13.8, ,    15.6, ,    14.0, ,     9.2, ,     4.6, ,    -7.1, ,   -10.0, ,     3.1, , -9999.9,M,     1.6, ,    14.5, ,     2.2, 
 1929, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1930, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1931,    -5.9, ,    -1.5, ,    -7.8, ,     3.9, ,     8.8, ,    13.8, ,    15.6, ,    14.0, ,     9.2, ,     4.6, ,    -7.1, ,   -10.0, ,     3.1, , -9999.9,M,     1.6, ,    14.5, ,     2.2, 
 1932,   -16.3, ,   -15.2, ,   -11.8, ,     4.1, ,    10.9, ,    14.9, ,    14.8, ,    15.4, ,    10.6, ,     2.2, ,    -8.3, ,   -14.2, ,     0.6, ,   -13.8, ,     1.1, ,    15.0, ,     1.5, 
 1933,   -18.5, ,   -16.9, ,    -8.9, ,     2.8, ,    10.1, ,    12.7, ,    14.2, ,    16.2, ,     7.8, ,     1.2, ,    -1.9, ,   -27.8, ,    -0.8, ,   -16.5, ,     1.3, ,    14.4, ,     2.4, 
 1934,   -10.8, ,    -5.0, ,    -4.0, ,     7.1, ,    11.7, ,    12.9, ,    14.7, ,    13.9, ,     6.1, ,     4.3, ,    -4.7, ,   -15.8, ,     2.5, ,   -14.5, ,     4.9, ,    13.8, ,     1.9, 
 1935,   -24.6, ,    -3.6, ,   -11.6, ,    -2.1, ,     9.7, ,    13.0, ,    16.5, ,    13.0, ,    10.3, ,     3.0, ,    -8.4, ,    -9.6, ,     0.5, ,   -14.7, ,    -1.3, ,    14.2, ,     1.6, 
