3063686,LAC_LA_BICHE        ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
3063686,LAC_LA_BICHE        ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1944, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.4, ,    13.5, ,    16.4, ,    15.1, ,    11.2, ,     7.4, ,    -5.9, ,   -11.0, , -9999.9,M, -9999.9,M, -9999.9,M,    15.0, ,     4.2, 
 1945,   -14.9, ,   -13.9, ,    -4.0, ,    -2.0, ,     7.7, ,    13.0, ,    17.2, ,    15.9, ,     8.7, ,     5.0, ,   -11.9, ,   -17.1, ,     0.3, ,   -13.3, ,     0.6, ,    15.4, ,     0.6, 
 1946,   -14.3, ,   -16.0, ,    -3.0, ,     5.3, ,     8.4, ,    12.7, ,    17.3, ,    15.7, ,    10.4, ,     2.8, ,    -8.1, ,   -16.8, ,     1.2, ,   -15.8, ,     3.6, ,    15.2, ,     1.7, 
 1947,   -14.8, ,   -19.3, ,    -8.2, ,     1.8, ,     8.4, ,    13.5, ,    18.3, ,    13.6, ,     9.0, ,     6.4, ,    -6.1, ,   -10.4, ,     1.0, ,   -17.0, ,     0.7, ,    15.1, ,     3.1, 
 1948,   -10.3, ,   -18.6, ,   -11.6, ,    -3.6, ,    11.8, ,    16.7, ,    17.8, ,    15.1, ,    11.7, ,     6.0, ,    -3.8, ,   -16.3, ,     1.2, ,   -13.1, ,    -1.1, ,    16.5, ,     4.6, 
 1949,   -17.1, ,   -19.8, ,    -5.9, ,     6.4, ,     9.6, ,    13.4, ,    17.1, ,    17.3, ,    11.4, ,     2.5, ,     2.3, ,   -17.9, ,     1.6, ,   -17.7, ,     3.4, ,    15.9, ,     5.4, 
 1950,   -29.9, ,   -14.9, ,    -9.2, ,     1.1, ,     9.5, ,    15.7, ,    17.9, ,    14.0, ,    11.6, ,     2.3, ,   -11.6, ,   -13.9, ,    -0.6, ,   -20.9, ,     0.5, ,    15.9, ,     0.8, 
 1951,   -19.2, ,   -15.2, ,   -12.4, ,     0.7, ,    10.9, ,    12.4, ,    16.8, ,    14.3, ,     9.1, ,     0.8, ,    -8.1, ,   -19.8, ,    -0.8, ,   -16.1, ,    -0.3, ,    14.5, ,     0.6, 
 1952,   -21.2, ,    -9.3, ,    -8.8, ,     6.4, ,    12.1, ,    14.3, ,    16.1, ,    15.1, ,    11.4, ,     5.9, ,    -1.3, ,    -9.7, ,     2.6, ,   -16.8, ,     3.2, ,    15.2, ,     5.3, 
 1953,   -19.8, ,    -7.7, ,    -6.2, ,     0.6, ,    11.1, ,    13.6, ,    16.5, ,    16.6, ,    10.5, ,     7.7, ,    -2.2, ,    -8.1, ,     2.7, ,   -12.4, ,     1.8, ,    15.6, ,     5.3, 
