3073140,HIGH_LEVEL          ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
3073140,HIGH_LEVEL          ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1967, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.2, ,    15.9, ,    10.8, ,     1.9, ,    -7.9, ,   -18.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.6, 
 1968,   -26.4, ,   -15.7, ,    -5.3, ,     1.5, ,     8.7, ,    12.9, ,    13.7, ,    12.2, ,     7.0, ,     1.6, ,   -10.6, ,   -24.8, ,    -2.1, ,   -20.3, ,     1.6, ,    12.9, ,    -0.7, 
 1969,   -32.8, ,   -18.5, ,    -9.6, ,     3.9, ,     8.7, ,    12.6, ,    14.8, ,    12.7, ,     7.5, ,    -0.3, ,   -11.8, ,   -11.8, ,    -2.1, ,   -25.4, ,     1.0, ,    13.4, ,    -1.5, 
 1970,   -23.9, ,   -14.9, ,    -9.4, ,     1.7, ,     9.0, ,    14.8, ,    15.5, ,    14.0, ,     7.4, ,    -0.5, ,   -13.0, ,   -22.6, ,    -1.8, ,   -16.9, ,     0.4, ,    14.8, ,    -2.0, 
 1971,   -28.8, ,   -17.4, ,   -11.7, ,     3.1, ,    10.9, ,    15.5, ,    16.6, ,    15.7, ,     8.0, ,     1.2, ,   -12.6, ,   -24.5, ,    -2.0, ,   -22.9, ,     0.8, ,    15.9, ,    -1.1, 
 1972,   -28.3, ,   -24.8, ,   -11.1, ,    -2.8, ,    11.0, ,    14.4, ,    14.7, ,    14.9, ,     4.6, ,    -0.8, ,   -10.4, ,   -22.9, ,    -3.5, ,   -25.9, ,    -1.0, ,    14.7, ,    -2.2, 
 1973,   -20.5, ,   -18.0, ,    -8.1, ,     3.1, ,    12.6, ,    13.9, ,    16.3, ,    13.2, ,     9.3, ,     1.7, ,   -17.5, ,   -20.5, ,    -1.2, ,   -20.5, ,     2.5, ,    14.5, ,    -2.2, 
 1974,   -26.5, ,   -19.9, ,   -16.1, ,     2.2, ,     8.2, ,    15.2, ,    14.4, ,    13.0, ,     6.6, ,     1.0, ,    -8.0, ,   -14.5, ,    -2.0, ,   -22.3, ,    -1.9, ,    14.2, ,    -0.1, 
 1975,   -23.1, ,   -19.3, ,   -12.5, ,     1.5, ,     9.5, ,    14.2, ,    18.4, ,    13.0, ,    10.2, ,     1.2, ,   -14.4, ,   -22.5, ,    -2.0, ,   -19.0, ,    -0.5, ,    15.2, ,    -1.0, 
 1976,   -20.7, ,   -19.8, ,   -11.7, ,     6.0, ,    11.0, ,    13.2, ,    15.8, ,    16.0, ,    11.2, ,     1.1, ,    -5.6, ,   -18.2, ,    -0.1, ,   -21.0, ,     1.8, ,    15.0, ,     2.2, 
 1977,   -17.5, ,    -7.4, ,    -7.5, ,     4.7, ,    11.2, ,    14.1, ,    14.8, ,    12.3, ,     9.9, ,     2.9, ,   -12.9, ,   -24.7, ,     0.0, ,   -14.4, ,     2.8, ,    13.7, ,     0.0, 
 1978,   -22.2, ,   -13.7, ,    -9.2, ,     1.1, ,     8.9, ,    14.2, ,    14.8, ,    13.1, ,     9.2, ,     3.1, ,   -12.0, ,   -20.8, ,    -1.1, ,   -20.2, ,     0.3, ,    14.0, ,     0.1, 
 1979,   -22.3, ,   -28.4, ,   -12.9, ,    -3.6, ,     7.4, ,    13.8, ,    18.0, ,    14.0, ,     9.5, , -9999.9,M, -9999.9,M,   -15.4, , -9999.9,M,   -23.8, ,    -3.0, ,    15.3, , -9999.9,M
 1980,   -22.1, ,   -13.9, ,    -9.4, ,     6.6, ,    10.1, ,    15.4, ,    16.0, ,    13.2, ,     6.4, ,     4.5, ,    -7.3, ,   -28.3, ,    -0.7, ,   -17.1, ,     2.4, ,    14.9, ,     1.2, 
 1981,   -10.9, ,   -16.3, ,    -4.6, ,    -1.3, ,    11.7, ,    13.3, ,    16.6, ,    16.7, ,     9.8, ,    -0.2, ,    -7.8, ,   -19.6, ,     0.6, ,   -18.5, ,     1.9, ,    15.5, ,     0.6, 
 1982,   -32.6, ,   -21.0, ,   -13.5, ,    -0.6, ,     8.3, ,    14.6, ,    17.5, ,    11.3, ,     9.4, ,     1.6, ,   -16.2, ,   -19.6, ,    -3.4, ,   -24.4, ,    -1.9, ,    14.5, ,    -1.7, 
 1983,   -21.8, ,   -17.3, ,   -12.7, ,     1.2, ,     7.0, ,    14.1, ,    16.4, ,    15.0, ,     6.1, ,     1.2, ,    -7.0, ,   -25.0, ,    -1.9, ,   -19.6, ,    -1.5, ,    15.2, ,     0.1, 
 1984,   -20.3, ,   -13.0, ,    -8.8, ,     5.3, ,     8.2, ,    14.1, ,    16.3, ,    15.4, ,     6.2, ,    -2.0, ,   -16.4, ,   -26.6, ,    -1.8, ,   -19.4, ,     1.6, ,    15.3, ,    -4.1, 
 1985,   -15.4, ,   -24.1, ,    -6.8, ,     1.3, ,     9.5, ,    13.6, ,    14.9, ,    12.0, ,     6.4, ,    -1.3, ,   -19.8, ,   -14.9, ,    -2.1, ,   -22.0, ,     1.3, ,    13.5, ,    -4.9, 
 1986,   -16.9, ,   -17.5, ,    -9.0, ,    -0.3, ,     9.9, ,    13.0, ,    16.0, ,    13.7, ,     7.8, ,     1.0, ,   -18.5, ,   -12.8, ,    -1.1, ,   -16.4, ,     0.2, ,    14.2, ,    -3.2, 
