3074935,CLEARDALE           ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
3074935,CLEARDALE           ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1964, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.4,a,    13.4,a,    13.8,a,    12.8,a,     6.2,a,     4.4,a,    -9.1,a,   -23.1,a, -9999.9,M, -9999.9,M, -9999.9,M,    13.3,a,     0.5,a
 1965,   -18.9,a,   -19.7,a,    -9.2,a,     1.7,a,     8.1,a,    12.8,a,    15.3,a,    15.8,a,     5.0,a,     4.7,a,   -11.3,a,   -15.3,a,    -0.9,a,   -20.6,a,     0.2,a,    14.6,a,    -0.5,a
 1966,   -28.0,a,   -13.4,a,    -7.2,a,    -1.2,a,     9.8,a,    10.8,a,    13.6,a,    12.5,a,     9.8,a,     0.5,a,   -14.9,a,   -15.4,a,    -1.9,a,   -18.9,a,     0.5,a,    12.3,a,    -1.5,a
 1967,   -19.7,a,   -14.2,a,   -13.5,a,    -1.0,a,     8.3,a,    12.5,a,    14.2,a,    15.7,a,    11.8,a,     2.6,a,    -6.5,a,   -15.4,a,    -0.4,a,   -16.4,a,    -2.1,a,    14.1,a,     2.6,a
 1968,   -20.0,a,   -12.1,a,    -3.6,a,     1.8,a,     8.3,a,    11.9,a,    13.9,a,    11.6,a,     7.5,a,     2.2,a,    -7.0,a,   -22.8,a,    -0.7,a,   -15.8,a,     2.2,a,    12.5,a,     0.9,a
 1969,   -31.7,a,   -16.9,a,    -7.7,a,     3.6,a,     8.7,a,    12.6,a,    13.8,a,    12.1,a,     6.8,a,     0.6,a,    -7.0,a,   -11.2,a,    -1.4,a,   -23.8,a,     1.5,a,    12.8,a,     0.1,a
 1970,   -21.5,a,    -8.9,a,    -6.9,a,     2.3,a,     8.0,a,    13.8,a,    13.9,a,    13.9,a,     7.4,a,     2.4,a,   -11.6,a,   -19.4,a,    -0.6,a,   -13.9,a,     1.1,a,    13.9,a,    -0.6,a
 1971,   -23.8,a,   -12.9,a,    -9.4,a,     3.1,a,     9.8,a,    13.4,a,    15.3,a,    14.0,a,     6.5,a,     1.6,a,    -9.5,a,   -21.9,a,    -1.2,a,   -18.7,a,     1.2,a,    14.2,a,    -0.5,a
 1972,   -23.7,a,   -20.8,a,    -7.5,a,    -2.5,a,    10.4,a,    12.6,a, -9999.9,M, -9999.9,M, -9999.9,M,     0.3,a,    -7.5,a,   -18.9,a, -9999.9,M,   -22.1,a,     0.1,a, -9999.9,M, -9999.9,M
 1973,   -16.0,a,   -13.2,a,    -5.6,a,     2.6,a,    10.5,a,    11.8,a,    13.7,a,    11.7,a,     8.6,a,     1.9,a, -9999.9,M,   -16.4,a, -9999.9,M,   -16.0,a,     2.5,a,    12.4,a, -9999.9,M
 1974,   -24.0,a,   -13.6,a,   -12.8,a,     1.8,a,     7.0,a,    12.9,a,    13.2,a,    12.5,a,     7.3,a,     4.0,a,    -5.1,a,   -10.5,a,    -0.6,a,   -18.0,a,    -1.3,a,    12.9,a,     2.1,a
 1975,   -16.4,a,   -17.3,a,    -9.4,a,     0.0,a,     8.4,a,    12.9,a,    16.2,a,    11.3,a,     9.8,a,     1.9,a,    -9.0,a,   -16.4,a,    -0.7,a,   -14.7,a,    -0.3,a,    13.5,a,     0.9,a
 1976,   -14.4,a,   -13.5,a,    -8.7,a,     4.4,a,     9.6,a,    10.8,a,    14.3,a,    14.2,a,    10.6,a,     2.6,a,    -2.7,a,   -14.1,a,     1.1,a,   -14.8,a,     1.8,a,    13.1,a,     3.5,a
 1977,   -13.3,a,    -4.1,a,    -5.8,a,     4.9,a,     9.4,a,    12.7,a,    13.5,a,    12.0,a,     8.8,a,     2.3,a,   -10.6,a,   -21.2,a,     0.7,a,   -10.5,a,     2.8,a,    12.7,a,     0.2,a
