4010879,BROADVIEW           ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4010879,BROADVIEW           ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1936, -9999.9,M, -9999.9,M, -9999.9,M,    -0.2, ,    13.3, ,    15.7, ,    23.8, ,    19.1, ,    13.4, ,     2.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.5, , -9999.9,M
 1937, -9999.9,M, -9999.9,M, -9999.9,M,     4.8, ,    13.9, ,    19.5, ,    22.3, , -9999.9,M,    13.8, ,     5.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1938, -9999.9,M, -9999.9,M, -9999.9,M,     4.6, ,    12.1, ,    16.6, ,    19.1, ,    17.5, ,    15.2, ,     8.3, ,    -7.5, ,   -10.8, , -9999.9,M, -9999.9,M, -9999.9,M,    17.7, ,     5.3, 
 1939,   -13.0, ,   -22.8, ,    -9.6, ,     3.1, ,    12.8, ,    12.6, ,    20.5, ,    18.6, ,    11.9, ,     1.8, ,     0.0, ,    -5.3, ,     2.6, ,   -15.5, ,     2.1, ,    17.2, ,     4.6, 
 1940,   -18.3, ,   -13.1, ,    -8.6, ,     1.0, ,    11.7, ,    14.6, ,    18.3, ,    17.7, ,    14.3, ,     8.1, ,    -8.8, ,   -10.4, ,     2.2, ,   -12.2, ,     1.4, ,    16.9, ,     4.5, 
 1941, -9999.9,M,   -14.8, ,    -8.0, ,     3.9, ,    11.9, ,    16.0, ,    19.0, ,    16.9, ,    10.1, ,     5.0, , -9999.9,M,    -9.6, , -9999.9,M, -9999.9,M,     2.6, ,    17.3, , -9999.9,M
 1942,   -10.7, ,   -13.8, ,    -4.8, ,     4.4, ,     8.4, ,    13.4, ,    16.6, ,    15.9, ,     9.9, ,     6.2, ,    -6.6, ,   -16.4, ,     1.9, ,   -11.4, ,     2.7, ,    15.3, ,     3.2, 
 1943,   -22.0, ,   -12.5, ,   -12.4, ,     5.2, ,     7.7, ,    12.5, ,    18.7, ,    16.0, ,    10.4, ,     6.8, ,    -3.7, ,    -8.1, ,     1.6, ,   -17.0, ,     0.2, ,    15.7, ,     4.5, 
 1944,    -8.4, ,   -14.4, ,   -12.5, ,     3.6, ,    12.1, ,    13.5, ,    17.1, ,    15.4, ,    10.8, ,     7.5, ,    -5.5, ,   -12.3, ,     2.2, ,   -10.3, ,     1.1, ,    15.3, ,     4.3, 
 1945,   -14.5, ,   -13.7, ,    -2.8, ,    -1.5, ,     5.7, ,    11.8, ,    17.2, ,    16.6, ,     9.1, ,     4.9, ,    -9.5, ,   -16.4, ,     0.6, ,   -13.5, ,     0.5, ,    15.2, ,     1.5, 
 1946,   -14.7, ,   -16.1, ,    -3.6, ,     6.3, ,     8.3, ,    14.0, ,    18.5, ,    15.6, ,    10.6, ,     1.9, ,    -8.0, ,   -14.8, ,     1.5, ,   -15.7, ,     3.7, ,    16.0, ,     1.5, 
 1947,   -14.9, ,   -18.9, ,   -10.8, ,     1.0, ,     7.1, ,    13.5, ,    19.1, ,    17.2, ,     9.6, ,     7.6, ,    -8.5, ,   -13.1, ,     0.7, ,   -16.2, ,    -0.9, ,    16.6, ,     2.9, 
 1948,   -14.3, ,   -17.3, ,   -11.7, ,    -2.2, ,    10.6, ,    15.0, ,    18.1, ,    17.4, ,    13.7, ,     5.9, ,    -5.0, ,   -15.3, ,     1.2, ,   -14.9, ,    -1.1, ,    16.8, ,     4.9, 
 1949,   -19.6, ,   -19.7, ,    -8.4, ,     6.3, ,    10.8, ,    14.6, ,    17.0, ,    18.8, ,    10.4, ,     3.0, ,     0.5, ,   -17.2, ,     1.4, ,   -18.2, ,     2.9, ,    16.8, ,     4.6, 
 1950,   -28.8, ,   -15.6, ,   -11.0, ,    -2.2, ,     7.8, ,    13.3, ,    16.2, ,    14.7, ,    11.2, ,     5.1, ,   -10.0, ,   -15.5, ,    -1.2, ,   -20.5, ,    -1.8, ,    14.7, ,     2.1, 
