4011441,CEYLON              ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4011441,CEYLON              ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1940, -9999.9,M, -9999.9,M, -9999.9,M,    -0.2, ,    14.9, ,    16.6, ,    20.3, ,    19.3, ,    15.5, ,     9.1, ,    -6.8, ,    -5.8, , -9999.9,M, -9999.9,M, -9999.9,M,    18.7, ,     5.9, 
 1941,   -13.2, ,   -14.0, ,    -6.7, ,     5.9, ,    14.4, ,    18.6, , -9999.9,M,    20.3, ,    11.6, ,     6.4, ,    -2.8, ,    -9.0, , -9999.9,M,   -11.0, ,     4.5, , -9999.9,M,     5.1, 
 1942,    -7.6, ,   -10.5, ,    -3.4, ,     5.6, ,    10.8, , -9999.9,M,    19.3, ,    18.4, ,    11.0, ,     6.7, ,    -5.0, ,   -12.4, , -9999.9,M,    -9.0, ,     4.3, , -9999.9,M,     4.2, 
 1943,   -19.8, ,   -11.0, ,   -10.6, ,     7.6, ,    10.2, ,    15.3, ,    22.3, ,    19.5, ,    12.1, ,     8.0, ,    -1.3, ,    -5.8, ,     3.9, ,   -14.4, ,     2.4, ,    19.0, ,     6.3, 
 1944,    -6.3, ,   -11.9, ,   -10.4, , -9999.9,M,    13.9, ,    15.4, ,    20.2, ,    17.8, ,    12.8, ,     9.1, ,    -4.7, ,    -9.9, , -9999.9,M,    -8.0, , -9999.9,M,    17.8, ,     5.7, 
 1945, -9999.9,M, -9999.9,M, -9999.9,M,     1.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.3, ,     7.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1946, -9999.9,M,   -12.1, ,     0.0, ,    10.6, ,    12.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -7.5, , -9999.9,M, -9999.9,M, -9999.9,M,     7.6, , -9999.9,M, -9999.9,M
 1947, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.6, ,    10.1, ,     8.0, ,    -8.2, ,   -11.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.3, 
 1948,   -13.5, ,   -16.8, ,   -11.8, ,    -1.6, ,    10.9, ,    15.0, ,    17.9, ,    19.1, ,    14.3, ,     6.4, ,    -3.2, ,   -15.9, ,     1.7, ,   -14.0, ,    -0.8, ,    17.3, ,     5.8, 
 1949,   -19.8, ,   -19.3, ,    -6.7, ,     7.8, ,    11.7, ,    14.2, ,    17.9, ,    20.1, ,    10.9, ,     2.9, ,     2.1, ,   -16.6, ,     2.1, ,   -18.3, ,     4.3, ,    17.4, ,     5.3, 
 1950,   -27.9, ,   -13.8, ,    -9.8, ,    -0.2, ,     7.6, ,    13.3, ,    16.2, ,    14.9, ,    11.4, ,     5.4, ,    -8.5, ,   -13.3, ,    -0.4, ,   -19.4, ,    -0.8, ,    14.8, ,     2.8, 
 1951,   -18.4, ,   -15.8, ,   -15.3, ,     0.7, ,    11.0, ,    12.0, ,    17.4, ,    14.2, ,     8.9, ,     2.9, ,    -7.3, ,   -17.8, ,    -0.6, ,   -15.8, ,    -1.2, ,    14.5, ,     1.5, 
 1952, -9999.9,M,   -10.1, ,   -10.1, ,     8.0, ,    11.4, ,    14.8, ,    16.8, ,    17.2, ,    13.7, ,     4.9, ,    -2.5, ,    -7.5, , -9999.9,M, -9999.9,M,     3.1, ,    16.3, ,     5.4, 
 1953,   -12.8, ,   -11.6, , -9999.9,M,     0.7, ,     8.3, ,    15.3, ,    17.1, ,    17.9, ,    13.2, ,     8.8, ,     0.3, ,    -6.4, , -9999.9,M,   -10.6, , -9999.9,M,    16.8, ,     7.4, 
 1954, -9999.9,M,    -2.6, ,    -7.1, ,    -0.8, ,     8.5, ,    13.5, ,    18.9, ,    16.8, ,    10.4, ,     5.2, ,     2.0, ,    -5.2, , -9999.9,M, -9999.9,M,     0.2, ,    16.4, ,     5.9, 
 1955,   -12.0, ,   -14.4, ,   -10.8, ,     5.8, ,    10.0, ,    15.5, ,    19.2, ,    19.0, ,    10.8, ,     6.6, ,   -12.6, ,   -15.9, ,     1.8, ,   -10.5, ,     1.7, ,    17.9, ,     1.6, 
 1956,   -16.1, ,   -14.6, ,    -7.5, ,     0.6, ,    10.7, ,    17.8, ,    16.9, ,    17.7, ,    10.8, ,     5.6, ,    -3.1, ,   -11.9, ,     2.2, ,   -15.5, ,     1.3, ,    17.5, ,     4.4, 
 1957,   -18.9, ,   -12.9, ,    -6.0, ,     2.1, ,    11.9, ,    14.9, ,    20.4, ,    17.1, ,    11.7, ,     1.8, ,    -4.8, ,    -7.5, ,     2.5, ,   -14.6, ,     2.7, ,    17.5, ,     2.9, 
 1958,    -8.3, ,   -13.6, ,    -7.1, ,     4.9, ,    12.6, ,    13.2, ,    16.6, , -9999.9,M,    11.9, ,     6.1, ,    -5.7, ,   -11.5, , -9999.9,M,    -9.8, ,     3.5, , -9999.9,M,     4.1, 
 1959,   -18.2, ,   -15.2, ,    -0.5, ,     3.2, ,     8.5, ,    16.4, ,    19.6, ,    18.5, ,    10.4, ,     1.2, ,    -7.4, ,    -6.1, ,     2.5, ,   -15.0, ,     3.7, ,    18.2, ,     1.4, 
 1960,   -15.3, ,   -13.8, ,    -8.8, ,     3.5, ,    11.5, ,    14.2, ,    20.5, , -9999.9,M,    13.1, ,     6.0, ,    -5.7, ,    -9.4, , -9999.9,M,   -11.7, ,     2.1, , -9999.9,M,     4.5, 
 1961,   -10.5, ,    -8.8, ,    -2.7, ,     1.0, ,    10.7, ,    18.5, ,    18.9, ,    21.3, ,     8.4, ,     4.7, ,    -4.5, ,   -16.4, ,     3.4, ,    -9.6, ,     3.0, ,    19.6, ,     2.9, 
 1962,   -15.1, ,   -17.0, ,    -8.8, ,     4.8, ,     8.5, ,    15.9, ,    16.7, ,    17.0, ,    10.6, ,     6.5, ,    -0.1, ,    -9.6, ,     2.5, ,   -16.2, ,     1.5, ,    16.5, ,     5.7, 
 1963,   -19.0, ,   -11.6, ,    -3.1, ,     3.1, ,     8.5, ,    14.4, ,    18.8, ,    18.1, ,    14.2, ,     9.4, ,    -3.2, ,   -13.7, ,     3.0, ,   -13.4, ,     2.8, ,    17.1, ,     6.8, 
 1964,   -10.7, ,    -8.1, ,   -10.9, ,     4.1, ,    10.3, ,    13.4, ,    19.7, ,    15.9, ,     9.1, ,     5.8, ,    -7.0, ,   -20.7, ,     1.7, ,   -10.8, ,     1.2, ,    16.3, ,     2.6, 
 1965,   -19.6, ,   -16.1, ,   -14.3, ,     2.1, ,     8.4, ,    14.7, ,    17.9, ,    16.6, ,     3.9, ,     6.3, ,    -8.0, ,   -10.2, ,     0.1, ,   -18.8, ,    -1.3, ,    16.4, ,     0.7, 
 1966,   -24.0, ,   -15.5, ,    -2.4, ,    -1.0, ,     9.0, ,    14.0, ,    18.4, ,    15.0, ,    12.5, ,     3.4, ,   -10.8, ,   -10.6, ,     0.7, ,   -16.6, ,     1.9, ,    15.8, ,     1.7, 
 1967,   -15.0, ,   -15.6, ,   -10.5, ,    -0.9, ,     9.6, ,    15.2, ,    19.7, ,    19.2, ,    16.1, ,     5.3, ,    -3.0, ,   -11.4, ,     2.4, ,   -13.7, ,    -0.6, ,    18.0, ,     6.1, 
 1968,   -14.3, ,    -9.5, ,     1.2, ,     4.5, ,    10.3, ,    14.9, ,    18.9, ,    15.6, ,    12.9, ,     6.0, ,    -1.6, ,   -14.5, ,     3.7, ,   -11.7, ,     5.3, ,    16.5, ,     5.8, 
 1969,   -23.1, ,   -12.9, ,    -9.0, ,     6.8, ,    11.3, ,    13.1, ,    17.5, ,    20.5, ,    13.4, ,     1.8, ,    -0.9, ,    -7.7, ,     2.6, ,   -16.8, ,     3.0, ,    17.0, ,     4.8, 
 1970,   -17.5, ,   -10.8, ,    -9.4, ,     1.6, ,     9.1, ,    18.9, ,    20.2, ,    19.5, ,    11.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -12.0, ,     0.4, ,    19.5, , -9999.9,M
 1971, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.5, ,    17.0, ,    21.6, ,    11.7, ,     4.9, ,    -2.9, ,   -15.0, , -9999.9,M, -9999.9,M, -9999.9,M,    18.4, ,     4.6, 
 1972,   -19.4,E,   -16.2, , -9999.9,M, -9999.9,M, -9999.9,M,    17.0, ,    15.6, ,    19.3, ,     9.6, ,     3.3, ,    -2.9, ,   -15.4, , -9999.9,M,   -16.9,E, -9999.9,M,    17.3, ,     3.3, 
 1973,    -8.0, ,    -8.0, ,     1.6, ,     3.1, ,    11.8, ,    16.9, ,    18.8, ,    20.5, ,    11.3, ,     7.3, ,    -8.8, ,   -12.7, ,     4.5, ,   -10.5, ,     5.5, ,    18.7, ,     3.3, 
 1974,   -16.2, ,    -9.8, ,    -8.3, ,     3.7, ,     7.9, ,    17.5, ,    20.3, ,    15.0, ,     9.8, ,     7.5, ,    -2.3, ,    -5.7, ,     3.3, ,   -12.9, ,     1.1, ,    17.6, ,     5.0, 
 1975,   -12.7, ,   -13.8, ,    -7.8, ,    -0.7, ,    10.5, ,    15.9, ,    21.5, ,    15.8, ,    11.1, ,     5.7, ,    -3.1, ,    -9.7, ,     2.7, ,   -10.7, ,     0.7, ,    17.7, ,     4.6, 
 1976,   -12.7, ,    -7.9, ,    -6.4, ,     6.3, ,    12.4, ,    15.7, ,    19.1, ,    19.0, ,    13.6, ,     3.1, ,    -4.5, ,   -11.3, ,     3.9, ,   -10.1, ,     4.1, ,    17.9, ,     4.1, 
 1977,   -18.6, ,    -3.9, ,    -1.2, ,     8.0, ,    15.0, ,    16.6, ,    18.9, , -9999.9,M,    11.4, ,     6.7, ,    -5.4, ,   -15.3, , -9999.9,M,   -11.3, ,     7.3, , -9999.9,M,     4.2, 
 1978,   -20.0, ,   -15.0, ,    -4.2, ,     4.6, ,    12.5, ,    16.5, ,    18.0, ,    17.1, ,    13.8, ,     6.6, ,    -8.0, ,   -14.7, ,     2.3, ,   -16.8, ,     4.3, ,    17.2, ,     4.1, 
 1979,   -19.7, ,   -19.3, ,    -5.9, ,    -1.2, ,     7.7, ,    16.8, ,    20.0, ,    17.4, ,    14.0, ,     6.7, ,    -3.9, ,    -5.1, ,     2.3, ,   -17.9, ,     0.2, ,    18.1, ,     5.6, 
 1980,   -14.9, ,   -11.5, ,    -6.6, ,     8.6, ,    14.3, ,    16.3, ,    19.7, ,    15.2,E,    12.0, ,     6.0, ,    -0.8, ,   -11.9,E,     3.9,E,   -10.5, ,     5.4, ,    17.1,E,     5.7, 
 1981,    -8.2, ,    -7.4,E,     0.9, ,     6.8, ,    12.1, ,    14.3, ,    20.0, ,    20.2, ,    13.6,E,     4.2, ,     0.1, ,   -12.2, ,     5.4,E,    -9.2,E,     6.6, ,    18.2, ,     6.0,E
 1982,   -24.3,E,   -14.4, ,    -8.4, ,     0.9,E,     9.1,E,    15.4,E,    18.4, ,    17.3,E,    11.7,E,     5.6, ,    -5.6,E,    -9.1,E,     1.4,E,   -17.0,E,     0.5,E,    17.0,E,     3.9,E
 1983,    -9.7, ,    -7.3,E,    -5.6, ,     3.0,E,     9.0, ,    15.5, ,    20.0,E,    22.3, ,    11.2,E,     6.4,E,    -2.8, ,   -20.6,E,     3.5,E,    -8.7,E,     2.1,E,    19.3,E,     4.9,E
 1984,   -10.6,E,    -3.7,E,    -4.8,E,     6.2, ,    10.4,E,    16.3,E,    20.3, ,    21.0, ,     8.1,E,     2.8, ,    -5.1,E,   -16.8, ,     3.7,E,   -11.6,E,     3.9,E,    19.2,E,     1.9,E
 1985,   -13.9, ,   -12.9,E,    -1.8, ,     6.8, ,    12.8, ,    13.0, ,    19.4, ,    16.0,E,     8.1,E,     4.5,E,   -12.3,E,   -11.9,E,     2.3,E,   -14.5,E,     5.9, ,    16.1,E,     0.1,E
 1986,    -6.4, ,   -12.5, ,     2.1,E, -9999.9,M,    11.9,E,    17.0,E,    17.5, ,    17.5, ,     9.2, ,     6.3,E,    -6.4,E,    -6.2, , -9999.9,M,   -10.3,E, -9999.9,M,    17.3,E,     3.0,E
 1987,    -6.9,E,    -3.2, ,    -1.2, ,     9.4,E,    14.3,E,    18.2, ,    18.3, ,    15.3, ,    13.4, ,     4.6, ,     0.8, ,    -6.6, ,     6.4,E,    -5.4,E,     7.5,E,    17.3, ,     6.3, 
 1988,   -14.7, ,   -10.1,E,    -1.4, ,     5.7,E,    14.4,E,    22.2,E,    19.9, ,    18.6, ,    11.2, ,     5.6, ,    -4.1, ,   -10.7,E,     4.7,E,   -10.5,E,     6.2,E,    20.2,E,     4.2, 
 1989,   -11.7,E,   -18.3, ,    -8.0, ,     4.8, ,    11.9, ,    16.3, ,    22.0, ,    19.4, ,    12.8, ,     5.9, ,    -3.0, , -9999.9,M, -9999.9,M,   -13.6,E,     2.9, ,    19.2, ,     5.2, 
 1990,    -6.5,E,    -8.3, ,    -1.0,E,     4.4,E,    10.7, ,    16.5, ,    17.5, ,    18.8,E,    14.9, ,     5.6,E,    -3.6,E,   -13.0,E,     4.7,E, -9999.9,M,     4.7,E,    17.6,E,     5.6,E
 1991,   -15.0,E,    -4.2,E,    -3.0, ,     6.5,E,    11.7,E,    17.1,E,    19.0,E,    20.5,E,    13.2,E,     2.8,E,    -6.1,E,    -7.6, ,     4.6,E,   -10.7,E,     5.1,E,    18.9,E,     3.3,E
 1992,    -7.5,E,    -4.5,E,     0.4,E,     3.8,E,    11.1,E,    15.0,E,    15.1,E,    15.7,E,    10.7,E,     4.7,E,    -4.0,E,   -14.9,E,     3.8,E,    -6.5,E,     5.1,E,    15.3,E,     3.8,E
