4011980,CUPAR               ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4011980,CUPAR               ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1955, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -18.3,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1956,   -18.5,a,   -17.9,a,    -9.6,a,    -0.8,a,    10.8,a,    17.5,a,    16.6,a,    16.8,a,    10.6,a,     4.6,a,    -3.6,a,   -14.0,a,     1.0,a,   -18.2,a,     0.1,a,    17.0,a,     3.9,a
 1957,   -19.6,a,   -14.4,a,    -7.0,a,     2.2,a,    12.7,a,    14.4,a,    19.8,a,    16.0,a,    12.1,a,     2.8,a,    -4.6,a,   -10.5,a,     2.0,a,   -16.0,a,     2.6,a,    16.7,a,     3.4,a
 1958,   -10.3,a,   -16.1,a,    -6.8,a,     5.4,a,    12.9,a,    13.5,a,    17.3,a,    18.1,a,    11.4,a,     5.7,a,    -7.2,a,   -14.8,a,     2.4,a,   -12.3,a,     3.8,a,    16.3,a,     3.3,a
 1959,   -21.3,a,   -17.2,a,    -1.8,a,     3.7,a,     9.3,a,    16.3,a, -9999.9,M,    17.3,a,    10.2,a,     1.6,a,    -8.0,a,    -6.9,a, -9999.9,M,   -17.8,a,     3.7,a, -9999.9,M,     1.3,a
 1960,   -18.4,a,   -14.7,a,   -10.7,a,     3.7,a,    11.5,a,    14.2,a,    19.9,a,    17.8,a,    13.0,a,     5.6,a,    -6.4,a,   -11.1,a,     2.0,a,   -13.3,a,     1.5,a,    17.3,a,     4.1,a
 1961,   -13.7,a,   -10.7,a,    -2.8,a,     1.7,a,    11.4,a,    19.3,a,    19.4,a,    20.4,a,     9.0,a,     4.8,a,    -4.7,a, -9999.9,M, -9999.9,M,   -11.8,a,     3.4,a,    19.7,a,     3.0,a
 1962,   -16.8,a,   -19.9,a,   -10.0,a,     4.8,a,     9.7,a,    17.0,a,    16.7,a,    17.8,a,    11.5,a,     6.9,a,     0.9,a,   -10.6,a,     2.3,a, -9999.9,M,     1.5,a,    17.2,a,     6.4,a
 1963,   -19.8,a,   -13.3,a,    -2.4,a,     4.4,a,     9.8,a,    15.0,a,    19.5,a,    18.5,a,    14.8,a,    10.4,a,    -3.4,a, -9999.9,M, -9999.9,M,   -14.6,a,     3.9,a,    17.7,a,     7.3,a
 1964,   -12.8,a,    -8.8,a,   -11.5,a,     5.3,a,    11.7,a,    15.4,a,    20.4,a,    16.9,a,    10.1,a,     5.8,a,    -5.5,a,   -18.8,a,     2.4,a, -9999.9,M,     1.8,a,    17.6,a,     3.5,a
