4014913,CARLYLE             ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4014913,CARLYLE             ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1923, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.8, ,    17.6, , -9999.9,M,    15.6, ,    13.8, ,     5.3, ,     0.0, ,   -10.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.4, 
 1924,   -19.9, ,    -8.6, ,    -4.1, ,     1.8, ,     7.2, ,    12.8, ,    17.0, ,    14.5, ,    10.7, ,     7.6, ,    -6.1, ,   -20.2, ,     1.1, ,   -12.9, ,     1.6, ,    14.8, ,     4.1, 
 1925,   -17.1, ,   -15.3, ,    -7.5, ,     5.7, ,    10.0, ,    13.9, ,    17.6, ,    16.3, ,    10.7, ,    -1.5, ,    -4.9, ,   -10.2, ,     1.5, ,   -17.5, ,     2.7, ,    15.9, ,     1.4, 
 1926,   -10.8, ,    -9.1, ,    -6.7, ,     3.0, ,    11.1, ,    12.5, ,    18.1, ,    14.1, ,     7.0, ,     2.9, ,    -9.5, ,   -17.1, ,     1.3, ,   -10.0, ,     2.5, ,    14.9, ,     0.1, 
 1927,   -18.8, ,   -17.0, ,    -6.3, ,     1.4, ,     5.7, ,    13.5, ,    16.4, ,    15.5, ,    10.5, ,     5.9, ,   -11.5, ,   -22.2, ,    -0.6, ,   -17.6, ,     0.3, ,    15.1, ,     1.6, 
 1928,   -15.9, ,   -11.6, ,    -7.8, ,    -1.2, ,    12.4, ,    13.0, ,    16.4, ,    15.1, ,     9.2, ,     2.8, ,    -2.8, ,   -10.2, ,     1.6, ,   -16.6, ,     1.1, ,    14.8, ,     3.1, 
 1929,   -24.0, ,   -18.8, ,    -4.4, ,     2.1, ,     6.7, ,    13.5, ,    18.6, ,    17.5, ,     8.2, ,     6.1, ,    -8.0, ,   -17.1, ,     0.0, ,   -17.7, ,     1.5, ,    16.5, ,     2.1, 
 1930,   -22.7, ,   -11.1, ,    -8.6, ,     5.7, ,     7.7, ,    15.1, ,    18.6, ,    18.6, ,    10.4, ,     2.0, ,    -5.1, ,   -11.1, ,     1.6, ,   -17.0, ,     1.6, ,    17.4, ,     2.4, 
 1931,   -10.4, ,    -4.6, ,    -5.9, ,     4.6, ,    10.3, ,    17.2, ,    18.4, ,    16.9, ,    12.3, ,     6.0, ,    -5.1, ,   -10.3, ,     4.1, ,    -8.7, ,     3.0, ,    17.5, ,     4.4, 
 1932,   -16.7, ,   -14.6, ,    -9.9, ,     4.2, ,    11.3, ,    17.5, ,    18.0, ,    17.5, ,    11.7, ,     0.3, ,    -8.3, ,   -14.4, ,     1.4, ,   -13.9, ,     1.9, ,    17.7, ,     1.2, 
 1933,   -16.8, ,   -18.9, ,    -5.8, ,     1.6, ,    11.2, ,    18.2, ,    19.1, ,    18.7, ,    13.7, ,     0.8, ,    -5.2, ,   -19.8, ,     1.4, ,   -16.7, ,     2.3, ,    18.7, ,     3.1, 
 1934,   -14.3, ,   -10.9, ,    -5.7, ,     4.0, ,    13.9, ,    15.1, ,    19.4, ,    16.8, ,     8.5, ,     7.1, ,    -2.5, ,   -15.5, ,     3.0, ,   -15.0, ,     4.1, ,    17.1, ,     4.4, 
