4015560,NOKOMIS             ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4015560,NOKOMIS             ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1923, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.2, ,    16.8, ,    18.6, ,    15.9, ,    11.9, ,     6.1, ,    -2.6, ,    -8.9, , -9999.9,M, -9999.9,M, -9999.9,M,    17.1, ,     5.1, 
 1924,   -18.6, ,    -8.9, ,    -5.4, ,     2.3, ,     7.6, ,    13.7, ,    18.1, ,    14.6, ,    12.3, ,     8.5, ,    -6.8, ,   -20.0, ,     1.5, ,   -12.1, ,     1.5, ,    15.5, ,     4.7, 
 1925,   -16.5, ,   -15.4, ,    -9.3, ,     6.0, ,    11.9, ,    14.8, ,    17.3, ,    17.3, ,    11.3, ,    -0.9, ,    -4.9, ,    -9.2, ,     1.9, ,   -17.3, ,     2.9, ,    16.5, ,     1.8, 
 1926,   -10.7, ,    -9.6, ,    -4.6, ,     5.0, ,    12.1, ,    13.6, ,    18.9, ,    15.7, ,     7.6, ,     3.6, ,    -9.2, ,   -17.1, ,     2.1, ,    -9.8, ,     4.2, ,    16.1, ,     0.7, 
 1927,   -18.5, ,   -16.9, ,    -7.4, ,     2.8, ,     8.0, ,    15.1, ,    17.4, ,    16.9, ,    12.2, ,     6.2, ,   -12.8, ,   -22.5, ,     0.0, ,   -17.5, ,     1.1, ,    16.5, ,     1.9, 
 1928, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1929,   -25.0, ,   -19.7, , -9999.9,M,     1.6, ,     7.5, ,    15.0, ,    18.5, ,    18.6, , -9999.9,M,     6.6, ,    -4.2, ,   -16.2, , -9999.9,M, -9999.9,M, -9999.9,M,    17.4, , -9999.9,M
 1930,   -23.7, ,   -10.7, ,    -5.1, ,     5.3, ,    10.7, ,    15.5, ,    19.0, ,    18.7, ,    11.0, ,     1.7, ,    -4.1, ,    -7.9, ,     2.5, ,   -16.9, ,     3.6, ,    17.7, ,     2.9, 
 1931,    -9.6, ,    -4.1, ,    -6.3, ,     4.9, ,    10.7, ,    17.1, ,    18.2, ,    17.9, ,    11.8, ,     6.0, ,    -5.3, ,    -8.9, ,     4.4, ,    -7.2, ,     3.1, ,    17.7, ,     4.2, 
 1932,   -16.1, ,   -15.5, ,   -11.4, ,     4.7, ,    12.5, ,    17.0, ,    17.6, ,    17.5, ,    11.7, ,     0.4, ,    -8.1, ,   -15.7, ,     1.2, ,   -13.5, ,     1.9, ,    17.4, ,     1.3, 
