4015867,CARON               ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4015867,CARON               ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1915,   -14.3, ,    -7.8, ,    -4.3, ,     9.0, ,    10.4, ,    12.7, ,    14.8, ,    19.0, ,     9.6, ,     6.2, ,    -2.8, ,    -8.9, ,     3.6, , -9999.9,M,     5.0, ,    15.5, ,     4.3, 
 1916, -9999.9,M,   -14.7, ,    -8.8, ,     3.8, ,     8.2, ,    13.3, ,    19.4, ,    16.5, ,    10.5, ,     3.2, ,    -3.3, ,   -16.2, , -9999.9,M, -9999.9,M,     1.1, ,    16.4, ,     3.5, 
 1917,   -17.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.8, ,    15.8, ,    11.6, ,     1.3, , -9999.9,M,   -19.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1918,   -19.1, ,   -11.5, ,    -1.7, ,     3.6, ,     7.9, ,    15.4, ,    17.0, ,    16.7, ,     8.9, ,     7.1, ,    -2.2, ,    -8.9, ,     2.8, ,   -16.5, ,     3.3, ,    16.4, ,     4.6, 
 1919,    -7.3, ,   -16.0, ,   -11.8, ,     6.0, ,    12.3, ,    18.4, ,    20.3, ,    19.2, ,    12.6, ,    -2.0, ,    -9.2, ,   -14.9, ,     2.3, ,   -10.7, ,     2.2, ,    19.3, ,     0.5, 
 1920,   -21.2, ,   -11.9, ,    -6.4, ,    -1.5, ,    11.2, ,    15.1, ,    19.1, ,    19.1, ,    13.0, ,     7.0, ,    -3.0, ,    -9.0, ,     2.6, ,   -16.0, ,     1.1, ,    17.8, ,     5.7, 
 1921,   -10.9, ,    -8.7, ,    -6.2, ,     2.0, ,     7.8, ,    17.0, ,    19.1, ,    18.0, ,    12.0, ,     8.0, ,    -4.9, ,    -7.4, ,     3.8, ,    -9.5, ,     1.2, ,    18.0, ,     5.0, 
 1922, -9999.9,M,   -18.8, ,    -4.4, ,     4.0, ,    10.9, ,    16.6, ,    18.0, ,    19.0, ,    14.8, ,     6.8, ,    -0.6, ,   -14.3, , -9999.9,M, -9999.9,M,     3.5, ,    17.9, ,     7.0, 
 1923,   -11.3, ,   -15.8, ,    -8.1, ,     3.8, ,    10.8, ,    17.6, ,    20.2, ,    16.3, ,    13.2, ,     7.4, ,     1.7, ,    -5.9, ,     4.2, ,   -13.8, ,     2.2, ,    18.0, ,     7.4, 
 1924,   -16.1, ,    -5.4, ,    -3.2, ,     3.4, ,     8.0, ,    12.9, ,    19.3, ,    16.2, ,    12.8, ,     9.0, ,    -3.9, ,   -14.1, ,     3.2, ,    -9.1, ,     2.7, ,    16.1, ,     6.0, 
 1925,   -13.6, ,    -9.6, ,    -5.1, ,     7.5, ,    11.9, ,    16.0, ,    18.5, ,    19.0, ,    12.8, ,     0.2, ,    -2.2, ,    -3.0, ,     4.4, ,   -12.4, ,     4.8, ,    17.8, ,     3.6, 
 1926,    -1.1, ,     0.8, ,    -0.9, ,     5.8, ,    14.0, ,    15.0, ,    21.5, ,    18.0, ,     9.1, ,     6.8, , -9999.9,M,    -4.2, , -9999.9,M,    -1.1, ,     6.3, ,    18.2, , -9999.9,M
 1927,   -11.5, ,    -9.8, ,    -1.6, ,     6.0, ,    10.0, ,    19.6, ,    20.9, ,    19.7, ,    13.6, ,     8.2, ,    -6.5, ,   -12.0, ,     4.7, ,    -8.5, ,     4.8, ,    20.1, ,     5.1, 
 1928,    -4.5, ,    -4.8, , -9999.9,M,     1.6, ,    18.8, , -9999.9,M,    19.3, , -9999.9,M,    10.8, ,     4.5, ,    -0.4, ,    -5.4, , -9999.9,M,    -7.1, , -9999.9,M, -9999.9,M,     5.0, 
 1929,   -18.1, ,   -14.0, ,    -0.5, ,     3.2, ,     7.2, ,    15.5, ,    19.3, ,    19.1, , -9999.9,M, -9999.9,M, -9999.9,M,   -14.9, , -9999.9,M,   -12.5, ,     3.3, ,    18.0, , -9999.9,M
 1930,   -21.1, ,    -6.5, ,    -5.2, ,     7.8, ,     9.8, ,    15.4, ,    19.2, ,    18.9, ,    11.3, ,     2.0, ,    -3.2, ,    -4.3, ,     3.7, ,   -14.2, ,     4.1, ,    17.8, ,     3.4, 
 1931,    -4.7, ,    -1.0, ,    -5.3, ,     5.8, ,    11.5, ,    17.3, ,    19.8, ,    18.1, ,    12.7, ,     6.4, ,    -5.1, ,    -6.7, ,     5.7, ,    -3.3, ,     4.0, ,    18.4, ,     4.7, 
 1932,   -14.4, ,   -12.9, ,   -10.2, ,     5.8, ,    12.9, ,    16.9, ,    19.1, ,    17.5, ,    12.3, ,     1.5, ,    -6.6, ,   -12.1, ,     2.5, ,   -11.3, ,     2.8, ,    17.8, ,     2.4, 
 1933,   -13.8, ,   -14.7, ,    -2.7, ,     3.3, ,    11.6, ,    18.7, ,    19.4, ,    18.0, ,    11.7, ,     2.5, ,    -2.4, ,   -18.0, ,     2.8, ,   -13.5, ,     4.1, ,    18.7, ,     3.9, 
 1934,    -8.4, ,    -6.6, ,    -3.8, ,     6.0, ,    15.0, ,    14.4, ,    19.0, ,    16.3, ,     7.6, ,     7.5, ,    -0.8, ,   -11.9, ,     4.5, ,   -11.0, ,     5.7, ,    16.6, ,     4.8, 
 1935,   -19.2, ,    -6.1, ,    -7.9, ,     3.2, ,     8.9, ,    14.4, ,    20.5, ,    15.9, ,    11.8, ,     3.5, ,   -10.3, ,    -9.6, ,     2.1, ,   -12.4, ,     1.4, ,    16.9, ,     1.7, 
 1936,   -21.4, ,   -27.2, ,    -5.7, ,     1.8, ,    14.5, ,    15.7, ,    22.7, ,    17.9, ,    12.2, ,     4.2, ,    -1.8, ,   -12.8, ,     1.7, ,   -19.4, ,     3.5, ,    18.8, ,     4.9, 
 1937,   -25.9, ,   -15.3, ,    -5.3, ,     5.7, ,    12.2, ,    17.5, ,    21.4, ,    19.3, ,    12.2, ,     5.9, ,    -5.2, ,   -12.7, ,     2.5, ,   -18.0, ,     4.2, ,    19.4, ,     4.3, 
 1938,   -12.4, ,   -15.7, ,    -1.7, ,     4.6, ,    10.6, ,    17.2, ,    19.4, , -9999.9,M,    16.4, ,     8.8, ,    -4.6, ,    -8.5, , -9999.9,M,   -13.6, ,     4.5, , -9999.9,M,     6.9, 
 1939,   -10.6, ,   -20.0, ,    -6.7, ,     5.7, ,    13.1, ,    12.7, ,    19.3, , -9999.9,M,    12.5, ,     2.6, ,     1.6, ,    -4.3, , -9999.9,M,   -13.0, ,     4.0, , -9999.9,M,     5.6, 
 1940,   -17.8, ,   -11.9, ,    -5.4, ,     2.5, ,    13.4, ,    14.0, ,    19.1, ,    18.9, ,    15.3, ,     8.4, ,    -7.7, ,    -7.7, ,     3.4, ,   -11.3, ,     3.5, ,    17.3, ,     5.3, 
 1941,   -12.5, ,   -12.8, ,    -4.7, ,     6.0, ,    12.2, ,    17.3, ,    21.5, ,    17.8, ,    10.8, ,     6.1, ,    -0.6, ,    -7.8, ,     4.4, ,   -11.0, ,     4.5, ,    18.9, ,     5.4, 
 1942,    -7.3, ,   -11.3, ,    -1.6, ,     5.8, ,    10.0, ,    14.4, ,    18.0, ,    17.7, ,    11.2, ,     6.3, ,    -5.7, ,   -13.5, ,     3.7, ,    -8.8, ,     4.7, ,    16.7, ,     3.9, 
 1943,   -20.9, ,    -8.9, ,    -9.8, ,     7.3, ,     9.2, ,    13.9, ,    20.2, ,    17.8, ,    11.8, ,     7.4, ,    -0.8, ,    -5.4, ,     3.5, ,   -14.4, ,     2.2, ,    17.3, ,     6.1, 
 1944,    -7.8, ,   -11.4, ,   -10.1, ,     6.4, ,    13.2, ,    14.9, ,    18.4, ,    16.7, ,    12.3, ,     9.0, ,    -5.6, ,   -10.8, ,     3.8, ,    -8.2, ,     3.2, ,    16.7, ,     5.2, 
