4017320,SEMANS              ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4017320,SEMANS              ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1923, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.4, ,     5.8, ,    -0.8, ,    -8.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.5, 
 1924,   -19.3, ,    -9.0, ,    -5.1, ,     2.2, ,     7.2, ,    12.9, ,    18.1, ,    14.6, ,    11.7, ,     8.3, ,    -7.2, ,   -19.2, ,     1.3, ,   -12.3, ,     1.4, ,    15.2, ,     4.3, 
 1925,   -17.0, ,   -15.9, ,    -8.9, ,     5.8, ,    11.4, ,    14.4, ,    18.2, ,    17.2, ,    11.1, ,    -0.8, ,    -4.9, ,    -9.9, ,     1.7, ,   -17.4, ,     2.8, ,    16.6, ,     1.8, 
 1926,   -11.6, ,    -9.5, ,    -5.3, ,     4.3, ,    11.5, ,    13.3, , -9999.9,M, -9999.9,M,     8.0, ,     3.0, ,    -9.0, ,   -15.7, , -9999.9,M,   -10.3, ,     3.5, , -9999.9,M,     0.7, 
 1927,   -18.4, ,   -16.3, ,    -6.0, ,     2.8, ,     7.7, ,    15.5, ,    16.9, ,    16.6, ,    11.5, ,     6.2, ,   -11.9, ,   -21.0, ,     0.3, ,   -16.8, ,     1.5, ,    16.3, ,     1.9, 
 1928,   -13.9, ,   -10.3, ,    -4.6, ,    -0.2, ,    13.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.5, , -9999.9,M,   -15.1, ,     2.8, , -9999.9,M, -9999.9,M
 1929,   -24.3, ,   -18.3, ,    -4.5, ,     2.1, ,     7.5, ,    15.3, ,    18.4, ,    18.1, ,     9.7, ,     6.9, , -9999.9,M,   -16.6, , -9999.9,M,   -17.0, ,     1.7, ,    17.3, , -9999.9,M
 1930,   -22.5, ,   -10.0, ,    -6.6, ,     7.1, ,     9.2, ,    15.6, ,    20.6, ,    19.0, ,    11.4, ,     1.8, ,    -5.0, ,    -8.1, ,     2.7, ,   -16.4, ,     3.2, ,    18.4, ,     2.7, 
 1931, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1932,   -14.6, ,   -12.6, ,    -9.2, ,     4.6, ,    15.2, ,    18.4, ,    19.9, ,    20.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.5, ,    19.6, , -9999.9,M
