4018880,WHITEWOOD           ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4018880,WHITEWOOD           ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1915,   -16.5, ,    -9.1, ,    -6.0, ,     8.1, ,     9.5, ,    11.2, ,    13.7, ,    16.7, ,     8.5, ,     5.4, ,    -6.1, ,   -12.9, ,     1.9, , -9999.9,M,     3.9, ,    13.9, ,     2.6, 
 1916,   -25.6, ,   -15.7, ,   -10.7, ,     1.6, ,     8.6, ,    12.6, ,    19.4, ,    15.5, ,     9.6, ,     2.2, ,    -4.4, ,   -18.3, ,    -0.4, ,   -18.1, ,    -0.2, ,    15.8, ,     2.5, 
 1917,   -21.6, ,   -21.3, ,    -8.4, ,    -0.5, ,     9.5, ,    12.9, ,    17.8, ,    15.5, ,    11.1, ,    -0.2, ,     2.0, ,   -22.1, ,    -0.4, ,   -20.4, ,     0.2, ,    15.4, ,     4.3, 
 1918,   -21.0, ,   -15.6, ,    -2.1, ,     4.8, ,     7.4, ,    15.0, ,    15.7, ,    15.8, ,     8.1, ,     5.1, ,    -3.3, ,   -11.2, ,     1.6, ,   -19.6, ,     3.4, ,    15.5, ,     3.3, 
 1919,   -10.0, ,   -18.9, ,   -11.5, ,     4.6, ,    12.1, ,    17.7, ,    18.3, ,    16.9, ,    11.0, ,    -2.7, ,   -11.8, ,   -15.8, ,     0.8, ,   -13.4, ,     1.7, ,    17.6, ,    -1.2, 
 1920,   -20.0, ,   -12.4, ,    -9.7, ,    -3.4, ,    10.9, ,    14.3, ,    17.4, ,    17.8, ,    12.0, ,     6.8, ,    -3.8, ,   -11.3, ,     1.6, ,   -16.1, ,    -0.7, ,    16.5, ,     5.0, 
 1921,   -13.2, ,   -10.6, ,    -8.6, ,     1.7, ,    10.1, ,    18.0, ,    18.5, ,    16.1, ,    10.8, ,     6.3, ,    -9.5, ,   -11.2, ,     2.4, ,   -11.7, ,     1.1, ,    17.5, ,     2.5, 
 1922,   -16.2, ,   -19.7, ,    -5.6, ,     3.5, ,    11.8, ,    15.9, ,    16.1, ,    17.4, ,    12.9, ,     5.1, ,    -3.8, ,   -16.8, ,     1.7, ,   -15.7, ,     3.2, ,    16.5, ,     4.7, 
 1923,   -16.7, ,   -18.5, ,   -13.7, ,     0.3, ,    10.6, ,    16.1, ,    18.7, ,    14.3, ,    12.5, ,     4.5, ,     0.0, ,    -8.6, ,     1.6, ,   -17.3, ,    -0.9, ,    16.4, ,     5.7, 
 1924,   -18.7, ,    -9.8, ,    -5.8, ,     1.5, ,     6.8, ,    12.5, ,    16.8, ,    14.2, ,    10.9, ,     7.4, ,    -6.6, ,   -20.0, ,     0.8, ,   -12.4, ,     0.8, ,    14.5, ,     3.9, 
 1925,   -17.5, ,   -15.9, ,    -7.3, ,     5.7, ,    10.7, ,    13.6, ,    17.3, ,    16.5, ,    10.6, ,    -1.6, ,    -4.6, ,    -9.4, ,     1.5, ,   -17.8, ,     3.0, ,    15.8, ,     1.5, 
 1926,   -10.7, ,    -8.3, ,    -6.9, ,     3.6, ,    11.6, ,    13.1, ,    18.1, ,    14.8, ,     7.6, ,     3.0, ,    -9.3, ,   -15.8, ,     1.7, ,    -9.5, ,     2.8, ,    15.3, ,     0.4, 
 1927,   -16.3, ,   -16.5, ,    -5.5, ,     2.1, ,     7.0, ,    14.8, ,    16.6, ,    15.3, ,    10.1, ,     5.6, ,   -11.3, ,   -20.2, ,     0.1, ,   -16.2, ,     1.2, ,    15.6, ,     1.5, 
 1928,   -12.7, ,   -11.3, ,    -7.2, ,    -1.5, ,    12.0, ,    12.8, ,    16.7, ,    14.1, ,     9.5, ,     2.9, ,    -2.6, ,    -9.0, ,     2.0, ,   -14.7, ,     1.1, ,    14.5, ,     3.3, 
 1929,   -24.0, ,   -18.3, ,    -4.6, ,     1.6, ,     6.5, ,    14.2, ,    17.7, ,    17.4, ,     8.7, ,     6.0, ,    -6.4, ,   -15.0, ,     0.3, ,   -17.1, ,     1.2, ,    16.4, ,     2.8, 
 1930,   -22.3, ,    -9.9, ,    -8.1, ,     5.4, , -9999.9,M,    14.7, ,    18.0, ,    17.6, ,    10.1, ,     0.9, ,    -5.4, ,    -8.1, , -9999.9,M,   -15.7, , -9999.9,M,    16.8, ,     1.9, 
 1931,    -8.5, ,    -5.5, ,    -7.2, ,     4.5, ,     9.7, ,    16.9, ,    18.3, ,    16.9, ,    11.8, ,     5.5, ,    -5.1, ,    -8.4, ,     4.1, ,    -7.4, ,     2.3, ,    17.4, ,     4.1, 
