4020020,ABBEY               ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4020020,ABBEY               ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1956, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.9, ,    16.9, , -9999.9,M, -9999.9,M,    12.0, ,     5.7, ,    -0.6, ,   -10.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.7, 
 1957,   -18.4, ,   -12.0, ,    -3.5, ,     4.2, ,    13.4, ,    15.4, ,    19.9, ,    16.6, ,    12.8, ,     2.0, , -9999.9,M,    -5.9, , -9999.9,M,   -13.8, ,     4.7, ,    17.3, , -9999.9,M
 1958,    -6.5, ,   -12.4, ,    -6.4, ,     6.2, ,    14.3, ,    14.8, ,    18.2, ,    20.0, ,    12.0, ,     7.0, ,    -4.1, ,    -9.5, ,     4.5, ,    -8.3, ,     4.7, ,    17.7, ,     5.0, 
 1959,   -17.6, ,   -12.9, ,     1.8, ,     4.5, ,     9.3, ,    17.3, ,    19.6, ,    17.5, ,    10.9, ,     2.7, ,    -5.8, ,    -4.5, ,     3.6, ,   -13.3, ,     5.2, ,    18.1, ,     2.6, 
 1960,   -14.5, ,   -10.7, ,    -6.2, ,     4.9, ,    11.0, ,    14.9, , -9999.9,M,    18.6, ,    14.2, ,     6.3, ,    -5.2, ,    -8.2, , -9999.9,M,    -9.9, ,     3.2, , -9999.9,M,     5.1, 
 1961,    -8.3, ,    -7.8, ,    -0.6, ,     3.1, ,    12.1, ,    19.7, ,    19.7, , -9999.9,M,     9.3, ,     5.1, ,    -4.7, ,   -15.7, , -9999.9,M,    -8.1, ,     4.9, , -9999.9,M,     3.2, 
 1962,   -12.1, ,   -14.9, ,    -9.2, ,     7.3, ,    11.2, ,    17.7, ,    17.0, , -9999.9,M,    11.6, ,     8.2, ,     1.4, ,    -6.8, , -9999.9,M,   -14.2, ,     3.1, , -9999.9,M,     7.1, 
 1963,   -18.0, ,    -7.4, ,    -0.1, ,     4.0, ,     9.9, ,    15.8, ,    19.7, ,    18.8, ,    16.1, ,    10.2, ,    -2.4, ,   -11.0, ,     4.6, ,   -10.7, ,     4.6, ,    18.1, ,     8.0, 
 1964,    -8.7, ,    -4.0, ,    -6.5, ,     5.8, ,    12.2, ,    15.9, , -9999.9,M,    17.6, ,     9.8, ,     7.9, ,    -3.4, ,   -19.2, , -9999.9,M,    -7.9, ,     3.8, , -9999.9,M,     4.8, 
 1965,   -17.0, ,   -13.1, ,   -12.6, ,     3.1, ,    11.0, ,    15.6, ,    19.4, ,    19.3, ,     6.5, ,     8.3, ,    -7.9, ,    -9.0, ,     2.0, ,   -16.4, ,     0.5, ,    18.1, ,     2.3, 
 1966,   -21.7, ,   -11.9, ,     0.3, ,     2.3, ,    12.6, ,    13.3, , -9999.9,M,    15.9, ,    15.2, ,     5.3, ,    -7.8, ,   -10.4, , -9999.9,M,   -14.2, ,     5.1, , -9999.9,M,     4.2, 
 1967, -9999.9,M,   -12.1, ,    -9.0, ,    -0.4, ,    10.1, ,    14.9, , -9999.9,M,    19.6, ,    16.8, ,     6.4, ,    -2.1, ,   -10.3, , -9999.9,M, -9999.9,M,     0.2, , -9999.9,M,     7.0, 
 1968,   -12.8, ,    -6.9, ,     1.7, ,     5.1, ,    10.7, ,    15.6, , -9999.9,M,    15.7, ,    12.2, ,     6.4, ,    -1.1, ,   -13.3, , -9999.9,M,   -10.0, ,     5.8, , -9999.9,M,     5.8, 
 1969,   -25.4, ,   -13.1, ,    -9.4, ,     7.1, ,    11.8, ,    14.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -17.3, ,     3.2, , -9999.9,M, -9999.9,M
 1970, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1971, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.6, ,    21.9, ,    11.1, ,     4.8, ,    -3.5, ,   -14.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.1, 
 1972,   -19.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1973, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1974, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1975, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1976, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
