4020286,ASSINIBOIA          ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4020286,ASSINIBOIA          ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1915, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.9, ,    18.8, ,     9.2, ,     7.7, ,    -2.3, ,    -6.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.9, 
 1916,   -24.2, ,   -13.2, ,    -8.5, ,     4.3, ,     8.8, ,    13.6, ,    19.4, ,    16.3, ,    12.2, ,     4.0, ,    -2.4, ,   -14.9, ,     1.3, ,   -14.5, ,     1.5, ,    16.4, ,     4.6, 
 1917,   -15.2, ,   -19.1, ,    -9.8, ,     1.0, ,    10.0, ,    13.2, ,    20.5, ,    16.7, ,    12.3, ,     1.9, ,     4.2, ,   -16.2, ,     1.6, ,   -16.4, ,     0.4, ,    16.8, ,     6.1, 
 1918,   -14.8, ,   -12.4, ,     1.6, ,     5.2, ,     8.1, ,    16.3, ,    17.6, ,    16.8, ,    10.6, ,     7.2, ,    -2.0, , -9999.9,M, -9999.9,M,   -14.5, ,     5.0, ,    16.9, ,     5.3, 
 1919, -9999.9,M,   -13.7, ,    -8.0, ,     4.9, ,    12.5, ,    19.1, ,    19.1, ,    18.6, ,    12.5, ,    -1.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.1, ,    18.9, , -9999.9,M
 1920, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1921, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1922, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.0, ,     6.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1923, -9999.9,M, -9999.9,M, -9999.9,M,     3.0, ,    11.1, ,    17.0, ,    20.3, ,    15.7, ,    12.3, ,     5.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.7, , -9999.9,M
 1924, -9999.9,M, -9999.9,M, -9999.9,M,     2.9, ,     8.3, ,    13.7, ,    18.5, ,    15.9, ,    11.9, ,     8.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.0, , -9999.9,M
 1925, -9999.9,M, -9999.9,M, -9999.9,M,     6.7, ,    11.9, ,    14.7, ,    18.7, ,    18.4, ,    12.1, ,    -1.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.3, , -9999.9,M
 1926, -9999.9,M, -9999.9,M, -9999.9,M,     5.1, ,    12.7, ,    13.7, ,    20.7, ,    16.1, ,     7.8, ,     5.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.8, , -9999.9,M
 1927, -9999.9,M, -9999.9,M, -9999.9,M,     3.9, ,     8.6, ,    15.7, ,    17.9, ,    16.7, ,    11.4, ,     7.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.8, , -9999.9,M
 1928, -9999.9,M, -9999.9,M, -9999.9,M,    -0.6, ,    14.2, ,    14.2, ,    18.4, ,    15.3, ,    10.7, ,     3.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.0, , -9999.9,M
 1929, -9999.9,M, -9999.9,M, -9999.9,M,     2.7, ,     8.2, ,    15.7, ,    20.4, ,    20.2, ,    10.2, ,     7.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.8, , -9999.9,M
 1930, -9999.9,M, -9999.9,M, -9999.9,M,     7.8, ,     9.3, ,    15.6, ,    19.5, ,    19.9, ,    11.3, ,     1.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.3, , -9999.9,M
 1931, -9999.9,M, -9999.9,M, -9999.9,M,     5.5, ,    11.7, ,    17.9, ,    20.9, ,    18.5, ,    13.0, ,     6.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.1, , -9999.9,M
 1932, -9999.9,M, -9999.9,M, -9999.9,M,     6.2, ,    12.6, ,    17.7, ,    20.2, ,    18.3, ,    12.4, ,     1.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.7, , -9999.9,M
 1933, -9999.9,M, -9999.9,M, -9999.9,M,     3.1, ,    11.5, ,    19.2, ,    20.3, ,    18.9, ,    12.4, ,     3.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.5, , -9999.9,M
 1934, -9999.9,M, -9999.9,M, -9999.9,M,     6.4, ,    16.1, ,    15.0, ,    20.4, ,    17.8, ,     8.6, ,     7.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.7, , -9999.9,M
 1935, -9999.9,M, -9999.9,M, -9999.9,M,     2.9, ,     8.4, ,    14.6, ,    21.1, ,    16.5, ,    13.1, ,     4.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.4, , -9999.9,M
 1936, -9999.9,M, -9999.9,M, -9999.9,M,     2.1, ,    14.5, ,    16.4, ,    24.0, ,    18.8, ,    13.4, ,     5.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.7, , -9999.9,M
 1937, -9999.9,M, -9999.9,M, -9999.9,M,     5.6, ,    12.6, ,    17.8, ,    21.6, ,    19.4, ,    13.5, ,     6.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.6, , -9999.9,M
 1938, -9999.9,M, -9999.9,M, -9999.9,M,     5.0, ,    10.2, ,    16.6, ,    19.8, ,    16.4, ,    17.0, ,     9.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.6, , -9999.9,M
 1939, -9999.9,M, -9999.9,M, -9999.9,M,     5.5, ,    13.1, ,    12.7, ,    20.0, ,    17.2, ,    12.5, ,     3.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.6, , -9999.9,M
 1940, -9999.9,M, -9999.9,M, -9999.9,M,     1.1, ,    14.0, ,    15.3, ,    19.3, ,    18.8, ,    15.5, ,     9.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.8, , -9999.9,M
 1941, -9999.9,M, -9999.9,M, -9999.9,M,     5.2, ,    11.9, ,    16.2, ,    20.4, ,    17.8, ,    10.2, ,     6.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.1, , -9999.9,M
 1942, -9999.9,M, -9999.9,M, -9999.9,M,     5.8, ,     9.5, ,    13.3, ,    17.3, ,    17.1, ,    10.4, ,     6.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.9, , -9999.9,M
 1943, -9999.9,M, -9999.9,M, -9999.9,M,     7.5, ,     9.3, ,    13.6, ,    19.6, ,    18.0, ,    12.2, ,     8.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.1, , -9999.9,M
 1944, -9999.9,M, -9999.9,M, -9999.9,M,     6.2, ,    12.9, ,    14.3, ,    18.6, ,    16.9, ,    13.1, ,    10.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.6, , -9999.9,M
 1945, -9999.9,M, -9999.9,M, -9999.9,M,     1.0, ,     8.4, ,    13.0, ,    19.9, ,    18.4, ,    10.1, ,     6.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.1, , -9999.9,M
 1946, -9999.9,M, -9999.9,M, -9999.9,M,     8.6, ,     9.4, ,    15.0, ,    20.2, ,    17.0, ,    11.9, ,     2.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.4, , -9999.9,M
 1947, -9999.9,M, -9999.9,M, -9999.9,M,     4.4, ,     9.2, ,    13.9, ,    20.6, ,    17.6, ,    10.9, ,     8.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.4, , -9999.9,M
 1948, -9999.9,M, -9999.9,M, -9999.9,M,     1.4, ,    12.3, ,    16.1, ,    18.8, ,    19.3, ,    14.8, ,     7.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.1, , -9999.9,M
 1949, -9999.9,M, -9999.9,M, -9999.9,M,     9.1, ,    13.1, ,    15.6, ,    18.9, ,    20.8, ,    12.0, ,     3.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.4, , -9999.9,M
 1950, -9999.9,M, -9999.9,M, -9999.9,M,     0.7, ,     9.2, ,    14.3, ,    17.6, ,    15.9, ,    12.5, ,     6.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.9, , -9999.9,M
 1951, -9999.9,M, -9999.9,M, -9999.9,M,     1.5, ,    12.6, ,    12.7, ,    18.2, ,    15.3, ,    10.0, ,     3.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.4, , -9999.9,M
 1952, -9999.9,M, -9999.9,M, -9999.9,M,     8.5, ,    12.1, ,    15.2, ,    17.2, ,    17.6, ,    14.3, ,     6.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.7, , -9999.9,M
 1953, -9999.9,M, -9999.9,M, -9999.9,M,     1.0, ,     9.3, ,    15.3, ,    18.7, ,    19.0, ,    12.8, ,    10.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.7, , -9999.9,M
 1954, -9999.9,M, -9999.9,M, -9999.9,M,     0.1, ,     9.0, ,    13.6, ,    19.2, ,    16.9, ,    10.8, ,     6.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.6, , -9999.9,M
 1955, -9999.9,M, -9999.9,M, -9999.9,M,     5.9, ,    10.7, ,    15.8, ,    19.3, ,    19.1, ,    11.5, ,     7.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.1, , -9999.9,M
 1956, -9999.9,M, -9999.9,M, -9999.9,M,     2.0, ,    11.5, ,    18.0, ,    17.9, ,    18.4, ,    12.3, ,     6.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.1, , -9999.9,M
 1957, -9999.9,M, -9999.9,M, -9999.9,M,     4.0, ,    13.0, ,    15.7, ,    21.2, ,    17.9, ,    12.2, ,     3.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.3, , -9999.9,M
 1958, -9999.9,M, -9999.9,M, -9999.9,M,     5.8, ,    14.4, ,    14.7, ,    18.1, ,    20.2, ,    11.9, ,     6.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.7, , -9999.9,M
 1959, -9999.9,M, -9999.9,M, -9999.9,M,     4.4, ,     9.6, ,    17.1, ,    20.6, ,    18.8, ,    10.9, ,     2.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.8, , -9999.9,M
 1960, -9999.9,M, -9999.9,M, -9999.9,M,     4.4, ,    12.2, ,    14.7, ,    21.4, ,    18.1, ,    14.5, ,     7.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.1, , -9999.9,M
 1961, -9999.9,M, -9999.9,M, -9999.9,M,     2.0, ,    11.7, ,    20.1, ,    20.3, ,    22.5, ,     9.8, ,     5.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    21.0, , -9999.9,M
