4022328,EASTLEIGH           ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4022328,EASTLEIGH           ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1958, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.9, ,     6.6, ,    -5.3, ,   -11.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.4, 
 1959,   -18.6, ,   -15.0, ,    -0.3, ,     3.8, ,     8.7, ,    16.3, ,    19.0, ,    17.2, ,    10.1, ,     1.4, ,    -7.5, ,    -6.6, ,     2.4, ,   -14.9, ,     4.1, ,    17.5, ,     1.3, 
 1960,   -15.6, ,   -13.2, ,    -8.2, ,     3.5, ,    11.4, ,    14.2, ,    20.0, ,    17.1, ,    13.4, , -9999.9,M, -9999.9,M,   -10.0, , -9999.9,M,   -11.8, ,     2.2, ,    17.1, , -9999.9,M
 1961,   -10.4, ,    -9.7, ,    -2.1, ,     1.7, ,    11.1, ,    19.1, ,    19.0, ,    21.0, ,     9.2, ,     5.0, ,    -4.6, ,   -16.2, ,     3.6, ,   -10.0, ,     3.6, ,    19.7, ,     3.2, 
 1962,   -13.7, ,   -15.9, ,    -9.3, ,     5.9, , -9999.9,M,    16.9, ,    16.6, ,    17.3, ,    11.3, ,     8.0, ,     1.2, ,    -9.0, , -9999.9,M,   -15.3, , -9999.9,M,    16.9, ,     6.8, 
 1963,   -18.4, , -9999.9,M,    -2.6, ,     5.0, ,     9.6, ,    15.4, ,    19.6, ,    18.5, ,    15.1, ,     9.7, ,    -3.0, ,   -11.9, , -9999.9,M, -9999.9,M,     4.0, ,    17.8, ,     7.3, 
 1964,   -10.3, ,    -7.4, ,    -8.7, ,     5.6, ,    11.9, ,    14.8, ,    20.3, ,    16.6, ,     9.9, ,     7.2, ,    -4.7, ,   -19.3, ,     3.0, ,    -9.9, ,     2.9, ,    17.2, ,     4.1, 
 1965,   -17.6, ,   -14.3, ,   -14.5, ,     3.1, ,     9.8, ,    15.9, ,    18.7, ,    18.2, ,     5.7, ,     7.7, ,    -8.2, ,    -9.6, ,     1.2, ,   -17.1, ,    -0.5, ,    17.6, ,     1.7, 
 1966,   -22.4, ,   -13.7, ,    -1.7, ,     0.7, ,    11.2, ,    14.4, ,    18.7, ,    16.1, ,    14.7, , -9999.9,M,    -9.4, ,   -10.0, , -9999.9,M,   -15.2, ,     3.4, ,    16.4, , -9999.9,M
 1967,   -14.2, ,   -14.2, ,   -10.0, ,    -1.0, ,     9.5, ,    14.2, ,    18.5, ,    18.5, ,    15.0, ,     5.3, ,    -3.4, ,   -12.2, ,     2.2, ,   -12.8, ,    -0.5, ,    17.1, ,     5.6, 
 1968,   -15.4, ,   -10.7, ,     0.6, ,     4.8, ,     9.9, ,    14.8, , -9999.9,M,    14.8, ,    12.0, ,     5.3, ,    -2.3, ,   -14.9, , -9999.9,M,   -12.8, ,     5.1, , -9999.9,M,     5.0, 
 1969,   -24.5, ,   -14.3, ,   -10.0, ,     6.0, ,    10.7, ,    12.7, ,    16.4, ,    18.7, ,    11.9, ,    -0.4, , -9999.9,M,    -7.7,E, -9999.9,M,   -17.9, ,     2.2, ,    15.9, , -9999.9,M
 1970, -9999.9,M, -9999.9,M, -9999.9,M,     1.6, ,     8.9, ,    17.7, ,    19.0, ,    18.6, ,    10.7, ,     3.7, ,    -6.6, ,   -14.9, , -9999.9,M, -9999.9,M, -9999.9,M,    18.4, ,     2.6, 
 1971,   -19.3, ,   -12.8,E,    -7.5,E,     4.9, ,    12.3, ,    15.4, ,    15.9, ,    20.5, ,    11.3, , -9999.9,M,    -3.4, ,   -15.6, , -9999.9,M,   -15.7,E,     3.2,E,    17.3, , -9999.9,M
 1972,   -19.1, ,   -17.0, ,    -5.1, ,     4.4, ,    11.8, ,    16.6, ,    15.1, ,    19.1, ,     8.0, ,     2.1, ,    -3.2,E,   -16.1, ,     1.4,E,   -17.2, ,     3.7, ,    16.9, ,     2.3,E
 1973,    -8.5, ,    -9.3, ,     1.0, ,     2.3, ,    10.3, ,    15.4, ,    18.2, ,    18.8, ,    10.8, ,     6.8, ,   -10.8, ,   -13.1, ,     3.5, ,   -11.3, ,     4.5, ,    17.5, ,     2.3, 
 1974,   -17.4, ,   -11.0, ,   -10.6, ,     1.9, ,     8.3, ,    16.7, ,    19.1, ,    14.5, ,     9.3, ,     7.0, , -9999.9,M,    -5.6, , -9999.9,M,   -13.8, ,    -0.1, ,    16.8, , -9999.9,M
 1975,   -13.6, ,   -15.5, ,    -9.9, ,    -1.8, ,     9.8, ,    14.7, ,    20.6, ,    14.7, ,    11.0, ,     5.3, ,    -3.5, ,   -10.8, ,     1.8, ,   -11.6, ,    -0.6, ,    16.7, ,     4.3, 
 1976,   -14.0, ,    -8.0, ,    -6.7, ,     7.2, ,    13.0, ,    14.8, , -9999.9,M,    18.5, ,    13.8, ,     3.0, , -9999.9,M,   -12.3, , -9999.9,M,   -10.9, ,     4.5, , -9999.9,M, -9999.9,M
 1977,   -18.2, ,    -3.6, , -9999.9,M,     7.3, ,    13.2, , -9999.9,M,    17.9, ,    13.8, ,    10.8, ,     6.4, ,    -6.0, ,   -16.3, , -9999.9,M,   -11.4, , -9999.9,M, -9999.9,M,     3.7, 
 1978, -9999.9,M, -9999.9,M, -9999.9,M,     4.5, ,    11.9, , -9999.9,M,    17.2, ,    16.4, ,    12.2, , -9999.9,M,    -8.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1979, -9999.9,M, -9999.9,M,    -5.5, ,    -0.5, ,     7.8, ,    16.3, ,    19.5, ,    17.7,E,    13.9, ,     6.1, ,    -5.1, ,    -6.3, , -9999.9,M, -9999.9,M,     0.6, ,    17.8,E,     5.0, 
 1980, -9999.9,M, -9999.9,M,    -8.3, ,     8.9, ,    14.5, ,    16.2,E,    18.7, ,    15.4, ,    12.4,E,     6.1,E,    -1.5, ,   -12.0, , -9999.9,M, -9999.9,M,     5.0, ,    16.8,E,     5.7,E
 1981, -9999.9,M, -9999.9,M,     1.2,E,     6.4,E,    12.3,E,    13.9, , -9999.9,M,    19.8, ,    13.2, ,     3.9,E,    -0.1, ,   -12.3,E, -9999.9,M, -9999.9,M,     6.6,E, -9999.9,M,     5.7,E
