4027485,SHAUNAVON           ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4027485,SHAUNAVON           ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1915, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.8, ,    15.0, ,    18.9, ,     8.8, ,     7.3, ,    -2.9, ,    -6.1, , -9999.9,M, -9999.9,M, -9999.9,M,    15.2, ,     4.4, 
 1916,   -24.5, ,   -11.1, ,    -3.7, ,     4.1, ,     7.6, ,    13.0, ,    18.1, ,    15.4, ,    10.5, ,     2.8, ,    -2.0, ,   -14.5, ,     1.3, ,   -13.9, ,     2.7, ,    15.5, ,     3.8, 
 1917, -9999.9,M,   -17.8, ,    -8.3, ,     0.7, ,     9.4, ,    12.3, ,    19.5, ,    16.4, ,    10.9, ,     2.0, ,     4.1, ,   -16.3, , -9999.9,M, -9999.9,M,     0.6, ,    16.1, ,     5.7, 
 1918,   -14.4, ,   -11.0, ,    -1.4, ,     3.7, ,     7.9, ,    16.7, ,    17.0, ,    16.5, ,    10.0, ,     6.1, ,    -2.5, ,    -6.1, ,     3.5, ,   -13.9, ,     3.4, ,    16.7, ,     4.5, 
 1919,    -2.8, ,   -12.7, ,    -9.9, ,     5.6, ,    11.3, ,    17.3, ,    18.3, ,    18.4, ,    10.9, ,    -2.0, ,    -8.5, ,    -9.4, ,     3.0, ,    -7.2, ,     2.3, ,    18.0, ,     0.1, 
 1920,   -12.7, ,    -8.4, ,    -5.4, ,    -1.0, ,    10.7, ,    14.0, ,    18.7, ,    18.4, ,    13.1, ,     5.8, ,    -2.0, ,    -7.9, ,     3.6, ,   -10.2, ,     1.4, ,    17.0, ,     5.6, 
 1921,    -7.0, ,    -5.0, ,    -4.5, ,     3.1, ,     9.6, ,    17.5, ,    18.3, ,    17.8, ,     9.7, ,     8.2, ,    -6.7, ,    -8.3, ,     4.4, ,    -6.6, ,     2.7, ,    17.9, ,     3.7, 
 1922,   -11.8, ,   -18.0, ,    -5.1, ,     2.8, ,     9.7, ,    16.0, ,    16.8, ,    18.1, ,    13.6, ,     6.0, ,    -1.1, ,   -13.5, ,     2.8, ,   -12.7, ,     2.5, ,    17.0, ,     6.2, 
 1923,   -10.9, ,   -13.7, ,    -7.0, ,     2.6, ,     9.6, ,    15.2, ,    18.1, ,    14.7, ,    11.4, ,     3.9, ,     0.5, ,    -7.1, ,     3.1, ,   -12.7, ,     1.7, ,    16.0, ,     5.3, 
 1924,   -15.4, ,    -4.4, ,    -5.8, ,     2.4, ,     8.3, ,    13.0, ,    17.4, ,    15.7, ,    12.1, ,     7.7, ,    -4.1, ,   -14.8, ,     2.7, ,    -9.0, ,     1.6, ,    15.4, ,     5.2, 
 1925,   -11.0, ,    -8.4, ,    -3.6, ,     6.4, ,    11.1, ,    15.1, ,    18.2, ,    17.3, ,    11.3, ,    -1.0, ,    -1.6, ,    -4.8, ,     4.1, ,   -11.4, ,     4.6, ,    16.9, ,     2.9, 
 1926,    -5.5, ,    -4.8, ,    -1.2, ,     6.4, ,    12.4, ,    13.9, ,    20.4, ,    16.2, ,     6.4, ,     6.1, ,    -4.9, ,   -10.8, ,     4.6, ,    -5.0, ,     5.9, ,    16.8, ,     2.5, 
 1927,   -11.3, ,   -11.4, ,    -4.0, ,     3.5, ,     7.7, ,    14.8, ,    17.2, ,    16.4, ,    11.6, ,     7.4, ,    -8.8, ,   -17.9, ,     2.1, ,   -11.2, ,     2.4, ,    16.1, ,     3.4, 
 1928,    -7.9, ,    -5.9, ,    -1.0, ,     2.1, ,    14.1, ,    13.1, ,    17.7, ,    15.5, ,    11.5, ,     4.0, ,     0.8, ,    -4.8, ,     4.9, ,   -10.6, ,     5.1, ,    15.4, ,     5.4, 
 1929,   -17.9, ,   -14.5, ,    -0.4, ,     2.2, ,     8.5, ,    14.7, ,    19.2, ,    19.4, ,     9.9, ,     8.4, ,    -2.6, ,   -10.9, ,     3.0, ,   -12.4, ,     3.4, ,    17.8, ,     5.2, 
 1930,   -18.6, ,    -3.0, ,    -2.7, ,     8.1, ,     9.7, ,    14.9, ,    20.2, ,    19.6, ,    12.3, ,     2.6, ,    -1.1, ,    -2.6, ,     5.0, ,   -10.8, ,     5.0, ,    18.2, ,     4.6, 
 1931,    -2.2, ,    -0.2, ,    -2.5, ,     5.9, ,    12.0, ,    17.7, ,    19.0, ,    17.8, ,    12.7, ,     7.0, ,    -3.9, ,    -5.0, ,     6.5, ,    -1.7, ,     5.1, ,    18.2, ,     5.3, 
 1932,   -10.6, ,    -9.0, ,    -7.3, ,     6.9, ,    11.8, ,    16.5, ,    18.7, ,    18.2, ,    12.2, ,     3.7, ,    -3.5, ,    -9.3, ,     4.0, ,    -8.2, ,     3.8, ,    17.8, ,     4.1, 
 1933,    -8.5, ,   -11.0, ,    -0.8, ,     3.1, ,    11.1, ,    18.5, ,    19.3, ,    18.0, ,    12.1, ,     4.0, ,     0.5, ,   -13.5, ,     4.4, ,    -9.6, ,     4.5, ,    18.6, ,     5.5, 
 1934,    -5.1, ,    -3.5, ,    -2.4, ,     7.1, ,    15.1, , -9999.9,M, -9999.9,M,    17.3, ,     8.6, ,     7.3, ,     0.8, ,    -8.8, , -9999.9,M,    -7.4, ,     6.6, , -9999.9,M,     5.6, 
 1935,   -14.9, ,    -3.6, ,    -6.7, ,     2.1, ,     8.2, ,    14.3, ,    20.3, ,    15.5, ,    12.7, ,     5.0, ,    -6.4, ,    -5.1, ,     3.5, ,    -9.1, ,     1.2, ,    16.7, ,     3.8, 
 1936,   -15.7, ,   -25.0, ,    -4.4, ,     2.9, ,    14.9, ,    15.9, ,    24.1, ,    18.7, ,    12.7, ,     6.2, ,    -0.5, ,   -10.0, ,     3.3, ,   -15.3, ,     4.5, ,    19.6, ,     6.1, 
 1937,   -21.4, ,   -13.7, ,    -3.3, ,     6.1, ,    12.6, ,    17.1, ,    21.0, ,    18.7, ,    13.4, ,     7.5, ,    -3.1, ,    -9.2, ,     3.8, ,   -15.0, ,     5.1, ,    18.9, ,     5.9, 
 1938,    -6.8, ,   -14.1, ,    -1.0, ,     5.1, ,    10.0, ,    16.6, ,    20.2, ,    17.4, ,    17.4, ,     9.1, ,    -3.5, ,    -5.7, ,     5.4, ,   -10.0, ,     4.7, ,    18.1, ,     7.7, 
 1939,    -5.5, ,   -16.0, ,    -3.8, ,     5.6, ,    12.7, ,    12.9, ,    19.9, ,    17.9, ,    13.5, ,     4.6, ,     3.6, ,    -2.3, ,     5.3, ,    -9.1, ,     4.8, ,    16.9, ,     7.2, 
 1940,   -14.6, ,    -9.5, ,    -3.3, ,     2.1, ,    13.6, ,    15.6, ,    19.1, ,    18.6, ,    16.0, ,     9.7, ,    -7.4, ,    -4.3, ,     4.6, ,    -8.8, ,     4.1, ,    17.8, ,     6.1, 
 1941,    -9.1, ,    -6.7, ,    -2.3, ,     5.9, ,    12.1, ,    16.6, ,    20.9, ,    18.4, ,    10.1, ,     6.9, ,    -0.1, ,    -5.1, ,     5.6, ,    -6.7, ,     5.2, ,    18.6, ,     5.6, 
 1942,    -6.1, ,   -10.0, ,    -0.9, ,     6.8, ,     9.0, ,    13.1, ,    18.0, ,    17.2, ,    12.1, ,     7.6, ,    -3.8, ,    -7.6, ,     4.6, ,    -7.1, ,     5.0, ,    16.1, ,     5.3, 
 1943,   -16.7, ,    -5.3, ,    -7.5, ,     8.0, ,     9.5, ,    13.0, ,    19.7, ,    18.5, ,    12.2, ,     8.7, ,     0.7, ,    -2.9, ,     4.8, ,    -9.9, ,     3.3, ,    17.1, ,     7.2, 
 1944,    -4.5, ,    -7.7, ,    -8.0, ,     6.8, ,    13.4, ,    14.2, ,    18.2, ,    16.9, ,    13.2, ,    10.7, ,    -4.6, ,    -6.8, ,     5.2, ,    -5.0, ,     4.1, ,    16.4, ,     6.4, 
 1945,    -8.5, ,    -8.9, ,    -0.1, ,     1.7, ,     8.7, ,    13.2, ,    19.9, ,    18.5, ,    10.2, ,     7.5, ,    -5.8, ,   -10.6, ,     3.8, ,    -8.1, ,     3.4, ,    17.2, ,     4.0, 
 1946,    -7.2, ,    -7.0, ,     3.2, ,     8.5, ,     9.5, ,    15.1, ,    21.0, ,    16.8, ,    11.9, ,     3.7, ,    -6.2, ,    -9.8, ,     5.0, ,    -8.3, ,     7.1, ,    17.6, ,     3.1, 
 1947,    -8.0, ,   -12.8, ,    -6.8, ,     5.2, ,     9.7, ,    14.0, ,    21.7, ,    18.1, ,    11.6, ,     9.3, ,    -4.6, ,    -6.0, ,     4.3, ,   -10.2, ,     2.7, ,    17.9, ,     5.4, 
 1948,    -6.3, ,   -12.9, ,    -6.8, ,     3.0, ,    12.0, ,    16.0, ,    18.8, ,    19.3, ,    14.6, ,     7.4, ,    -2.2, ,   -12.3, ,     4.2, ,    -8.4, ,     2.7, ,    18.0, ,     6.6, 
 1949,   -16.6, ,   -16.0, ,    -3.0, ,     9.2, ,    12.9, ,    15.4, ,    19.0, ,    20.4, ,    12.9, ,     4.3, ,     4.9, ,   -14.0, ,     4.1, ,   -15.0, ,     6.4, ,    18.3, ,     7.4, 
 1950,   -25.6, ,    -8.4, ,    -7.2, ,     1.4, ,     9.7, ,    14.6, ,    18.1, ,    16.0, ,    12.3, ,     6.5, ,    -5.3, ,    -7.8, ,     2.0, ,   -16.0, ,     1.3, ,    16.2, ,     4.5, 
 1951,   -14.2, ,   -11.4, ,   -11.6, ,     3.0, ,    12.1, ,    12.0, ,    18.7, ,    15.5, ,     9.7, ,     2.6, ,    -4.5, ,   -12.8, ,     1.6, ,   -11.1, ,     1.2, ,    15.4, ,     2.6, 
 1952,   -15.0, ,    -7.3, ,    -7.4, ,     8.0, ,    11.4, ,    14.6, ,    16.2, ,    16.7, ,    13.6, ,     6.4, ,    -1.6, ,    -4.8, ,     4.2, ,   -11.7, ,     4.0, ,    15.8, ,     6.1, 
 1953,    -7.9, , -9999.9,M, -9999.9,M, -9999.9,M,     8.8, ,    13.8, ,    17.8, ,    18.0, ,    12.4, ,     9.3, ,     2.0, ,    -4.8, , -9999.9,M, -9999.9,M, -9999.9,M,    16.5, ,     7.9, 
 1954,   -18.5, ,    -1.0, ,    -7.3, ,    -0.8, ,     8.5, ,    12.9, ,    18.6, ,    16.4, ,    10.7, ,     5.9, ,     3.5, ,    -3.3, ,     3.8, ,    -8.1, ,     0.1, ,    16.0, ,     6.7, 
 1955,   -10.0, ,   -12.3, ,    -9.5, ,     3.7, ,     8.8, ,    14.4, ,    17.8, ,    17.5, ,    10.3, ,     7.0, ,   -12.5, ,   -13.5, ,     1.8, ,    -8.5, ,     1.0, ,    16.6, ,     1.6, 
 1956,   -13.5, ,   -12.3, ,    -5.6, ,     1.8, ,    10.7, , -9999.9,M,    17.4, ,    16.8, ,    11.9, ,     6.0, ,    -0.9, ,    -8.3, , -9999.9,M,   -13.1, ,     2.3, , -9999.9,M,     5.7, 
