4052280,DUNDURN             ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4052280,DUNDURN             ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1923, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.7, ,    16.3, ,    18.3, ,    15.5, ,    11.8, ,     6.6, ,    -1.8, ,    -8.2, , -9999.9,M, -9999.9,M, -9999.9,M,    16.7, ,     5.5, 
 1924,   -19.5, ,    -9.3, ,    -5.3, ,     2.2, ,     8.0, ,    13.2, ,    18.1, ,    14.8, ,    12.7, ,     6.1, ,    -7.3, ,   -18.9, ,     1.2, ,   -12.3, ,     1.6, ,    15.4, ,     3.8, 
 1925,   -16.8, ,   -16.1, ,    -8.4, ,     5.8, ,    11.1, ,    14.4, ,    17.5, ,    16.5, ,    11.7, ,    -1.0, ,    -5.0, ,    -9.9, ,     1.7, ,   -17.3, ,     2.8, ,    16.1, ,     1.9, 
 1926,   -11.8, ,   -10.1, ,    -4.9, ,     5.2, ,    11.8, ,    13.6, ,    20.7, ,    15.6, ,     7.4, ,     3.5, ,    -8.9, ,   -15.0, ,     2.3, ,   -10.6, ,     4.0, ,    16.6, ,     0.7, 
 1927,   -17.5, ,   -17.1, ,    -6.5, ,     2.6, ,     8.3, ,    15.4, ,    17.6, ,    16.4, ,    11.7, ,     6.7, ,   -12.8, ,   -22.6, ,     0.2, ,   -16.5, ,     1.5, ,    16.5, ,     1.9, 
 1928,   -14.0, ,   -10.0, ,    -4.8, ,     0.3, ,    13.5, ,    13.8, ,    17.6, ,    14.6, ,    10.3, ,     2.9, ,    -2.0, ,    -8.1, ,     2.8, ,   -15.5, ,     3.0, ,    15.3, ,     3.7, 
 1929,   -24.1, ,   -18.9, ,    -2.8, ,     1.7, ,     8.0, ,    15.8, ,    18.6, ,    18.2, ,    10.2, ,     6.8, ,    -4.7, ,   -15.7, ,     1.1, ,   -17.0, ,     2.3, ,    17.5, ,     4.1, 
 1930,   -22.5, ,    -9.7, ,    -6.3, ,     6.9, ,     9.6, ,    15.8, ,    18.7, ,    19.2, ,    11.4, ,     1.8, ,    -3.0, ,    -6.6, ,     2.9, ,   -16.0, ,     3.4, ,    17.9, ,     3.4, 
 1931,    -8.6, ,    -2.2, ,    -5.6, ,     5.4, ,    11.7, ,    17.1, ,    18.5, ,    17.8, ,    11.9, ,     6.3, ,    -6.5, ,    -8.6, ,     4.8, ,    -5.8, ,     3.8, ,    17.8, ,     3.9, 
 1932,   -15.2, ,   -14.4, ,   -11.6, ,     5.3, ,    13.1, ,    17.3, ,    18.8, ,    18.5, ,    12.6, ,     1.6, ,    -6.8, ,   -14.4, ,     2.1, ,   -12.7, ,     2.3, ,    18.2, ,     2.5, 
 1933,   -16.1, ,   -17.4, ,    -5.3, ,     3.1, ,    12.0, ,    17.6, ,    17.9, ,    19.7, ,    11.7, ,     2.1, ,    -4.2, ,   -20.3, ,     1.7, ,   -16.0, ,     3.3, ,    18.4, ,     3.2, 
