4067799,STONY_RAPIDS        ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
4067799,STONY_RAPIDS        ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1986, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.6, ,    13.3, ,     6.7, ,    -0.2, ,   -18.2, ,   -17.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -3.9, 
 1987,   -18.4, ,   -16.7, ,   -14.0, ,     0.2, ,     7.1, ,    13.2, ,    15.5, ,    11.3, ,     9.5, ,    -0.2, ,    -9.9, ,   -16.2, ,    -1.6, ,   -17.4, ,    -2.2, ,    13.3, ,    -0.2, 
 1988,   -28.1, ,   -24.7, ,   -12.2, ,    -4.3, ,     4.2, ,    14.3, ,    15.3, ,    14.7, ,     8.2, ,    -0.7, ,   -13.9, ,   -24.0, ,    -4.3, ,   -23.0, ,    -4.1, ,    14.8, ,    -2.1, 
 1989,   -26.5, ,   -20.9, ,   -20.9, ,    -5.3, ,     4.8, ,    12.2, ,    17.5, ,    15.1, ,     7.5, ,     0.1, ,   -17.9, ,   -27.9, ,    -5.2, ,   -23.8, ,    -7.1, ,    14.9, ,    -3.4, 
 1990,   -25.6, ,   -26.5, ,   -10.6, ,    -3.9, ,     6.5, ,    13.5, ,    15.9, ,    13.4, ,     6.9, ,    -3.3, ,   -18.4, ,   -28.4, ,    -5.0, ,   -26.7, ,    -2.7, ,    14.3, ,    -4.9, 
 1991,   -28.2, ,   -20.3, ,   -14.9, ,    -1.3, ,     8.0, ,    14.0, ,    16.0, ,    16.6, ,     7.2, ,    -4.6, ,   -17.3, ,   -23.6, ,    -4.0, ,   -25.6, ,    -2.7, ,    15.5, ,    -4.9, 
 1992,   -22.3, ,   -21.6, ,   -12.3, ,    -4.5, ,     5.8, ,    10.7, ,    14.2, ,    12.2, ,     4.1, ,    -0.8, ,    -8.1, ,   -23.6, ,    -3.9, ,   -22.5, ,    -3.7, ,    12.4, ,    -1.6, 
 1993,   -22.5, ,   -21.7, ,    -9.5, ,     0.3, ,     6.0, ,    11.3, ,    15.0, ,    12.7, ,     4.4, ,    -2.1, ,   -13.8, ,   -22.1, ,    -3.5, ,   -22.6, ,    -1.1, ,    13.0, ,    -3.8, 
 1994,   -32.6, ,   -29.2, ,   -11.0, ,    -5.5, ,     6.5, ,    13.9, ,    16.1, ,    13.6, ,     9.5, ,     2.1, ,   -11.4, ,   -19.9, ,    -4.0, ,   -28.0, ,    -3.3, ,    14.5, ,     0.1, 
 1995,   -20.7, ,   -22.2, ,   -14.8, ,    -6.1, ,     5.4, ,    15.4, ,    13.1, ,    12.9, ,     7.5, ,     0.2, ,   -16.7, ,   -20.1, ,    -3.8, ,   -20.9, ,    -5.2, ,    13.8, ,    -3.0, 
 1996,   -30.1, ,   -19.5, ,   -19.8, ,    -4.8, ,     5.8, ,    13.6, ,    16.5, ,    14.5, ,     9.0, ,    -1.4, ,   -15.2, ,   -23.2, ,    -4.6, ,   -23.2, ,    -6.3, ,    14.9, ,    -2.5, 
 1997,   -26.9, ,   -20.5, ,   -17.3,E,    -4.1, ,     3.4, ,    13.0, ,    18.0, ,    14.7, ,     8.8, ,    -2.5, ,    -9.5, ,   -14.7, ,    -3.1,E,   -23.5, ,    -6.0,E,    15.2, ,    -1.1, 
 1998,   -28.1, ,   -12.7, ,   -13.0, ,     2.8, ,     8.0, ,    14.6, ,    17.2, ,    16.4, ,     8.1, ,     2.4, ,    -7.1, ,   -20.3, ,    -1.0, ,   -18.5, ,    -0.7, ,    16.1, ,     1.1, 
 1999,   -26.0, ,   -15.2, ,    -8.7, ,    -0.5, ,     7.2, ,    13.4, ,    15.4, ,    14.6, ,     8.1, ,     0.0, ,    -9.2, ,   -19.9, ,    -1.7, ,   -20.5, ,    -0.7, ,    14.5, ,    -0.4, 
 2000,   -26.3, ,   -17.4, ,    -9.9, ,    -4.7, ,     5.0, ,    11.1, ,    17.4, ,    14.1, ,     6.6, ,     0.4, ,   -10.6, ,   -26.6, ,    -3.4, ,   -21.2, ,    -3.2, ,    14.2, ,    -1.2, 
 2001,   -17.0, ,   -22.7, ,   -11.6, ,    -3.5, ,     7.2, ,    12.8, ,    16.8, ,    14.7, ,    10.1, ,    -0.9, ,    -9.0, ,   -19.8, ,    -1.9, ,   -22.1, ,    -2.6, ,    14.8, ,     0.1, 
 2002,   -25.4, ,   -19.3, ,   -20.3, ,    -8.4, ,     1.3, ,    13.7, ,    15.5, ,    13.1, ,     7.4, ,    -4.6, ,   -12.4, ,   -15.2, ,    -4.6, ,   -21.5, ,    -9.1, ,    14.1, ,    -3.2, 
 2003,   -25.2, ,   -27.6, ,   -16.1, ,    -2.5, ,     7.3, ,    12.5, ,    16.6, ,    16.3, ,     8.3, ,     1.6, ,   -11.9, ,   -17.6, ,    -3.2, ,   -22.7, ,    -3.8, ,    15.1, ,    -0.7, 
 2004,   -29.5, ,   -17.6, ,   -15.0, ,    -5.7, ,     0.3, ,    10.7, ,    15.7, ,    11.6, ,     7.1, ,    -2.3, ,   -12.4, ,   -27.4, ,    -5.4, ,   -21.6, ,    -6.8, ,    12.7, ,    -2.5, 
 2005,   -27.1, ,   -21.7, ,   -13.2, ,     0.5, ,     5.2, ,    12.3, ,    15.3, ,    13.7, ,     7.1, ,     2.1, ,    -8.9, ,   -15.0, ,    -2.5, ,   -25.4, ,    -2.5, ,    13.8, ,     0.1, 
 2006,   -17.6, ,   -18.1, ,    -9.4, ,     2.6, ,     7.8, , -9999.9,M,    16.3, ,    14.5, ,     9.5, ,    -0.7, ,   -18.3, ,   -14.9, , -9999.9,M,   -16.9, ,     0.3, , -9999.9,M,    -3.2, 
 2007,   -21.0, ,   -24.0, ,   -14.8, ,    -1.6, ,     7.5, ,    12.0, ,    17.7, ,    12.1, ,     5.6, ,     2.4, ,   -11.9, ,   -23.1, ,    -3.3, ,   -20.0, ,    -3.0, ,    13.9, ,    -1.3, 
 2008,   -24.4, ,   -26.8, ,   -18.2, ,    -5.9, ,     5.7, ,    14.0, ,    16.7, ,    16.4, ,     6.3, ,     2.3, ,    -9.3, ,   -27.9, ,    -4.3, ,   -24.8, ,    -6.1, ,    15.7, ,    -0.2, 
 2009,   -25.3, ,   -21.8, ,   -17.6, ,    -3.0, ,     2.0, ,    11.4, ,    14.2, ,    14.5, ,    12.1, ,    -1.1, ,    -7.1, ,   -24.2, ,    -3.8, ,   -25.0, ,    -6.2, ,    13.4, ,     1.3, 
 2010,   -20.4, ,   -17.3, ,    -3.2, ,     2.9, ,     5.5,E,    13.6,E,    17.0,E,    13.0,E,     7.3,E,     1.1,E,    -9.7, ,   -17.1, ,    -0.6,E,   -20.6, ,     1.7,E,    14.5,E,    -0.4,E
 2011, -9999.9,M,   -20.3, ,   -15.4, ,    -4.3, ,     6.8, ,    13.2, ,    16.9, ,    14.2, ,    11.1, ,     2.6, ,   -10.3, ,   -14.8, , -9999.9,M, -9999.9,M,    -4.3, ,    14.8, ,     1.1, 
 2012,   -19.4, ,   -15.7, ,   -12.0, ,    -2.6, ,     7.5, ,    13.1, ,    17.9,E,    15.4,E,     9.3, ,    -0.9, ,   -13.6, ,   -22.6, ,    -2.0,E,   -16.6, ,    -2.4, ,    15.5,E,    -1.7, 
 2013,   -24.3, ,   -17.3, ,   -16.6, ,    -6.8, ,     7.6, ,    16.8, ,    15.3,E,    14.8, ,    10.5, ,     0.4, ,   -16.0, ,   -30.5,E,    -3.8,E,   -21.4, ,    -5.3, ,    15.6,E,    -1.7, 
 2014,   -26.9, ,   -24.8, ,   -20.0, ,    -8.3, ,     5.5,E,    13.8, ,    16.8, ,    14.6, ,     6.9, ,     0.4, ,   -17.1, ,   -19.3, ,    -4.9,E,   -27.4,E,    -7.6,E,    15.1, ,    -3.3, 
 2015,   -23.0, ,   -26.7,E,   -13.4,E,    -2.7, ,     6.6,E,    13.6,E,    15.5, ,    13.9,E,     7.4, ,     0.6, ,    -9.0, ,   -16.6, ,    -2.8,E,   -23.0,E,    -3.2,E,    14.3,E,    -0.3, 
 2016,   -18.7, ,   -23.9,E,   -12.5, ,    -5.2, ,     8.0, ,    13.8,E,    16.5,E,    13.8, ,     9.3, ,    -1.6, ,    -5.7, ,   -22.4, ,    -2.4,E,   -19.7,E,    -3.2, ,    14.7,E,     0.7, 
 2017,   -18.7, ,   -18.5, ,   -15.7, ,    -3.5, ,     8.6, ,    13.4, ,    16.6, ,    16.0, ,     9.4, ,     0.1, ,   -17.0, ,   -20.8, ,    -2.5, ,   -19.9, ,    -3.5, ,    15.3, ,    -2.5, 
