5011241,HAMIOTA             ,MAN , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
5011241,HAMIOTA             ,MAN , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1914, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -4.3, ,   -17.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1915,   -18.5, ,   -11.4, ,    -8.1, ,     7.5, ,     9.6, ,    11.9, ,    14.3, ,    16.2, ,     9.2, ,     4.0, ,    -6.6, ,   -13.4, ,     1.2, ,   -15.9, ,     3.0, ,    14.1, ,     2.2, 
 1916,   -25.8, ,   -18.6, ,   -12.1, ,     1.1, ,     8.3, ,    12.2, ,    19.9, ,    15.8, ,    11.0, ,     1.7, ,    -5.0, ,   -19.5, ,    -0.9, ,   -19.3, ,    -0.9, ,    16.0, ,     2.6, 
 1917,   -23.7, ,   -22.4, ,    -7.6, ,     0.6, ,     9.5, ,    13.3, ,    18.5, ,    15.6, , -9999.9,M,    -0.2, ,     1.9, ,   -23.0, , -9999.9,M,   -21.9, ,     0.8, ,    15.8, , -9999.9,M
 1918,   -21.1, ,   -19.3, ,    -5.1, ,     3.7, ,     6.8, ,    14.5, ,    15.3, ,    15.4, ,     7.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -21.1, ,     1.8, ,    15.1, , -9999.9,M
 1919,   -12.6, ,   -19.2, , -9999.9,M,     3.2, ,    12.6, ,    17.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1920, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1921, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.4, ,    -9.5, ,   -13.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1922,   -19.0, ,   -21.5, ,    -6.1, ,     3.3, ,    11.8, ,    17.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -18.0, ,     3.0, , -9999.9,M, -9999.9,M
 1923,   -19.6, ,   -19.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
