5013117,WASAGAMING          ,MAN , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
5013117,WASAGAMING          ,MAN , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1966, -9999.9,M, -9999.9,M, -9999.9,M,    -0.6, ,     6.1, ,    14.2, ,    18.1, ,    14.6, ,    10.9, ,     3.4, ,   -11.6, ,   -16.2, , -9999.9,M, -9999.9,M, -9999.9,M,    15.6, ,     0.9, 
 1967,   -19.2, ,   -20.2, ,   -11.9, ,    -3.7, ,     6.5, ,    13.6, ,    16.3, ,    14.9, ,    12.9, ,     2.6, ,    -6.5, ,   -14.9,E,    -0.8,E,   -18.5, ,    -3.0, ,    14.9, ,     3.0, 
 1968,   -19.0, ,   -17.7, ,    -6.6, ,     2.0, ,     7.0, ,    12.7,E,    15.0, ,    13.2, ,    11.2, ,     3.6, ,    -5.8,E,   -16.2, ,     0.0,E,   -17.2,E,     0.8, ,    13.6,E,     3.0,E
 1969,   -23.5, ,   -14.5, ,   -11.4, ,     3.9, ,     7.7, ,     9.5, ,    15.0, ,    17.8, ,    10.6, ,     0.6, ,    -5.1, ,   -11.0, ,     0.0, ,   -18.1, ,     0.1, ,    14.1, ,     2.0, 
 1970,   -20.9, ,   -16.8, ,   -13.5, ,    -0.9, ,     6.9, ,    16.2, ,    17.1, ,    15.7, ,     9.7, ,     3.1, ,    -7.6, ,   -19.4, ,    -0.9, ,   -16.2, ,    -2.5, ,    16.3, ,     1.7, 
 1971,   -23.3, ,   -13.9, ,    -9.1, ,     1.4, ,     9.4, ,    14.1, ,    14.1, , -9999.9,M,     9.1, ,     3.5, ,    -6.4, ,   -15.8, , -9999.9,M,   -18.9, ,     0.6, , -9999.9,M,     2.1, 
 1972,   -23.8, ,   -20.9, ,    -9.7, ,     0.3, ,    11.2, ,    15.2, ,    13.7, ,    16.2, ,     6.3, ,     1.3, ,    -7.6, ,   -20.5,E,    -1.5,E,   -20.2, ,     0.6, ,    15.0, ,     0.0, 
 1973,   -14.9, ,   -15.8, ,    -1.4, ,    -0.4, ,     8.4, ,    13.8, ,    15.5, , -9999.9,M,     9.3, ,     5.7, ,   -10.7, ,   -17.4, , -9999.9,M,   -17.1,E,     2.2, , -9999.9,M,     1.4, 
 1974,   -23.8, ,   -18.0, ,   -13.8, ,    -0.8, ,     5.1, ,    13.9, ,    18.0, ,    13.1, ,     7.1, ,     4.7, ,    -5.4, ,    -9.9, ,    -0.8, ,   -19.7, ,    -3.2, ,    15.0, ,     2.1, 
 1975,   -17.0, ,   -17.9, ,   -13.6, ,    -1.4, ,     8.4, ,    13.9, ,    18.0, ,    13.6, ,     8.8, ,     4.0, ,    -4.4, ,   -16.4, ,    -0.3, ,   -14.9, ,    -2.2, ,    15.2, ,     2.8, 
